time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 23, 45.130435, 22, 82, 31, 35, 63
1, 23, 43.217391, 19, 71, 29, 39, 58
2, 23, 44.217391, 23, 66, 31, 43, 56
3, 23, 45.652174, 20, 81, 32, 46, 56
4, 25, 42.240000, 18, 63, 30, 43, 53
5, 25, 425.760000, 21, 9496, 32, 41, 61
6, 24, 43.541667, 18, 74, 31, 44, 55
7, 25, 41.240000, 21, 75, 25, 44, 51
8, 23, 44.739130, 23, 60, 38, 46, 53
9, 24, 41.791667, 25, 61, 35, 43, 48
10, 22, 47.090909, 22, 86, 39, 45, 58
11, 25, 42.520000, 23, 77, 31, 41, 53
12, 23, 44.347826, 21, 76, 36, 41, 54
13, 24, 43.375000, 20, 87, 32, 39, 50
14, 22, 45.181818, 22, 68, 34, 42, 60
15, 26, 43.807692, 19, 101, 29, 44, 54
16, 23, 43.826087, 24, 61, 37, 45, 55
17, 24, 43.791667, 27, 72, 33, 41, 50
18, 24, 42.875000, 25, 66, 33, 44, 48
19, 24, 41.750000, 18, 77, 35, 39, 46
20, 23, 45.304348, 23, 69, 33, 46, 58
21, 24, 43.916667, 21, 74, 34, 42, 53
22, 24, 42.625000, 22, 70, 31, 40, 57
23, 23, 45.260870, 22, 87, 34, 37, 53
24, 22, 45.954545, 25, 92, 33, 40, 52
25, 25, 43.800000, 20, 76, 32, 42, 55
26, 17, 58.000000, 26, 80, 44, 61, 73
27, 17, 63.058824, 30, 106, 50, 57, 75
28, 19, 53.421053, 32, 82, 40, 52, 66
29, 16, 65.937500, 33, 127, 50, 61, 76
30, 17, 58.882353, 27, 101, 36, 64, 75
31, 17, 62.470588, 29, 85, 49, 63, 78
32, 17, 61.058824, 31, 90, 47, 58, 78
33, 15, 68.000000, 48, 93, 54, 62, 88
34, 18, 59.722222, 40, 77, 50, 59, 69
35, 20, 52.150000, 28, 114, 37, 46, 58
36, 18, 57.722222, 33, 99, 43, 53, 74
37, 19, 54.526316, 31, 83, 40, 56, 63
38, 20, 51.700000, 26, 93, 35, 51, 62
39, 20, 50.200000, 33, 74, 38, 49, 61
40, 21, 48.904762, 27, 73, 32, 50, 64
41, 21, 48.285714, 25, 74, 32, 49, 62
42, 20, 50.500000, 25, 84, 35, 50, 64
43, 20, 54.250000, 28, 82, 41, 54, 66
44, 22, 45.590909, 23, 82, 30, 40, 55
45, 23, 46.391304, 19, 71, 33, 53, 58
46, 22, 46.363636, 22, 77, 35, 48, 57
47, 22, 158.954545, 30, 2516, 37, 47, 56
48, 22, 47.181818, 25, 83, 37, 47, 54
49, 24, 122.375000, 22, 1843, 33, 45, 60
50, 22, 46.181818, 25, 76, 39, 48, 55
51, 23, 45.347826, 22, 70, 36, 43, 52
52, 25, 40.920000, 19, 68, 30, 39, 51
53, 22, 46.681818, 27, 69, 36, 43, 60
54, 22, 278.000000, 29, 5057, 42, 50, 61
55, 18, 55.166667, 28, 75, 48, 58, 65
56, 23, 45.782609, 26, 75, 34, 45, 58
57, 20, 50.700000, 26, 86, 36, 47, 60
58, 19, 55.894737, 34, 80, 48, 55, 64
59, 21, 48.666667, 23, 68, 38, 53, 60
