time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 23, 45.260870, 29, 70, 34, 45, 53
1, 23, 44.478261, 19, 62, 34, 44, 54
2, 25, 41.720000, 22, 78, 33, 39, 52
3, 24, 42.500000, 22, 65, 32, 41, 53
4, 25, 40.240000, 18, 72, 29, 41, 47
5, 23, 96.913043, 21, 1176, 41, 48, 57
6, 23, 45.173913, 26, 65, 34, 48, 52
7, 22, 46.272727, 22, 77, 31, 49, 59
8, 26, 160.384615, 19, 3141, 28, 38, 58
9, 22, 46.227273, 20, 78, 35, 45, 54
10, 25, 42.880000, 22, 72, 33, 41, 53
11, 27, 38.592593, 23, 69, 30, 38, 46
12, 26, 38.961538, 21, 62, 30, 38, 48
13, 23, 44.695652, 20, 80, 30, 43, 56
14, 22, 47.909091, 24, 80, 35, 46, 60
15, 22, 359.681818, 28, 6894, 40, 48, 65
16, 19, 55.263158, 25, 94, 46, 56, 64
17, 20, 51.750000, 29, 79, 38, 46, 66
18, 18, 55.055556, 31, 81, 42, 50, 72
19, 17, 61.294118, 34, 89, 43, 65, 72
20, 16, 62.750000, 40, 92, 53, 62, 72
21, 19, 58.000000, 26, 99, 42, 57, 72
22, 18, 58.777778, 35, 91, 41, 55, 81
23, 16, 63.062500, 29, 120, 39, 56, 88
24, 17, 61.000000, 33, 83, 53, 63, 70
25, 18, 59.166667, 30, 94, 44, 61, 77
26, 16, 60.375000, 32, 104, 42, 53, 76
27, 19, 55.000000, 31, 91, 39, 50, 71
28, 24, 171.958333, 26, 3033, 36, 46, 59
29, 21, 46.380952, 24, 73, 31, 45, 61
30, 24, 43.916667, 10, 66, 36, 44, 54
31, 20, 49.850000, 26, 70, 39, 52, 58
32, 23, 47.913043, 27, 91, 36, 45, 57
33, 22, 46.954545, 24, 89, 33, 48, 58
34, 21, 49.619048, 22, 73, 38, 50, 59
35, 24, 42.291667, 22, 77, 33, 41, 49
36, 27, 39.666667, 24, 58, 31, 41, 47
37, 24, 41.416667, 22, 83, 28, 39, 52
38, 23, 45.304348, 21, 84, 35, 41, 51
39, 21, 50.857143, 23, 68, 43, 55, 60
40, 19, 52.578947, 34, 70, 44, 51, 63
41, 21, 48.571429, 29, 71, 38, 52, 57
42, 24, 44.333333, 23, 67, 34, 43, 55
43, 22, 298.545455, 16, 5542, 39, 49, 61
44, 21, 48.809524, 26, 110, 32, 46, 57
45, 19, 52.368421, 29, 89, 37, 54, 62
46, 21, 193.809524, 27, 2877, 47, 55, 66
47, 22, 48.636364, 27, 75, 39, 49, 61
48, 21, 48.190476, 23, 71, 34, 51, 57
49, 23, 182.826087, 25, 3133, 37, 51, 60
50, 20, 52.500000, 34, 86, 38, 48, 61
51, 21, 49.095238, 21, 90, 40, 49, 60
52, 21, 49.523810, 13, 70, 41, 53, 63
53, 24, 41.833333, 9, 68, 30, 40, 52
54, 22, 48.454545, 26, 71, 40, 48, 60
55, 21, 48.380952, 28, 82, 34, 45, 62
56, 21, 48.619048, 27, 69, 37, 52, 60
57, 22, 399.727273, 23, 7527, 47, 58, 71
58, 21, 48.047619, 28, 78, 33, 49, 59
59, 24, 42.958333, 22, 67, 30, 44, 52
