time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 25, 42.400000, 21, 60, 33, 43, 53
1, 22, 45.363636, 21, 59, 39, 49, 55
2, 24, 413.666667, 23, 8833, 37, 47, 60
3, 21, 48.238095, 25, 79, 34, 48, 59
4, 21, 48.190476, 25, 71, 37, 45, 60
5, 24, 44.000000, 18, 75, 34, 47, 53
6, 22, 46.000000, 25, 74, 33, 47, 57
7, 25, 42.000000, 23, 73, 29, 37, 54
8, 22, 45.409091, 22, 75, 37, 46, 54
9, 24, 44.708333, 21, 109, 31, 42, 52
10, 21, 48.333333, 23, 72, 42, 48, 57
11, 22, 45.045455, 24, 81, 31, 42, 58
12, 24, 44.458333, 19, 65, 33, 38, 58
13, 23, 45.826087, 22, 70, 34, 46, 56
14, 21, 48.904762, 24, 79, 33, 42, 67
15, 17, 59.411765, 25, 86, 48, 59, 69
16, 19, 55.894737, 31, 94, 40, 51, 69
17, 17, 61.588235, 32, 98, 42, 61, 81
18, 15, 66.600000, 29, 94, 51, 67, 80
19, 19, 56.789474, 37, 91, 46, 53, 66
20, 15, 577.200000, 38, 7601, 54, 77, 101
21, 17, 62.764706, 40, 107, 52, 60, 71
22, 16, 205.062500, 17, 1894, 64, 81, 107
23, 16, 63.625000, 27, 97, 46, 60, 80
24, 19, 55.473684, 30, 86, 43, 55, 67
25, 15, 69.000000, 40, 99, 48, 72, 82
26, 17, 61.470588, 39, 94, 47, 53, 80
27, 16, 63.562500, 32, 114, 42, 62, 77
28, 20, 52.350000, 18, 80, 44, 54, 60
29, 18, 57.777778, 30, 89, 42, 62, 65
30, 20, 52.800000, 28, 93, 38, 49, 60
31, 22, 45.181818, 29, 79, 33, 42, 56
32, 22, 49.090909, 25, 80, 35, 49, 58
33, 23, 45.260870, 24, 62, 36, 47, 55
34, 22, 47.727273, 25, 84, 35, 44, 59
35, 22, 45.863636, 23, 91, 34, 48, 54
36, 22, 46.590909, 23, 85, 35, 43, 56
37, 20, 52.100000, 28, 80, 39, 50, 65
38, 20, 51.550000, 26, 96, 40, 54, 58
39, 19, 54.210526, 20, 81, 43, 58, 66
40, 22, 47.909091, 28, 67, 40, 49, 57
41, 24, 43.083333, 21, 69, 30, 40, 58
42, 24, 45.583333, 24, 71, 31, 47, 57
43, 19, 54.526316, 26, 84, 45, 58, 63
44, 25, 132.480000, 22, 2247, 32, 43, 57
45, 21, 49.285714, 25, 83, 42, 47, 57
46, 23, 44.434783, 18, 73, 31, 42, 58
47, 19, 52.315789, 21, 108, 32, 49, 69
48, 19, 55.052632, 28, 87, 46, 54, 68
49, 20, 54.600000, 30, 77, 44, 55, 64
50, 24, 309.500000, 27, 6414, 34, 40, 56
51, 18, 56.611111, 31, 88, 50, 58, 62
52, 21, 50.571429, 25, 72, 37, 49, 63
53, 22, 45.363636, 26, 70, 34, 44, 59
54, 19, 56.842105, 40, 81, 44, 57, 65
55, 19, 53.052632, 23, 82, 33, 56, 70
56, 19, 54.105263, 29, 77, 41, 55, 71
57, 18, 56.055556, 27, 89, 40, 57, 66
58, 19, 56.052632, 39, 80, 42, 55, 67
59, 22, 48.000000, 27, 82, 35, 47, 61
