time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 23, 45.608696, 26, 72, 38, 47, 54
1, 23, 45.000000, 19, 80, 34, 41, 56
2, 23, 286.478261, 21, 5526, 35, 45, 63
3, 25, 41.800000, 25, 75, 33, 38, 51
4, 24, 42.666667, 20, 68, 28, 38, 55
5, 22, 47.409091, 24, 71, 37, 46, 56
6, 22, 47.409091, 23, 78, 38, 43, 57
7, 24, 42.791667, 25, 71, 33, 41, 51
8, 25, 41.040000, 21, 74, 27, 39, 49
9, 22, 45.409091, 20, 69, 34, 45, 54
10, 23, 45.304348, 23, 73, 30, 42, 58
11, 23, 44.304348, 29, 81, 32, 44, 56
12, 21, 50.952381, 27, 87, 37, 51, 65
13, 21, 49.285714, 24, 88, 31, 50, 64
14, 20, 51.350000, 27, 78, 43, 51, 61
15, 18, 57.388889, 31, 83, 46, 57, 67
16, 16, 63.187500, 30, 104, 39, 67, 86
17, 17, 61.882353, 34, 86, 50, 67, 72
18, 16, 61.562500, 32, 109, 44, 59, 73
19, 16, 63.000000, 35, 87, 45, 61, 78
20, 17, 63.235294, 38, 95, 52, 62, 73
21, 17, 61.294118, 35, 94, 45, 59, 78
22, 17, 63.882353, 32, 113, 36, 66, 81
23, 15, 66.066667, 40, 107, 57, 63, 77
24, 17, 61.000000, 31, 103, 41, 61, 78
25, 18, 58.222222, 26, 119, 43, 56, 66
26, 17, 293.411765, 29, 3957, 44, 73, 83
27, 18, 54.222222, 28, 78, 40, 56, 66
28, 16, 68.250000, 36, 102, 55, 66, 80
29, 18, 57.833333, 30, 85, 45, 57, 65
30, 18, 58.333333, 39, 79, 52, 58, 65
31, 19, 51.789474, 27, 85, 42, 53, 61
32, 22, 48.818182, 21, 97, 32, 43, 67
33, 24, 42.541667, 22, 59, 35, 43, 50
34, 22, 47.409091, 20, 80, 31, 44, 64
35, 19, 52.736842, 24, 74, 42, 56, 67
36, 24, 454.833333, 28, 9745, 39, 46, 53
37, 18, 54.388889, 28, 82, 46, 57, 65
38, 24, 42.916667, 21, 62, 32, 42, 54
39, 21, 51.142857, 29, 70, 45, 50, 58
40, 17, 58.058824, 29, 85, 41, 61, 72
41, 22, 51.227273, 28, 88, 40, 48, 64
42, 23, 44.521739, 25, 91, 30, 41, 57
43, 20, 51.500000, 31, 73, 43, 50, 60
44, 19, 53.210526, 28, 109, 34, 53, 66
45, 22, 48.318182, 23, 77, 37, 48, 56
46, 22, 45.863636, 25, 85, 33, 45, 54
47, 21, 50.476190, 32, 71, 37, 51, 61
48, 18, 56.611111, 39, 92, 43, 54, 68
49, 19, 54.052632, 30, 81, 36, 55, 70
50, 22, 248.818182, 29, 4412, 37, 48, 66
51, 19, 54.052632, 33, 88, 38, 49, 68
52, 20, 50.700000, 28, 100, 40, 46, 57
53, 19, 55.157895, 29, 85, 43, 53, 67
54, 18, 57.944444, 26, 95, 41, 63, 69
55, 22, 46.954545, 18, 68, 38, 49, 58
56, 17, 60.235294, 30, 91, 54, 61, 69
57, 21, 48.666667, 26, 68, 35, 47, 61
58, 22, 393.500000, 29, 7535, 44, 51, 62
59, 20, 52.000000, 35, 72, 41, 49, 64
