time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 16, 63.562500, 23, 125, 45, 57, 76
1, 16, 62.125000, 29, 107, 43, 53, 82
2, 16, 63.062500, 32, 163, 40, 53, 73
3, 13, 76.846154, 30, 174, 50, 72, 92
4, 16, 65.000000, 27, 140, 41, 60, 81
5, 14, 66.142857, 36, 99, 50, 61, 81
6, 12, 84.666667, 51, 130, 70, 83, 94
7, 14, 76.142857, 31, 107, 65, 78, 94
8, 15, 64.066667, 31, 131, 45, 60, 85
9, 14, 75.857143, 34, 105, 60, 84, 89
10, 14, 65.571429, 41, 91, 49, 67, 78
11, 14, 73.642857, 31, 130, 53, 70, 80
12, 15, 66.200000, 35, 132, 44, 69, 76
13, 14, 71.071429, 35, 129, 38, 71, 94
14, 12, 86.666667, 43, 129, 63, 88, 109
15, 11, 95.727273, 56, 178, 58, 107, 113
16, 12, 78.333333, 45, 165, 49, 72, 95
17, 13, 77.461538, 43, 124, 60, 72, 92
18, 12, 86.416667, 25, 115, 63, 97, 107
19, 11, 91.909091, 37, 187, 49, 95, 122
20, 10, 102.400000, 76, 134, 77, 107, 118
21, 8, 116.375000, 75, 159, 91, 111, 146
22, 10, 101.900000, 62, 167, 80, 96, 117
23, 12, 82.583333, 41, 143, 56, 82, 104
24, 12, 89.083333, 60, 128, 70, 87, 107
25, 9, 111.888889, 78, 152, 95, 106, 136
26, 12, 79.666667, 33, 115, 54, 88, 101
27, 13, 80.538462, 50, 105, 60, 84, 95
28, 14, 70.142857, 44, 116, 50, 63, 89
29, 15, 65.266667, 26, 104, 46, 66, 87
30, 12, 83.916667, 42, 131, 57, 87, 98
31, 14, 74.571429, 36, 111, 54, 75, 89
32, 11, 89.363636, 46, 146, 61, 91, 114
33, 14, 70.071429, 32, 98, 49, 76, 85
34, 15, 67.133333, 34, 103, 45, 75, 83
35, 15, 69.066667, 39, 99, 56, 72, 76
36, 14, 70.500000, 37, 112, 53, 65, 89
37, 14, 72.714286, 35, 116, 65, 74, 81
38, 14, 72.928571, 46, 148, 54, 70, 79
39, 12, 81.666667, 40, 129, 61, 86, 101
40, 11, 86.090909, 46, 161, 66, 85, 102
41, 11, 95.727273, 60, 133, 71, 95, 119
42, 11, 91.636364, 49, 152, 77, 89, 108
43, 12, 84.000000, 55, 117, 68, 85, 99
44, 13, 75.000000, 43, 156, 47, 57, 90
45, 13, 77.538462, 30, 126, 48, 73, 103
46, 11, 87.181818, 57, 134, 63, 79, 104
47, 16, 62.312500, 37, 106, 41, 58, 76
48, 14, 76.500000, 31, 111, 57, 77, 100
49, 12, 84.916667, 36, 164, 54, 86, 102
50, 10, 93.000000, 40, 180, 64, 80, 105
51, 13, 77.923077, 33, 118, 53, 72, 108
52, 13, 78.615385, 43, 109, 54, 88, 98
53, 12, 87.583333, 40, 204, 55, 77, 101
54, 12, 80.583333, 40, 157, 48, 86, 95
55, 13, 74.846154, 47, 102, 63, 75, 91
56, 12, 86.333333, 46, 147, 69, 84, 101
57, 15, 63.533333, 36, 105, 46, 57, 85
58, 14, 73.928571, 49, 133, 56, 66, 85
59, 11, 91.727273, 57, 141, 70, 93, 108
