time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 23, 44.086957, 22, 74, 32, 41, 53
1, 25, 142.720000, 22, 2523, 34, 44, 55
2, 22, 46.863636, 18, 68, 40, 49, 59
3, 24, 43.416667, 25, 71, 32, 41, 53
4, 21, 49.238095, 19, 78, 38, 48, 60
5, 24, 41.583333, 22, 63, 32, 40, 50
6, 22, 47.454545, 26, 72, 34, 47, 59
7, 23, 45.478261, 21, 69, 35, 46, 53
8, 22, 46.590909, 23, 77, 39, 45, 57
9, 22, 45.863636, 25, 66, 38, 45, 56
10, 22, 46.545455, 25, 75, 35, 47, 55
11, 25, 45.080000, 25, 130, 34, 38, 53
12, 21, 49.380952, 30, 76, 34, 52, 62
13, 23, 45.521739, 29, 79, 35, 44, 51
14, 22, 44.454545, 20, 75, 30, 43, 56
15, 21, 50.000000, 25, 72, 38, 53, 57
16, 23, 258.217391, 30, 4908, 36, 47, 57
17, 22, 46.863636, 21, 68, 39, 47, 56
18, 21, 48.333333, 23, 65, 41, 50, 59
19, 23, 44.304348, 23, 77, 30, 47, 54
20, 23, 44.652174, 25, 68, 35, 47, 52
21, 22, 46.500000, 27, 82, 33, 42, 58
22, 25, 42.360000, 23, 66, 30, 45, 53
23, 24, 42.583333, 23, 74, 31, 40, 49
24, 23, 43.869565, 24, 63, 31, 43, 55
25, 22, 48.636364, 27, 77, 39, 50, 57
26, 22, 48.136364, 21, 92, 37, 48, 54
27, 24, 44.208333, 25, 74, 35, 44, 49
28, 21, 49.142857, 21, 79, 38, 51, 62
29, 23, 43.347826, 23, 61, 38, 43, 51
30, 23, 46.478261, 22, 70, 36, 49, 54
31, 23, 43.652174, 26, 70, 29, 42, 58
32, 16, 67.000000, 28, 107, 53, 67, 82
33, 24, 42.041667, 24, 70, 29, 41, 52
34, 23, 46.913043, 26, 68, 34, 48, 57
35, 23, 44.043478, 25, 65, 32, 42, 58
36, 23, 46.086957, 27, 79, 34, 49, 52
37, 19, 55.842105, 26, 80, 44, 60, 66
38, 23, 155.260870, 22, 2217, 35, 47, 65
39, 19, 54.052632, 32, 77, 37, 59, 67
40, 18, 57.944444, 34, 90, 41, 58, 72
41, 19, 55.368421, 26, 80, 44, 59, 67
42, 16, 61.250000, 30, 107, 37, 61, 79
43, 16, 66.625000, 36, 98, 54, 68, 80
44, 18, 56.388889, 26, 98, 41, 58, 66
45, 20, 52.950000, 26, 87, 37, 53, 63
46, 17, 59.588235, 32, 87, 39, 66, 74
47, 20, 498.600000, 28, 8548, 42, 68, 77
48, 19, 53.421053, 22, 86, 39, 54, 71
49, 24, 43.791667, 25, 75, 31, 38, 56
50, 23, 45.739130, 21, 80, 32, 42, 58
51, 19, 53.526316, 28, 83, 41, 55, 67
52, 20, 50.350000, 23, 71, 42, 50, 59
53, 19, 53.894737, 30, 75, 44, 56, 63
54, 21, 49.285714, 28, 66, 39, 51, 57
55, 22, 47.500000, 31, 72, 38, 43, 63
56, 22, 449.772727, 19, 8888, 41, 49, 64
57, 24, 42.583333, 19, 69, 31, 40, 55
58, 20, 53.300000, 27, 78, 44, 53, 63
59, 23, 43.130435, 25, 64, 33, 40, 55
