time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 58, 6.603448, 3, 11, 4, 7, 8
1, 57, 6.649123, 3, 13, 5, 6, 8
2, 84, 6.214286, 3, 16, 5, 6, 7
3, 52, 6.576923, 4, 10, 5, 7, 8
4, 66, 6.681818, 3, 11, 5, 7, 8
5, 64, 6.906250, 3, 16, 5, 6, 8
6, 65, 7.123077, 4, 19, 5, 6, 9
7, 65, 6.646154, 3, 11, 5, 6, 8
8, 46, 6.586957, 3, 12, 5, 6, 8
9, 62, 6.774194, 3, 14, 5, 6, 8
10, 59, 7.152542, 3, 13, 5, 7, 9
11, 74, 6.932432, 3, 13, 5, 7, 9
12, 85, 6.388235, 3, 12, 4, 6, 8
13, 57, 6.842105, 4, 12, 5, 7, 8
14, 66, 6.878788, 3, 18, 6, 7, 8
15, 81, 6.506173, 3, 13, 5, 6, 8
16, 74, 6.662162, 3, 15, 5, 6, 8
17, 59, 6.355932, 3, 11, 4, 6, 8
18, 75, 6.626667, 3, 15, 5, 6, 8
19, 76, 6.328947, 3, 10, 4, 6, 8
20, 71, 6.309859, 3, 16, 5, 6, 7
21, 65, 6.569231, 3, 12, 5, 7, 8
22, 63, 6.539683, 4, 13, 5, 6, 8
23, 66, 6.484848, 3, 12, 5, 6, 8
24, 56, 6.875000, 3, 14, 5, 7, 8
25, 76, 6.407895, 3, 13, 5, 6, 8
26, 79, 6.746835, 3, 15, 5, 7, 8
27, 84, 6.297619, 3, 14, 4, 6, 8
28, 66, 6.469697, 3, 13, 5, 6, 8
29, 59, 7.000000, 3, 18, 5, 7, 9
30, 68, 7.220588, 4, 14, 5, 7, 9
31, 57, 7.859649, 4, 17, 6, 8, 10
32, 60, 8.016667, 4, 16, 6, 8, 10
33, 49, 8.469388, 4, 19, 6, 8, 10
34, 52, 8.846154, 4, 17, 6, 9, 11
35, 66, 8.590909, 5, 16, 7, 8, 10
36, 60, 9.050000, 4, 15, 6, 9, 11
37, 41, 8.951220, 5, 16, 7, 8, 11
38, 44, 9.818182, 5, 19, 7, 9, 12
39, 51, 7.568627, 4, 16, 5, 7, 9
40, 43, 9.093023, 4, 17, 7, 9, 11
41, 50, 8.780000, 4, 18, 6, 9, 11
42, 46, 7.760870, 4, 13, 6, 7, 10
43, 48, 7.958333, 4, 16, 6, 7, 10
44, 47, 8.255319, 3, 18, 5, 8, 11
45, 46, 7.434783, 4, 12, 5, 7, 9
46, 64, 7.468750, 4, 14, 6, 7, 9
47, 63, 7.095238, 4, 15, 4, 7, 9
48, 64, 7.390625, 3, 18, 6, 7, 9
49, 52, 7.538462, 3, 15, 5, 8, 10
50, 49, 7.755102, 4, 16, 6, 8, 9
51, 60, 7.000000, 3, 13, 5, 6, 9
52, 53, 7.584906, 3, 15, 5, 7, 9
53, 53, 7.358491, 3, 13, 6, 7, 9
54, 77, 7.259740, 4, 22, 5, 7, 9
55, 60, 7.383333, 3, 13, 5, 7, 10
56, 62, 7.322581, 3, 15, 5, 7, 9
57, 55, 6.454545, 4, 11, 5, 6, 8
58, 67, 7.223881, 3, 12, 5, 7, 9
59, 57, 6.789474, 4, 12, 5, 6, 8
