time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 78, 5.423077, 2, 18, 4, 5, 7
1, 63, 5.587302, 3, 14, 4, 5, 7
2, 77, 5.116883, 3, 13, 3, 4, 6
3, 58, 5.431034, 3, 13, 4, 5, 7
4, 62, 5.548387, 2, 13, 4, 5, 7
5, 71, 5.577465, 2, 15, 4, 5, 7
6, 75, 5.826667, 2, 14, 4, 6, 7
7, 63, 5.619048, 2, 12, 4, 6, 7
8, 71, 5.422535, 3, 14, 4, 5, 7
9, 72, 5.444444, 2, 11, 4, 5, 7
10, 61, 5.393443, 2, 10, 4, 5, 7
11, 66, 5.136364, 2, 9, 4, 5, 6
12, 68, 5.161765, 2, 11, 4, 5, 6
13, 75, 5.986667, 2, 13, 4, 6, 7
14, 63, 5.412698, 2, 14, 4, 5, 6
15, 71, 5.338028, 2, 10, 4, 5, 7
16, 73, 5.506849, 3, 10, 4, 5, 7
17, 92, 5.500000, 2, 10, 4, 5, 7
18, 85, 5.141176, 2, 10, 4, 5, 6
19, 91, 5.175824, 2, 10, 3, 5, 6
20, 95, 5.652632, 2, 12, 4, 5, 7
21, 61, 5.819672, 3, 15, 4, 6, 7
22, 77, 5.597403, 3, 11, 4, 5, 7
23, 82, 5.475610, 2, 13, 4, 5, 7
24, 82, 5.695122, 2, 16, 4, 6, 7
25, 82, 5.012195, 2, 9, 4, 5, 6
26, 78, 5.461538, 3, 10, 4, 5, 7
27, 73, 6.013699, 3, 12, 4, 6, 7
28, 71, 5.183099, 3, 10, 4, 5, 7
29, 53, 5.547170, 3, 12, 5, 5, 6
30, 89, 5.269663, 2, 13, 4, 5, 6
31, 82, 5.414634, 3, 10, 4, 5, 7
32, 82, 5.451220, 3, 10, 4, 5, 7
33, 73, 5.328767, 2, 11, 4, 5, 7
34, 73, 5.630137, 3, 16, 4, 5, 7
35, 72, 5.888889, 2, 14, 4, 5, 8
36, 64, 6.062500, 3, 12, 4, 5, 8
37, 67, 6.940299, 3, 12, 5, 7, 8
38, 65, 7.123077, 3, 18, 5, 7, 9
39, 60, 7.200000, 4, 17, 5, 7, 9
40, 50, 7.360000, 4, 12, 5, 7, 9
41, 47, 7.617021, 4, 15, 6, 7, 9
42, 42, 7.380952, 3, 13, 5, 7, 9
43, 52, 7.269231, 4, 18, 6, 7, 9
44, 52, 6.942308, 3, 13, 5, 6, 8
45, 64, 6.890625, 3, 12, 5, 7, 9
46, 56, 6.517857, 3, 13, 5, 6, 8
47, 69, 6.362319, 2, 11, 5, 6, 8
48, 69, 5.826087, 3, 10, 4, 6, 7
49, 73, 6.273973, 3, 12, 4, 6, 7
50, 62, 6.145161, 3, 13, 4, 6, 7
51, 79, 5.518987, 3, 12, 4, 5, 7
52, 68, 6.176471, 2, 17, 4, 6, 7
53, 81, 5.827160, 3, 13, 4, 5, 7
54, 62, 5.677419, 3, 10, 5, 5, 7
55, 83, 5.325301, 3, 10, 4, 5, 6
56, 53, 6.396226, 3, 17, 5, 7, 8
57, 69, 6.028986, 3, 24, 4, 5, 7
58, 61, 5.524590, 2, 12, 4, 5, 7
59, 67, 5.701493, 2, 11, 4, 5, 7
60, 1, 9.000000, 9, 9, 9, 9, 9
