time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 64, 6.703125, 3, 12, 5, 6, 8
1, 60, 6.950000, 3, 11, 5, 7, 9
2, 85, 6.294118, 3, 12, 4, 6, 8
3, 61, 6.885246, 3, 12, 5, 6, 9
4, 71, 6.605634, 3, 13, 5, 7, 8
5, 65, 7.138462, 3, 12, 5, 7, 9
6, 76, 6.552632, 3, 18, 5, 6, 8
7, 71, 6.577465, 3, 13, 5, 6, 8
8, 64, 6.968750, 3, 16, 5, 7, 9
9, 70, 7.028571, 3, 13, 6, 7, 9
10, 76, 6.486842, 3, 10, 5, 6, 8
11, 65, 6.292308, 3, 14, 4, 6, 8
12, 69, 6.826087, 3, 14, 5, 6, 8
13, 62, 7.016129, 3, 17, 5, 6, 9
14, 54, 6.777778, 3, 19, 5, 6, 8
15, 59, 6.525424, 3, 13, 5, 6, 8
16, 71, 6.746479, 3, 15, 5, 7, 9
17, 80, 6.587500, 3, 15, 5, 6, 8
18, 86, 6.883721, 3, 13, 5, 7, 8
19, 58, 7.344828, 3, 14, 6, 7, 9
20, 73, 6.328767, 3, 13, 5, 6, 8
21, 66, 7.075758, 3, 13, 5, 7, 9
22, 73, 6.410959, 3, 12, 5, 6, 7
23, 68, 6.720588, 3, 14, 4, 7, 9
24, 57, 6.684211, 3, 14, 5, 7, 8
25, 65, 6.615385, 3, 11, 5, 7, 8
26, 64, 6.453125, 4, 13, 5, 6, 7
27, 52, 6.865385, 3, 16, 4, 7, 8
28, 64, 6.500000, 3, 12, 5, 6, 8
29, 61, 7.131148, 3, 19, 5, 7, 9
30, 69, 6.811594, 3, 14, 5, 6, 8
31, 71, 7.084507, 3, 18, 5, 7, 9
32, 65, 6.646154, 3, 14, 5, 6, 8
33, 76, 6.302632, 3, 11, 5, 6, 8
34, 57, 6.491228, 3, 11, 5, 7, 8
35, 54, 6.888889, 3, 13, 5, 7, 9
36, 63, 6.603175, 3, 12, 4, 7, 8
37, 70, 6.500000, 3, 15, 5, 6, 8
38, 66, 6.439394, 3, 15, 5, 6, 8
39, 68, 6.955882, 3, 12, 4, 7, 9
40, 61, 6.606557, 3, 11, 4, 7, 9
41, 58, 6.862069, 3, 14, 5, 7, 8
42, 74, 6.405405, 3, 15, 5, 6, 8
43, 63, 7.698413, 4, 16, 6, 8, 9
44, 67, 6.626866, 3, 18, 5, 7, 8
45, 66, 6.848485, 3, 22, 5, 6, 8
46, 64, 6.078125, 3, 14, 4, 5, 8
47, 73, 6.616438, 3, 13, 5, 6, 8
48, 64, 7.750000, 4, 13, 6, 8, 9
49, 74, 6.905405, 3, 14, 5, 6, 9
50, 54, 7.907407, 3, 15, 5, 7, 10
51, 64, 7.875000, 3, 25, 5, 7, 9
52, 56, 7.589286, 4, 15, 5, 7, 9
53, 55, 7.309091, 4, 16, 5, 7, 9
54, 47, 7.702128, 4, 14, 5, 7, 10
55, 51, 9.117647, 4, 16, 7, 9, 12
56, 48, 8.020833, 4, 18, 6, 7, 10
57, 59, 8.084746, 4, 16, 6, 8, 10
58, 58, 7.413793, 4, 19, 6, 7, 9
59, 59, 7.661017, 4, 17, 5, 7, 10
