time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 63, 6.380952, 1, 18, 4, 6, 8
1, 74, 6.513514, 3, 11, 4, 6, 9
2, 76, 5.868421, 3, 13, 4, 5, 7
3, 69, 5.898551, 3, 12, 4, 5, 7
4, 62, 6.225806, 3, 12, 5, 6, 8
5, 45, 6.622222, 3, 14, 4, 7, 8
6, 58, 6.068966, 3, 11, 5, 6, 7
7, 59, 6.593220, 3, 18, 5, 6, 8
8, 80, 6.312500, 3, 13, 5, 6, 7
9, 62, 6.129032, 3, 13, 4, 6, 8
10, 60, 6.400000, 3, 13, 4, 6, 8
11, 70, 5.828571, 3, 15, 4, 6, 7
12, 59, 6.271186, 3, 10, 5, 6, 8
13, 78, 6.269231, 3, 15, 5, 6, 7
14, 72, 6.194444, 3, 11, 4, 6, 7
15, 58, 6.155172, 3, 11, 5, 6, 7
16, 60, 6.083333, 3, 12, 4, 5, 8
17, 70, 6.228571, 3, 17, 5, 6, 8
18, 83, 5.987952, 3, 17, 4, 6, 7
19, 76, 6.500000, 3, 11, 5, 7, 8
20, 69, 6.217391, 3, 15, 4, 6, 7
21, 68, 6.161765, 3, 13, 4, 6, 8
22, 67, 5.925373, 3, 12, 5, 6, 7
23, 65, 5.984615, 3, 19, 5, 6, 7
24, 61, 6.770492, 3, 16, 5, 6, 8
25, 65, 5.938462, 3, 14, 4, 6, 7
26, 70, 5.985714, 3, 11, 4, 6, 7
27, 82, 6.085366, 3, 13, 4, 6, 8
28, 77, 6.181818, 3, 15, 4, 6, 8
29, 70, 6.214286, 3, 17, 5, 6, 7
30, 76, 6.842105, 3, 16, 5, 7, 8
31, 78, 5.794872, 3, 14, 4, 5, 7
32, 73, 6.191781, 2, 15, 4, 6, 8
33, 71, 6.394366, 3, 15, 5, 6, 7
34, 80, 5.912500, 3, 12, 4, 6, 7
35, 61, 5.803279, 3, 10, 4, 6, 7
36, 65, 6.276923, 3, 13, 4, 6, 8
37, 69, 6.217391, 3, 11, 5, 6, 7
38, 61, 6.377049, 3, 10, 5, 6, 8
39, 75, 5.906667, 2, 12, 4, 6, 7
40, 78, 6.230769, 3, 17, 4, 6, 8
41, 64, 6.078125, 3, 12, 4, 6, 8
42, 64, 5.718750, 3, 10, 4, 5, 7
43, 82, 6.060976, 3, 15, 4, 6, 7
44, 80, 5.562500, 3, 14, 4, 5, 6
45, 62, 6.064516, 3, 13, 4, 6, 7
46, 69, 6.159420, 3, 12, 4, 6, 8
47, 81, 6.197531, 3, 12, 4, 6, 8
48, 72, 6.180556, 3, 16, 5, 6, 7
49, 68, 5.617647, 3, 12, 4, 5, 6
50, 81, 6.185185, 3, 13, 4, 6, 8
51, 74, 5.986486, 2, 13, 4, 6, 7
52, 74, 5.905405, 3, 11, 4, 6, 7
53, 73, 6.315068, 3, 13, 4, 6, 8
54, 65, 6.492308, 3, 16, 5, 6, 8
55, 57, 6.087719, 3, 14, 4, 6, 8
56, 55, 6.618182, 3, 15, 5, 6, 8
57, 68, 6.867647, 3, 16, 5, 7, 8
58, 65, 6.769231, 3, 14, 5, 6, 8
59, 63, 7.111111, 3, 17, 5, 7, 8
