time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 39, 7.384615, 3, 14, 5, 7, 9
1, 82, 5.926829, 2, 14, 4, 6, 7
2, 75, 6.360000, 3, 16, 4, 6, 8
3, 65, 6.815385, 3, 17, 5, 6, 8
4, 72, 6.819444, 4, 13, 5, 7, 8
5, 59, 7.033898, 3, 13, 5, 7, 9
6, 69, 6.710145, 3, 15, 5, 6, 8
7, 69, 6.739130, 3, 13, 5, 7, 9
8, 57, 6.912281, 3, 17, 5, 7, 9
9, 78, 6.653846, 3, 14, 5, 6, 8
10, 72, 6.777778, 3, 13, 5, 6, 9
11, 69, 6.565217, 3, 14, 4, 6, 8
12, 73, 6.506849, 3, 14, 5, 6, 8
13, 47, 6.851064, 3, 17, 5, 7, 8
14, 76, 6.710526, 3, 13, 5, 7, 8
15, 68, 6.411765, 3, 11, 5, 6, 8
16, 77, 6.480519, 3, 16, 5, 6, 8
17, 55, 6.400000, 3, 16, 5, 6, 8
18, 66, 6.348485, 3, 12, 4, 6, 8
19, 83, 6.096386, 2, 12, 4, 6, 8
20, 63, 6.730159, 2, 16, 5, 6, 8
21, 64, 6.906250, 4, 13, 5, 7, 8
22, 65, 6.476923, 3, 13, 4, 6, 8
23, 39, 6.846154, 3, 11, 5, 6, 10
24, 75, 7.026667, 3, 14, 5, 7, 9
25, 69, 6.275362, 3, 14, 4, 6, 8
26, 69, 6.623188, 3, 15, 4, 6, 8
27, 58, 6.672414, 4, 16, 5, 6, 8
28, 58, 7.068966, 3, 16, 5, 7, 9
29, 59, 7.627119, 4, 14, 6, 7, 9
30, 38, 8.342105, 4, 19, 6, 8, 10
31, 54, 8.574074, 4, 15, 7, 8, 10
32, 45, 8.555556, 5, 15, 6, 8, 10
33, 53, 8.188679, 4, 14, 6, 8, 10
34, 55, 9.509091, 4, 19, 7, 10, 12
35, 58, 8.637931, 5, 16, 6, 8, 11
36, 38, 10.184211, 5, 17, 7, 10, 13
37, 40, 9.475000, 5, 19, 6, 9, 11
38, 58, 8.310345, 4, 14, 6, 8, 10
39, 53, 8.490566, 4, 20, 6, 8, 10
40, 44, 7.818182, 4, 14, 6, 8, 9
41, 43, 8.023256, 4, 14, 6, 8, 9
42, 58, 7.189655, 4, 14, 5, 7, 9
43, 55, 7.272727, 2, 17, 5, 7, 9
44, 57, 7.473684, 3, 14, 5, 7, 9
45, 63, 6.920635, 4, 16, 5, 7, 9
46, 65, 7.230769, 3, 16, 5, 7, 9
47, 68, 6.970588, 3, 12, 5, 7, 8
48, 41, 8.146341, 3, 45, 6, 7, 8
49, 59, 6.610169, 3, 23, 5, 6, 8
50, 68, 6.426471, 3, 15, 4, 6, 8
51, 72, 7.013889, 3, 21, 5, 6, 9
52, 53, 7.094340, 3, 13, 5, 7, 9
53, 59, 6.677966, 3, 20, 4, 6, 9
54, 64, 6.781250, 3, 12, 5, 6, 8
55, 73, 7.000000, 3, 14, 5, 7, 9
56, 70, 7.028571, 3, 17, 5, 7, 9
57, 55, 6.218182, 4, 11, 5, 6, 8
58, 67, 7.014925, 4, 23, 5, 6, 9
59, 57, 7.403509, 3, 14, 5, 7, 9
