time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 62, 5.903226, 2, 11, 4, 6, 7
1, 70, 6.014286, 3, 11, 4, 6, 7
2, 66, 6.287879, 3, 10, 5, 6, 8
3, 65, 5.553846, 3, 11, 4, 5, 7
4, 74, 5.810811, 3, 11, 4, 5, 8
5, 73, 5.397260, 3, 14, 4, 5, 7
6, 94, 5.478723, 3, 10, 4, 5, 7
7, 78, 5.589744, 3, 14, 4, 5, 7
8, 55, 6.236364, 3, 14, 5, 6, 8
9, 45, 6.222222, 3, 12, 5, 6, 7
10, 66, 5.727273, 2, 12, 4, 5, 7
11, 83, 5.807229, 3, 14, 4, 5, 7
12, 72, 5.527778, 2, 10, 4, 5, 7
13, 80, 5.575000, 3, 11, 4, 5, 7
14, 60, 5.566667, 3, 16, 4, 5, 7
15, 74, 5.891892, 3, 12, 4, 6, 8
16, 92, 5.543478, 3, 13, 4, 5, 7
17, 73, 5.726027, 3, 10, 4, 5, 7
18, 48, 5.895833, 3, 11, 4, 5, 7
19, 60, 5.783333, 3, 10, 4, 5, 8
20, 67, 6.179104, 3, 14, 5, 6, 8
21, 69, 5.173913, 3, 10, 4, 5, 6
22, 78, 5.923077, 3, 14, 4, 6, 8
23, 57, 6.052632, 3, 12, 4, 6, 7
24, 81, 5.765432, 3, 12, 4, 6, 7
25, 73, 6.095890, 3, 11, 4, 6, 8
26, 51, 6.764706, 3, 26, 5, 6, 8
27, 84, 6.011905, 2, 14, 4, 5, 7
28, 69, 5.724638, 3, 17, 4, 6, 7
29, 74, 5.783784, 3, 11, 4, 6, 7
30, 74, 5.554054, 3, 9, 4, 6, 7
31, 70, 5.671429, 3, 10, 4, 6, 7
32, 74, 5.864865, 3, 12, 4, 6, 7
33, 76, 5.657895, 3, 12, 4, 5, 7
34, 60, 6.050000, 3, 15, 4, 5, 7
35, 74, 5.918919, 3, 16, 4, 6, 7
36, 71, 6.014085, 3, 12, 4, 6, 7
37, 57, 5.929825, 3, 10, 4, 5, 8
38, 58, 5.844828, 3, 12, 4, 6, 7
39, 58, 5.982759, 3, 10, 5, 6, 7
40, 64, 5.968750, 3, 14, 4, 6, 8
41, 67, 6.537313, 3, 14, 4, 7, 8
42, 47, 7.127660, 4, 15, 5, 7, 9
43, 60, 7.066667, 3, 14, 5, 7, 8
44, 46, 9.217391, 4, 17, 7, 9, 12
45, 43, 7.162791, 4, 12, 5, 7, 10
46, 54, 7.407407, 3, 14, 6, 7, 9
47, 52, 7.980769, 3, 19, 6, 8, 9
48, 53, 8.113208, 4, 14, 6, 8, 10
49, 58, 7.655172, 4, 14, 6, 8, 9
50, 69, 7.246377, 4, 14, 5, 7, 9
51, 51, 7.941176, 4, 14, 5, 8, 10
52, 79, 6.746835, 3, 15, 5, 7, 8
53, 53, 6.735849, 3, 12, 5, 6, 8
54, 63, 5.952381, 3, 12, 4, 6, 7
55, 74, 6.135135, 3, 12, 4, 6, 8
56, 58, 5.896552, 3, 16, 4, 6, 7
57, 63, 5.952381, 3, 11, 4, 6, 8
58, 67, 5.656716, 3, 10, 4, 6, 7
59, 74, 6.000000, 3, 11, 4, 6, 7
