time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 143, 13.482517, 8, 31, 11, 13, 16
1, 134, 14.350746, 6, 27, 12, 14, 16
2, 135, 14.355556, 6, 35, 12, 14, 16
3, 137, 14.036496, 7, 32, 11, 14, 16
4, 130, 14.861538, 8, 31, 13, 15, 16
5, 142, 13.492958, 8, 25, 11, 13, 15
6, 119, 16.386555, 9, 34, 13, 16, 18
7, 120, 16.191667, 7, 73, 12, 14, 17
8, 134, 14.305970, 8, 33, 12, 14, 16
9, 124, 15.620968, 8, 27, 13, 16, 17
10, 137, 14.080292, 6, 31, 12, 14, 16
11, 134, 14.365672, 8, 30, 12, 14, 16
12, 133, 14.654135, 8, 31, 12, 14, 17
13, 131, 14.671756, 7, 33, 13, 14, 17
14, 134, 14.492537, 8, 29, 11, 14, 16
15, 136, 14.198529, 8, 28, 12, 14, 16
16, 133, 14.563910, 7, 28, 12, 15, 16
17, 133, 14.541353, 7, 27, 11, 15, 17
18, 139, 13.791367, 7, 31, 11, 13, 16
19, 141, 13.702128, 8, 32, 11, 13, 16
20, 129, 14.844961, 8, 33, 12, 14, 17
21, 142, 13.725352, 8, 27, 11, 14, 16
22, 141, 13.680851, 7, 24, 11, 13, 16
23, 133, 14.451128, 8, 32, 12, 14, 16
24, 132, 14.659091, 7, 34, 11, 15, 17
25, 133, 14.518797, 7, 28, 12, 14, 17
26, 133, 14.451128, 7, 27, 12, 14, 16
27, 134, 14.492537, 8, 38, 12, 14, 16
28, 139, 13.856115, 8, 27, 12, 14, 15
29, 125, 15.392000, 9, 53, 12, 14, 17
30, 136, 14.176471, 7, 34, 12, 13, 16
31, 138, 13.992754, 8, 26, 12, 14, 16
32, 140, 13.828571, 8, 31, 12, 13, 15
33, 137, 13.992701, 8, 30, 12, 14, 16
34, 142, 13.669014, 7, 23, 11, 13, 16
35, 125, 15.528000, 8, 36, 13, 15, 18
36, 90, 21.700000, 9, 75, 15, 19, 24
37, 129, 14.992248, 8, 34, 12, 14, 16
38, 133, 14.496241, 8, 31, 12, 15, 17
39, 133, 14.503759, 7, 31, 12, 14, 16
40, 134, 14.485075, 8, 28, 12, 14, 17
41, 135, 14.266667, 7, 30, 12, 14, 16
42, 140, 13.678571, 7, 22, 11, 13, 16
43, 137, 14.167883, 8, 32, 11, 14, 16
44, 135, 14.325926, 8, 30, 12, 14, 17
45, 135, 14.392593, 8, 29, 12, 14, 16
46, 134, 14.373134, 7, 27, 12, 14, 16
47, 136, 14.213235, 8, 28, 12, 14, 16
48, 134, 14.343284, 8, 34, 13, 14, 15
49, 139, 14.021583, 7, 29, 12, 14, 16
50, 132, 14.590909, 7, 31, 12, 14, 16
51, 132, 14.568182, 8, 32, 12, 14, 16
52, 141, 13.673759, 7, 29, 11, 13, 15
53, 146, 13.123288, 7, 26, 11, 13, 15
54, 137, 14.072993, 8, 31, 12, 14, 16
55, 140, 13.842857, 7, 37, 11, 13, 16
56, 131, 14.809160, 7, 29, 12, 14, 17
57, 147, 13.068027, 8, 25, 11, 13, 15
58, 140, 13.814286, 6, 29, 12, 14, 15
59, 141, 13.716312, 7, 32, 11, 14, 16
