time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3303, 2.292159, 0, 12, 2, 2, 3
1, 3252, 2.330258, 0, 11, 2, 2, 3
2, 3315, 2.237707, 0, 12, 2, 2, 3
3, 3286, 2.288497, 1, 10, 2, 2, 3
4, 3229, 2.328275, 0, 10, 2, 2, 3
5, 3256, 2.332310, 0, 10, 2, 2, 3
6, 3139, 2.406180, 0, 11, 2, 2, 3
7, 2608, 3.011503, 0, 37, 2, 3, 4
8, 2900, 2.686552, 0, 14, 2, 2, 3
9, 3118, 2.440346, 0, 10, 2, 2, 3
10, 2986, 2.568319, 1, 9, 2, 2, 3
11, 2853, 2.731511, 0, 11, 2, 2, 3
12, 2900, 2.666897, 0, 11, 2, 2, 3
13, 3066, 2.508480, 0, 15, 2, 2, 3
14, 3156, 2.425856, 0, 9, 2, 2, 3
15, 3108, 2.441120, 1, 11, 2, 2, 3
16, 3213, 2.339869, 0, 8, 2, 2, 3
17, 3109, 2.452879, 0, 12, 2, 2, 3
18, 2835, 2.738977, 1, 45, 2, 2, 3
19, 3031, 2.560541, 1, 14, 2, 2, 3
20, 3107, 2.460895, 0, 9, 2, 2, 3
21, 3085, 2.471637, 1, 9, 2, 2, 3
22, 3141, 2.440942, 0, 10, 2, 2, 3
23, 3153, 2.439899, 0, 9, 2, 2, 3
24, 3171, 2.398612, 0, 9, 2, 2, 3
25, 3231, 2.341999, 0, 12, 2, 2, 3
26, 3021, 2.555776, 0, 64, 2, 2, 3
27, 3175, 2.393701, 1, 9, 2, 2, 3
28, 3009, 2.556663, 1, 10, 2, 2, 3
29, 3139, 2.423065, 0, 10, 2, 2, 3
30, 3133, 2.436004, 0, 13, 2, 2, 3
31, 3098, 2.476436, 0, 12, 2, 2, 3
32, 3114, 2.454399, 0, 12, 2, 2, 3
33, 3030, 2.510561, 0, 45, 2, 2, 3
34, 3112, 2.472044, 0, 10, 2, 2, 3
35, 2901, 2.669769, 1, 10, 2, 2, 3
36, 2672, 2.946108, 0, 15, 2, 3, 4
37, 2519, 3.163557, 1, 13, 2, 3, 4
38, 2502, 3.161471, 1, 12, 2, 3, 4
39, 2369, 3.377374, 1, 12, 2, 3, 4
40, 2419, 3.333196, 1, 12, 2, 3, 4
41, 2431, 3.321678, 1, 15, 2, 3, 4
42, 2340, 3.511538, 1, 59, 2, 3, 4
43, 2408, 3.324336, 1, 13, 2, 3, 4
44, 2672, 2.975299, 1, 10, 2, 3, 4
45, 2712, 2.900811, 0, 16, 2, 3, 3
46, 2819, 2.742462, 1, 13, 2, 2, 3
47, 3027, 2.545425, 0, 12, 2, 2, 3
48, 2803, 2.474135, 0, 9, 2, 2, 3
49, 2679, 3.215752, 1, 252, 2, 2, 3
50, 3209, 2.380804, 0, 16, 2, 2, 3
51, 3071, 2.491697, 0, 13, 2, 2, 3
52, 2976, 2.604167, 0, 63, 2, 2, 3
53, 3314, 2.281231, 0, 11, 2, 2, 3
54, 3275, 2.304122, 1, 10, 2, 2, 3
55, 3192, 2.372494, 0, 11, 2, 2, 3
56, 3255, 2.318280, 0, 9, 2, 2, 3
57, 2907, 2.627451, 0, 14, 2, 2, 3
58, 3132, 2.399745, 1, 10, 2, 2, 3
59, 3098, 2.472886, 1, 9, 2, 2, 3
60, 16, 2.875000, 2, 5, 2, 3, 3
