time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1786, 3.318589, 1, 15, 2, 3, 4
1, 1737, 3.283823, 1, 17, 2, 3, 4
2, 1787, 3.092334, 1, 13, 2, 3, 4
3, 1661, 3.172787, 1, 11, 2, 3, 4
4, 1823, 3.091607, 1, 14, 2, 3, 4
5, 1835, 3.168937, 1, 13, 2, 3, 4
6, 1775, 3.120000, 0, 12, 2, 3, 4
7, 1860, 2.994624, 0, 15, 2, 3, 4
8, 1661, 3.354004, 1, 10, 2, 3, 4
9, 1356, 4.712389, 0, 43, 2, 3, 5
10, 1399, 4.953538, 0, 96, 3, 4, 5
11, 1314, 4.000761, 1, 40, 3, 3, 5
12, 1262, 3.786054, 1, 35, 2, 3, 4
13, 1796, 3.379176, 1, 14, 2, 3, 4
14, 1571, 3.373647, 0, 17, 2, 3, 4
15, 1751, 3.251285, 1, 15, 2, 3, 4
16, 2117, 3.092111, 1, 16, 2, 3, 4
17, 1626, 3.115621, 1, 12, 2, 3, 4
18, 1811, 3.305356, 1, 15, 2, 3, 4
19, 1615, 3.273065, 1, 15, 2, 3, 4
20, 1872, 3.161859, 1, 10, 2, 3, 4
21, 1704, 3.089789, 0, 12, 2, 3, 4
22, 1809, 3.187949, 0, 12, 2, 3, 4
23, 1751, 3.117647, 1, 13, 2, 3, 4
24, 1693, 3.291199, 1, 17, 2, 3, 4
25, 1786, 3.144457, 1, 12, 2, 3, 4
26, 1707, 3.200351, 1, 14, 2, 3, 4
27, 1635, 3.267278, 1, 14, 2, 3, 4
28, 1797, 3.022259, 1, 18, 2, 3, 4
29, 1173, 3.242967, 0, 14, 2, 3, 4
30, 1543, 3.053791, 1, 18, 2, 3, 4
31, 807, 3.354399, 1, 15, 2, 3, 4
32, 942, 3.143312, 1, 13, 2, 3, 4
33, 1477, 3.217332, 1, 12, 2, 3, 4
34, 1474, 3.280190, 1, 13, 2, 3, 4
35, 1407, 3.897655, 0, 79, 2, 3, 4
36, 1134, 3.541446, 0, 18, 2, 3, 4
37, 1350, 3.161481, 0, 11, 2, 3, 4
38, 1577, 3.282815, 1, 13, 2, 3, 4
39, 1337, 3.407629, 1, 13, 2, 3, 4
40, 794, 3.772040, 1, 12, 3, 3, 4
41, 1260, 3.785714, 1, 12, 3, 3, 5
42, 1267, 3.844515, 1, 11, 3, 4, 5
43, 1288, 5.133540, 1, 174, 3, 4, 5
44, 877, 3.957811, 1, 12, 3, 4, 5
45, 997, 3.981946, 1, 15, 3, 4, 5
46, 1115, 3.991928, 1, 15, 3, 4, 5
47, 1109, 4.092876, 1, 13, 3, 4, 5
48, 1148, 3.927700, 1, 16, 3, 4, 5
49, 1057, 3.971618, 1, 18, 3, 3, 5
50, 1214, 3.593081, 0, 13, 2, 3, 4
51, 1157, 3.585998, 1, 14, 2, 3, 4
52, 1406, 3.344950, 1, 13, 2, 3, 4
53, 1238, 3.400646, 1, 10, 2, 3, 4
54, 1275, 3.291765, 1, 11, 2, 3, 4
55, 1064, 3.816729, 1, 64, 2, 3, 4
56, 1285, 3.297276, 1, 10, 2, 3, 4
57, 1247, 3.175621, 1, 11, 2, 3, 4
58, 1548, 3.220930, 1, 11, 2, 3, 4
59, 1195, 3.293724, 1, 10, 2, 3, 4
60, 1200, 3.336667, 1, 13, 2, 3, 4
61, 1627, 3.094038, 1, 10, 2, 3, 4
62, 1227, 3.222494, 1, 11, 2, 3, 4
63, 1440, 3.075694, 0, 12, 2, 3, 4
64, 1293, 3.249807, 1, 11, 2, 3, 4
65, 1449, 3.188406, 0, 12, 2, 3, 4
66, 1355, 3.309225, 1, 9, 2, 3, 4
67, 1175, 4.257872, 1, 42, 2, 3, 5
68, 1361, 3.497428, 0, 13, 2, 3, 4
69, 1375, 3.309091, 1, 11, 2, 3, 4
