time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2227, 3.303547, 0, 22, 2, 3, 4
1, 2117, 3.250354, 1, 13, 2, 3, 4
2, 2119, 3.223218, 0, 12, 2, 3, 4
3, 2156, 3.491651, 1, 16, 2, 3, 4
4, 2029, 3.654510, 0, 18, 2, 3, 4
5, 2129, 3.559887, 1, 13, 2, 3, 4
6, 2006, 3.419242, 0, 14, 2, 3, 4
7, 2121, 3.485620, 1, 15, 2, 3, 4
8, 2132, 3.409944, 0, 20, 2, 3, 4
9, 2182, 3.151237, 1, 14, 2, 3, 4
10, 2096, 3.359256, 1, 13, 2, 3, 4
11, 2231, 3.302555, 1, 14, 2, 3, 4
12, 2094, 3.555874, 0, 19, 2, 3, 4
13, 2162, 3.308048, 0, 12, 2, 3, 4
14, 2122, 3.407634, 0, 17, 2, 3, 4
15, 2245, 3.378174, 0, 24, 2, 3, 4
16, 1966, 3.703967, 1, 17, 2, 3, 4
17, 2048, 3.403809, 0, 16, 2, 3, 4
18, 2180, 3.476147, 1, 13, 2, 3, 4
19, 2078, 3.359480, 0, 11, 2, 3, 4
20, 2171, 3.344542, 1, 15, 2, 3, 4
21, 2057, 3.732620, 0, 15, 2, 3, 4
22, 2051, 3.402243, 1, 13, 2, 3, 4
23, 2002, 3.542957, 1, 18, 3, 3, 4
24, 2144, 3.377799, 1, 18, 2, 3, 4
25, 2139, 3.488079, 0, 18, 2, 3, 4
26, 2072, 3.478282, 0, 18, 2, 3, 4
27, 1998, 3.679680, 1, 44, 2, 3, 4
28, 2068, 3.455513, 0, 22, 2, 3, 4
29, 2011, 3.572352, 0, 27, 2, 3, 4
30, 1941, 3.716641, 0, 15, 2, 3, 5
31, 1700, 3.996471, 0, 25, 3, 4, 5
32, 1785, 4.214006, 1, 18, 3, 4, 5
33, 1643, 4.380402, 1, 16, 3, 4, 5
34, 1496, 4.818182, 1, 17, 3, 4, 6
35, 1243, 5.056315, 1, 24, 3, 5, 6
36, 1580, 4.646203, 1, 19, 3, 4, 5
37, 1520, 5.021711, 0, 23, 3, 5, 6
38, 1529, 4.610203, 0, 30, 3, 4, 6
39, 1375, 4.924364, 1, 18, 3, 4, 6
40, 1484, 4.760108, 1, 17, 3, 4, 6
41, 1429, 4.876837, 0, 25, 3, 4, 6
42, 1555, 4.548553, 1, 76, 3, 4, 5
43, 1804, 4.294900, 1, 24, 3, 4, 5
44, 1907, 3.929733, 1, 17, 3, 4, 5
45, 1891, 3.921206, 1, 16, 3, 4, 5
46, 1906, 3.883526, 1, 16, 3, 3, 5
47, 1999, 3.683842, 0, 16, 3, 3, 4
48, 2000, 3.656500, 1, 14, 3, 3, 4
49, 1986, 3.451158, 1, 14, 2, 3, 4
50, 2044, 3.548434, 1, 18, 2, 3, 4
51, 1915, 3.662141, 0, 22, 2, 3, 4
52, 1972, 3.381339, 0, 13, 2, 3, 4
53, 2035, 3.459951, 0, 18, 2, 3, 4
54, 1991, 3.633350, 0, 51, 2, 3, 4
55, 1882, 3.616897, 0, 17, 2, 3, 4
56, 1950, 3.726154, 0, 16, 2, 3, 5
57, 2121, 3.582744, 0, 16, 2, 3, 4
58, 2079, 3.544493, 1, 17, 2, 3, 4
59, 2045, 3.577995, 1, 16, 2, 3, 4
60, 2006, 3.916750, 0, 26, 3, 3, 5
61, 1749, 3.770726, 0, 17, 3, 3, 5
62, 1936, 3.777376, 0, 34, 2, 3, 5
63, 1851, 3.786062, 1, 19, 3, 3, 5
64, 1761, 3.808064, 1, 15, 3, 3, 5
65, 1533, 4.039791, 1, 21, 3, 4, 5
66, 1799, 4.044469, 0, 62, 2, 3, 5
67, 1941, 3.823802, 1, 17, 3, 3, 4
