time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3134, 2.447671, 0, 15, 2, 2, 3
1, 3325, 2.282105, 0, 13, 2, 2, 3
2, 3187, 2.417948, 1, 15, 2, 2, 3
3, 3200, 2.348438, 0, 12, 2, 2, 3
4, 3119, 2.454312, 0, 15, 2, 2, 3
5, 3275, 2.305649, 0, 12, 2, 2, 3
6, 3198, 2.367730, 0, 11, 2, 2, 3
7, 3134, 2.370134, 0, 12, 2, 2, 3
8, 3113, 2.497270, 0, 60, 2, 2, 3
9, 3213, 2.380641, 1, 12, 2, 2, 3
10, 3266, 2.304042, 0, 10, 2, 2, 3
11, 3237, 2.308619, 0, 12, 2, 2, 3
12, 2908, 2.657153, 0, 46, 2, 2, 3
13, 3022, 2.528789, 1, 10, 2, 2, 3
14, 3019, 2.538920, 0, 15, 2, 2, 3
15, 3103, 2.444731, 0, 12, 2, 2, 3
16, 3315, 2.259729, 0, 11, 2, 2, 3
17, 3311, 2.275445, 0, 12, 2, 2, 3
18, 3050, 2.487213, 0, 11, 2, 2, 3
19, 2542, 3.129819, 0, 41, 2, 3, 4
20, 3159, 2.408674, 0, 11, 2, 2, 3
21, 3027, 2.531880, 0, 18, 2, 2, 3
22, 3228, 2.346344, 0, 9, 2, 2, 3
23, 3303, 2.288526, 0, 12, 2, 2, 3
24, 3175, 2.360945, 0, 19, 2, 2, 3
25, 3270, 2.302141, 0, 14, 2, 2, 3
26, 3026, 2.553866, 1, 65, 2, 2, 3
27, 3108, 2.477477, 0, 26, 2, 2, 3
28, 3179, 2.395093, 0, 15, 2, 2, 3
29, 3275, 2.308702, 1, 15, 2, 2, 3
30, 3008, 2.550532, 0, 16, 2, 2, 3
31, 3126, 2.423225, 0, 15, 2, 2, 3
32, 3252, 2.326261, 0, 14, 2, 2, 3
33, 3364, 2.228597, 0, 12, 1, 2, 3
34, 2978, 2.587307, 0, 18, 2, 2, 3
35, 3187, 2.358331, 0, 12, 2, 2, 3
36, 3219, 2.359739, 0, 12, 2, 2, 3
37, 3035, 2.510379, 0, 54, 2, 2, 3
38, 2986, 2.563630, 0, 16, 2, 2, 3
39, 3187, 2.382805, 0, 11, 2, 2, 3
40, 3038, 2.553983, 0, 47, 2, 2, 3
41, 3030, 2.557756, 0, 18, 2, 2, 3
42, 2956, 2.604533, 1, 14, 2, 2, 3
43, 2820, 2.778369, 0, 17, 2, 3, 3
44, 2691, 2.937198, 1, 19, 2, 3, 3
45, 2553, 3.069722, 0, 16, 2, 3, 4
46, 2002, 4.087912, 0, 55, 2, 3, 5
47, 1938, 4.256966, 0, 25, 3, 4, 5
48, 1852, 3.759719, 0, 19, 2, 3, 4
49, 2400, 3.892083, 1, 163, 2, 3, 4
50, 1970, 4.163452, 1, 258, 2, 3, 4
51, 2551, 3.106233, 1, 15, 2, 3, 4
52, 2631, 2.985937, 1, 11, 2, 3, 4
53, 2729, 2.865152, 1, 18, 2, 3, 3
54, 2920, 2.657877, 0, 15, 2, 2, 3
55, 2902, 2.669883, 0, 14, 2, 2, 3
56, 3029, 2.549356, 0, 21, 2, 2, 3
57, 3139, 2.431029, 0, 10, 2, 2, 3
58, 3225, 2.348527, 0, 11, 2, 2, 3
59, 3295, 2.300455, 0, 12, 2, 2, 3
60, 11, 2.545455, 1, 4, 2, 3, 3
