time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2457, 2.792430, 0, 12, 2, 3, 3
1, 2312, 2.929498, 0, 16, 2, 3, 4
2, 2489, 2.797509, 0, 15, 2, 3, 3
3, 2412, 2.842869, 0, 13, 2, 3, 3
4, 2396, 2.866861, 0, 14, 2, 3, 3
5, 2144, 3.198694, 0, 14, 2, 3, 4
6, 2584, 2.822755, 0, 11, 2, 3, 3
7, 2473, 2.921148, 0, 27, 2, 3, 3
8, 2599, 2.843401, 0, 13, 2, 3, 3
9, 2381, 2.859303, 0, 15, 2, 3, 3
10, 2104, 3.276616, 0, 40, 2, 3, 4
11, 2293, 2.988661, 0, 15, 2, 3, 4
12, 2407, 2.791026, 1, 13, 2, 3, 3
13, 2307, 2.856524, 1, 17, 2, 3, 3
14, 2244, 2.689394, 0, 15, 2, 2, 3
15, 2443, 2.896439, 0, 12, 2, 3, 3
16, 2489, 2.822419, 1, 16, 2, 3, 3
17, 2436, 2.951560, 1, 15, 2, 3, 4
18, 2307, 3.084092, 1, 35, 2, 3, 4
19, 2482, 2.847703, 1, 13, 2, 3, 3
20, 2342, 2.966268, 0, 14, 2, 3, 4
21, 2304, 3.112847, 0, 16, 2, 3, 4
22, 2347, 2.836387, 0, 18, 2, 3, 3
23, 2375, 2.906526, 1, 13, 2, 3, 4
24, 2253, 3.441633, 0, 40, 2, 3, 4
25, 2391, 2.852781, 0, 13, 2, 3, 3
26, 2285, 2.986871, 1, 14, 2, 3, 4
27, 2308, 2.959272, 1, 14, 2, 3, 4
28, 2308, 2.962305, 0, 13, 2, 3, 4
29, 2463, 3.004466, 0, 19, 2, 3, 4
30, 2203, 3.066273, 1, 14, 2, 3, 4
31, 2106, 3.175214, 1, 15, 2, 3, 4
32, 2093, 3.400860, 1, 17, 2, 3, 4
33, 1934, 3.727508, 1, 21, 3, 3, 4
34, 1896, 4.170886, 1, 70, 3, 3, 5
35, 1763, 3.917754, 1, 16, 3, 4, 5
36, 1676, 3.984487, 0, 18, 3, 4, 5
37, 1616, 4.038985, 1, 13, 3, 4, 5
38, 1709, 4.046226, 1, 16, 3, 4, 5
39, 1743, 4.075158, 0, 18, 3, 4, 5
40, 1728, 3.857639, 1, 17, 3, 4, 5
41, 1829, 3.816840, 0, 17, 3, 3, 4
42, 2024, 3.448617, 1, 13, 2, 3, 4
43, 1956, 3.340491, 1, 15, 2, 3, 4
44, 1774, 3.616685, 0, 55, 2, 3, 4
45, 2237, 3.220384, 0, 28, 2, 3, 4
46, 2180, 3.133945, 1, 16, 2, 3, 4
47, 2443, 3.181744, 1, 52, 2, 3, 4
48, 2371, 2.959511, 1, 15, 2, 3, 4
49, 2297, 3.119721, 0, 15, 2, 3, 4
50, 2156, 3.092764, 0, 16, 2, 3, 4
51, 2276, 3.026362, 0, 12, 2, 3, 4
52, 2493, 2.994384, 0, 16, 2, 3, 4
53, 2327, 2.924366, 1, 13, 2, 3, 3
54, 2359, 3.106401, 1, 15, 2, 3, 4
55, 2128, 3.118421, 1, 13, 2, 3, 4
56, 2055, 3.477372, 1, 51, 2, 3, 4
57, 2167, 3.291186, 0, 15, 2, 3, 4
58, 2165, 3.239723, 0, 16, 2, 3, 4
59, 2149, 3.453234, 1, 21, 2, 3, 4
60, 2105, 3.398100, 1, 31, 2, 3, 4
61, 2191, 3.253765, 0, 15, 2, 3, 4
62, 2350, 3.222979, 0, 15, 2, 3, 4
63, 2170, 3.325806, 1, 16, 2, 3, 4
64, 2158, 3.221038, 1, 14, 2, 3, 4
65, 2191, 3.340940, 1, 15, 2, 3, 4
66, 2066, 3.410455, 1, 14, 2, 3, 4
67, 2026, 3.619941, 1, 68, 2, 3, 4
68, 2175, 3.361839, 0, 12, 2, 3, 4
69, 2346, 3.215260, 0, 18, 2, 3, 4
70, 2110, 3.330806, 0, 19, 2, 3, 4
71, 2109, 3.429113, 1, 16, 2, 3, 4
72, 2183, 3.353642, 1, 13, 2, 3, 4
73, 2199, 3.219191, 0, 15, 2, 3, 4
74, 2220, 3.083784, 0, 15, 2, 3, 4
75, 2279, 3.108820, 0, 18, 2, 3, 4
76, 2357, 3.005515, 1, 15, 2, 3, 4
77, 2325, 2.968602, 0, 14, 2, 3, 4
78, 2185, 3.114416, 1, 18, 2, 3, 4
79, 2254, 3.295918, 0, 68, 2, 3, 4
80, 2393, 2.998328, 1, 16, 2, 3, 4
81, 2179, 3.177145, 1, 17, 2, 3, 4
82, 2128, 3.134398, 1, 15, 2, 3, 4
83, 2254, 3.170807, 1, 14, 2, 3, 4
84, 2202, 3.043597, 1, 18, 2, 3, 4
85, 2333, 3.014574, 0, 17, 2, 3, 4
86, 2348, 3.130324, 0, 13, 2, 3, 4
87, 2063, 3.045080, 0, 15, 2, 3, 4
88, 2246, 3.016919, 1, 18, 2, 3, 4
89, 2236, 3.196780, 0, 18, 2, 3, 4
90, 2194, 3.018687, 0, 14, 2, 3, 4
91, 2213, 3.637596, 0, 71, 2, 3, 4
92, 2389, 2.970280, 0, 17, 2, 3, 4
93, 2214, 3.021680, 1, 12, 2, 3, 4
94, 2244, 3.197861, 1, 13, 2, 3, 4
95, 2270, 3.177533, 1, 18, 2, 3, 4
96, 2243, 3.235845, 1, 18, 2, 3, 4
97, 2141, 3.202709, 0, 18, 2, 3, 4
98, 2133, 3.404126, 0, 16, 2, 3, 4
99, 2087, 3.353138, 1, 15, 2, 3, 4
100, 2229, 3.371018, 1, 17, 2, 3, 4
101, 2243, 3.255461, 1, 19, 2, 3, 4
102, 2116, 3.500000, 1, 88, 2, 3, 4
103, 2116, 3.430057, 0, 18, 2, 3, 4
104, 2182, 3.319890, 1, 16, 2, 3, 4
105, 2401, 3.177010, 1, 15, 2, 3, 4
106, 2340, 3.129060, 0, 18, 2, 3, 4
107, 2175, 3.114483, 0, 13, 2, 3, 4
108, 2275, 3.192527, 0, 16, 2, 3, 4
109, 2158, 3.108434, 0, 19, 2, 3, 4
110, 2585, 2.924178, 0, 13, 2, 3, 4
111, 2278, 2.950834, 0, 16, 2, 3, 4
112, 2252, 3.103908, 0, 13, 2, 3, 4
113, 2289, 3.116208, 0, 20, 2, 3, 4
114, 2158, 3.335959, 0, 88, 2, 3, 4
115, 2165, 3.058199, 1, 12, 2, 3, 4
116, 2251, 3.167037, 1, 16, 2, 3, 4
117, 2146, 3.102050, 1, 14, 2, 3, 4
118, 2366, 2.931530, 0, 16, 2, 3, 3
119, 2274, 2.969657, 0, 17, 2, 3, 4
120, 2326, 3.037833, 1, 17, 2, 3, 4
121, 2234, 3.018353, 0, 15, 2, 3, 4
122, 2308, 2.928510, 0, 15, 2, 3, 4
123, 2336, 3.104024, 0, 19, 2, 3, 4
124, 1887, 3.944886, 0, 211, 2, 3, 3
125, 2502, 2.820544, 0, 11, 2, 3, 3
126, 2542, 2.770653, 0, 12, 2, 3, 3
127, 2173, 3.000920, 1, 12, 2, 3, 4
128, 2139, 3.289855, 1, 18, 2, 3, 4
129, 2130, 3.016432, 1, 11, 2, 3, 4
130, 2223, 3.129105, 0, 14, 2, 3, 4
131, 2212, 3.082278, 1, 11, 2, 3, 4
132, 1902, 3.386435, 0, 17, 2, 3, 4
133, 2304, 3.120660, 1, 13, 2, 3, 4
134, 2372, 3.029511, 1, 16, 2, 3, 4
135, 2207, 3.282284, 0, 18, 2, 3, 4
136, 1706, 4.196366, 0, 215, 2, 3, 4
137, 2238, 3.267650, 0, 23, 2, 3, 4
138, 2129, 3.189291, 0, 16, 2, 3, 4
139, 2295, 3.102397, 0, 14, 2, 3, 4
140, 2165, 3.183372, 1, 16, 2, 3, 4
141, 2132, 3.314728, 0, 21, 2, 3, 4
142, 2249, 3.222321, 0, 20, 2, 3, 4
143, 2124, 3.162900, 0, 15, 2, 3, 4
144, 2105, 3.093112, 1, 15, 2, 3, 4
145, 1995, 3.271679, 0, 23, 2, 3, 4
