time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2016, 3.304563, 0, 20, 2, 3, 4
1, 2128, 3.316729, 0, 27, 2, 3, 4
2, 2371, 3.044285, 0, 12, 2, 3, 4
3, 2209, 3.037574, 0, 14, 2, 3, 4
4, 2180, 2.999541, 0, 13, 2, 3, 4
5, 2324, 3.127797, 1, 12, 2, 3, 4
6, 2139, 3.234689, 0, 22, 2, 3, 4
7, 2262, 3.019452, 0, 12, 2, 3, 4
8, 2189, 3.305619, 1, 13, 2, 3, 4
9, 2218, 3.182146, 0, 14, 2, 3, 4
10, 2382, 3.208648, 1, 14, 2, 3, 4
11, 2116, 3.324197, 0, 16, 2, 3, 4
12, 2272, 3.183539, 0, 12, 2, 3, 4
13, 2354, 2.907392, 0, 15, 2, 3, 4
14, 2259, 3.027888, 0, 12, 2, 3, 4
15, 2367, 2.994508, 0, 11, 2, 3, 4
16, 2313, 3.055339, 0, 11, 2, 3, 4
17, 2166, 3.343490, 0, 19, 2, 3, 4
18, 2276, 3.126538, 1, 13, 2, 3, 4
19, 2277, 3.270971, 1, 14, 2, 3, 4
20, 2198, 3.174249, 0, 12, 2, 3, 4
21, 2185, 3.272311, 0, 16, 2, 3, 4
22, 2304, 3.161024, 1, 17, 2, 3, 4
23, 2265, 3.034879, 1, 13, 2, 3, 4
24, 2205, 3.339229, 0, 38, 2, 3, 4
25, 1947, 4.031844, 0, 46, 2, 3, 5
26, 1867, 4.023567, 1, 152, 2, 3, 4
27, 2042, 3.396180, 1, 12, 2, 3, 4
28, 2220, 3.143243, 0, 13, 2, 3, 4
29, 2218, 3.105050, 0, 11, 2, 3, 4
30, 2269, 3.064786, 1, 11, 2, 3, 4
31, 2311, 3.161402, 1, 16, 2, 3, 4
32, 2295, 3.261438, 0, 12, 2, 3, 4
33, 2233, 3.236453, 0, 11, 2, 3, 4
34, 2152, 3.151487, 1, 10, 2, 3, 4
35, 2113, 3.159016, 1, 11, 2, 3, 4
36, 2151, 3.277080, 0, 62, 2, 3, 4
37, 2101, 3.391718, 0, 42, 2, 3, 4
38, 2269, 3.005289, 1, 13, 2, 3, 4
39, 2310, 3.019481, 0, 12, 2, 3, 4
40, 2345, 3.057569, 0, 12, 2, 3, 4
41, 2290, 3.334061, 0, 23, 2, 3, 4
42, 2284, 3.196147, 1, 15, 2, 3, 4
43, 2171, 3.117918, 0, 13, 2, 3, 4
44, 2198, 3.107825, 0, 12, 2, 3, 4
45, 2102, 3.225975, 1, 11, 2, 3, 4
46, 2165, 3.183372, 0, 48, 2, 3, 4
47, 2253, 2.971593, 1, 13, 2, 3, 4
48, 2178, 3.021120, 1, 16, 2, 3, 4
49, 2326, 3.073947, 0, 15, 2, 3, 4
50, 2155, 3.269142, 1, 14, 2, 3, 4
51, 2230, 3.186099, 0, 18, 2, 3, 4
52, 2303, 3.132002, 1, 10, 2, 3, 4
53, 2210, 3.225792, 1, 12, 2, 3, 4
54, 2294, 3.128596, 1, 11, 2, 3, 4
55, 2412, 2.985489, 0, 13, 2, 3, 4
56, 2494, 3.096231, 1, 52, 2, 3, 4
57, 2178, 3.214417, 1, 12, 2, 3, 4
58, 2164, 3.075786, 0, 12, 2, 3, 4
59, 2214, 3.126016, 0, 12, 2, 3, 4
60, 2315, 3.113607, 0, 14, 2, 3, 4
61, 2254, 3.136202, 1, 15, 2, 3, 4
62, 2148, 3.117784, 1, 11, 2, 3, 4
63, 2245, 3.217372, 1, 15, 2, 3, 4
64, 2024, 3.314723, 1, 22, 2, 3, 4
65, 2112, 3.145833, 0, 13, 2, 3, 4
66, 2258, 3.255093, 1, 15, 2, 3, 4
67, 2100, 3.630476, 1, 65, 2, 3, 4
68, 2237, 3.251229, 0, 14, 2, 3, 4
69, 2187, 3.110654, 0, 10, 2, 3, 4
