time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2160, 3.589815, 0, 17, 2, 3, 4
1, 2204, 3.452813, 1, 13, 2, 3, 4
2, 2233, 3.478280, 1, 11, 2, 3, 4
3, 2209, 3.453599, 0, 13, 2, 3, 4
4, 2072, 3.409266, 1, 15, 2, 3, 4
5, 2129, 3.358384, 0, 12, 2, 3, 4
6, 2062, 3.446654, 1, 11, 2, 3, 4
7, 2228, 3.382855, 0, 15, 2, 3, 4
8, 2067, 3.498307, 1, 15, 2, 3, 4
9, 2206, 3.457842, 1, 11, 2, 3, 4
10, 2228, 3.590215, 1, 18, 2, 3, 4
11, 2020, 3.639604, 1, 23, 2, 3, 4
12, 2044, 3.757339, 0, 14, 3, 3, 5
13, 1770, 3.329944, 1, 12, 2, 3, 4
14, 1843, 3.258817, 1, 11, 2, 3, 4
15, 2276, 3.446397, 1, 11, 2, 3, 4
16, 2237, 3.353599, 1, 13, 2, 3, 4
17, 2089, 3.431786, 0, 16, 2, 3, 4
18, 2080, 3.543269, 1, 12, 2, 3, 4
19, 2202, 3.353315, 0, 12, 2, 3, 4
20, 2223, 3.537112, 1, 13, 2, 3, 4
21, 2105, 3.559145, 1, 12, 2, 3, 4
22, 2126, 3.525400, 0, 14, 2, 3, 4
23, 2249, 3.253891, 0, 14, 2, 3, 4
24, 2119, 3.566305, 1, 15, 2, 3, 4
25, 2387, 3.359866, 0, 14, 2, 3, 4
26, 1732, 4.545612, 0, 38, 3, 4, 5
27, 1824, 4.207237, 0, 47, 3, 4, 5
28, 2016, 3.875000, 0, 14, 3, 4, 5
29, 1698, 4.808009, 0, 135, 3, 4, 5
30, 2055, 3.589294, 1, 21, 2, 3, 4
31, 2062, 3.498545, 1, 16, 2, 3, 4
32, 2076, 3.384393, 0, 16, 2, 3, 4
33, 2172, 3.375691, 1, 13, 2, 3, 4
34, 1990, 3.437688, 0, 15, 2, 3, 4
35, 1870, 3.531551, 0, 17, 2, 3, 4
36, 2239, 3.541313, 0, 16, 2, 3, 4
37, 1980, 3.901515, 0, 16, 3, 4, 5
38, 1982, 3.476791, 1, 12, 2, 3, 4
39, 2078, 3.705005, 1, 63, 2, 3, 4
