time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3383, 2.394620, 0, 7, 2, 2, 3
1, 3488, 2.306766, 0, 8, 2, 2, 3
2, 3367, 2.403920, 0, 8, 2, 2, 3
3, 3432, 2.350524, 0, 8, 2, 2, 3
4, 3522, 2.263771, 0, 8, 2, 2, 3
5, 3509, 2.294386, 1, 7, 2, 2, 3
6, 3551, 2.257674, 0, 6, 2, 2, 3
7, 3381, 2.390713, 0, 15, 2, 2, 3
8, 3464, 2.326212, 1, 7, 2, 2, 3
9, 3491, 2.311945, 0, 8, 2, 2, 3
10, 3501, 2.307341, 1, 7, 2, 2, 3
11, 3520, 2.287784, 0, 7, 2, 2, 3
12, 3502, 2.282410, 1, 9, 2, 2, 3
13, 3428, 2.348891, 1, 8, 2, 2, 3
14, 3486, 2.308090, 0, 7, 2, 2, 3
15, 3570, 2.236415, 0, 7, 2, 2, 3
16, 3512, 2.276481, 0, 7, 2, 2, 3
17, 3166, 2.584649, 0, 39, 2, 2, 3
18, 3071, 2.696516, 0, 11, 2, 3, 3
19, 3345, 2.418535, 0, 8, 2, 2, 3
20, 3338, 2.429299, 0, 7, 2, 2, 3
21, 3457, 2.327741, 0, 6, 2, 2, 3
22, 3460, 2.297688, 0, 12, 2, 2, 3
23, 3417, 2.363769, 1, 27, 2, 2, 3
24, 3535, 2.255446, 0, 7, 2, 2, 3
25, 3455, 2.337482, 0, 56, 2, 2, 3
26, 3682, 2.151276, 0, 7, 2, 2, 3
27, 3669, 2.175797, 0, 6, 2, 2, 3
28, 3412, 2.369578, 0, 7, 2, 2, 3
29, 3446, 2.349681, 0, 7, 2, 2, 3
30, 3513, 2.267862, 0, 8, 2, 2, 3
31, 3465, 2.324675, 1, 13, 2, 2, 3
32, 3462, 2.315425, 0, 9, 2, 2, 3
33, 2774, 2.969358, 0, 235, 2, 2, 3
34, 3338, 2.429299, 0, 46, 2, 2, 3
35, 3636, 2.180968, 0, 8, 2, 2, 3
36, 3685, 2.154410, 0, 7, 2, 2, 3
37, 3579, 2.234702, 0, 7, 2, 2, 3
38, 3526, 2.274248, 0, 8, 2, 2, 3
39, 3615, 2.208852, 1, 7, 2, 2, 3
40, 3568, 2.247758, 0, 7, 2, 2, 3
41, 3393, 2.359859, 1, 30, 2, 2, 3
42, 3626, 2.187534, 0, 7, 2, 2, 3
43, 3608, 2.214800, 0, 9, 2, 2, 3
44, 3629, 2.188757, 0, 6, 2, 2, 3
45, 3599, 2.209780, 0, 8, 2, 2, 3
46, 3454, 2.308628, 0, 60, 2, 2, 3
47, 3632, 2.190253, 0, 6, 2, 2, 3
48, 3473, 2.313274, 0, 8, 2, 2, 3
49, 3631, 2.201873, 0, 7, 2, 2, 3
50, 3679, 2.153303, 0, 6, 2, 2, 3
51, 3630, 2.190634, 0, 8, 2, 2, 3
52, 3378, 2.402605, 0, 7, 2, 2, 3
53, 3013, 2.762695, 0, 20, 2, 3, 3
54, 3024, 2.755291, 0, 13, 2, 3, 3
55, 3072, 2.689128, 0, 11, 2, 3, 3
56, 3037, 2.709911, 1, 8, 2, 3, 3
57, 3058, 2.691302, 0, 9, 2, 3, 3
58, 2987, 2.771008, 0, 13, 2, 3, 3
59, 3076, 2.694408, 1, 10, 2, 3, 3
60, 11, 2.818182, 1, 6, 2, 2, 4
