time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1322, 2.729955, 1, 9, 2, 2, 3
1, 792, 2.666667, 0, 10, 2, 2, 3
2, 1127, 2.760426, 0, 11, 2, 2, 3
3, 1270, 2.662992, 1, 12, 2, 2, 3
4, 1048, 2.817748, 0, 15, 2, 2, 3
5, 1325, 2.769057, 0, 11, 2, 3, 3
6, 1063, 2.700847, 0, 12, 2, 2, 3
7, 1300, 2.629231, 0, 10, 2, 2, 3
8, 1249, 2.625300, 0, 12, 2, 2, 3
9, 1047, 2.661891, 1, 10, 2, 2, 3
10, 1309, 2.705118, 0, 11, 2, 2, 3
11, 1104, 2.523551, 1, 8, 2, 2, 3
12, 1022, 2.701566, 1, 10, 2, 2, 3
13, 1074, 2.662942, 0, 11, 2, 2, 3
14, 1112, 2.714029, 1, 9, 2, 2, 3
15, 1288, 2.618789, 0, 10, 2, 2, 3
16, 1139, 2.710272, 0, 12, 2, 2, 3
17, 1240, 2.683871, 1, 10, 2, 2, 3
18, 1322, 2.660363, 0, 10, 2, 2, 3
19, 1303, 2.700691, 0, 11, 2, 2, 3
20, 1085, 2.668203, 0, 10, 2, 2, 3
21, 1041, 2.603266, 0, 11, 2, 2, 3
22, 1050, 2.605714, 0, 11, 2, 2, 3
23, 1062, 2.725047, 0, 13, 2, 2, 3
24, 1247, 2.649559, 1, 11, 2, 2, 3
25, 1046, 2.738050, 1, 10, 2, 2, 3
26, 1184, 2.831081, 0, 14, 2, 2, 3
27, 1057, 2.727531, 1, 9, 2, 2, 3
28, 1293, 2.697602, 0, 21, 2, 2, 3
29, 1306, 2.608729, 1, 12, 2, 2, 3
30, 1208, 2.576159, 1, 9, 2, 2, 3
31, 1209, 2.698925, 0, 9, 2, 2, 3
32, 1065, 2.676056, 1, 13, 2, 2, 3
33, 1070, 2.695327, 0, 17, 2, 2, 3
34, 810, 2.698765, 1, 10, 2, 2, 3
35, 1294, 2.777434, 0, 12, 2, 2, 3
36, 1285, 2.595331, 0, 10, 2, 2, 3
37, 1127, 2.624667, 0, 9, 2, 2, 3
38, 1087, 2.687213, 0, 12, 2, 2, 3
39, 1441, 2.679389, 0, 11, 2, 2, 3
40, 1043, 2.676894, 0, 12, 2, 2, 3
41, 1075, 2.679070, 0, 13, 2, 2, 3
42, 1049, 2.691134, 1, 12, 2, 2, 3
43, 1332, 2.651652, 0, 13, 2, 2, 3
44, 1068, 2.567416, 0, 8, 2, 2, 3
45, 941, 2.775770, 1, 9, 2, 2, 3
46, 1156, 2.651384, 1, 8, 2, 2, 3
47, 1066, 2.711069, 0, 12, 2, 2, 3
48, 1203, 2.797174, 0, 16, 2, 2, 3
49, 1354, 2.629985, 1, 11, 2, 2, 3
50, 1316, 3.557751, 0, 70, 2, 3, 4
51, 927, 2.627832, 0, 11, 2, 2, 3
52, 1353, 2.556541, 0, 11, 2, 2, 3
53, 1049, 2.680648, 0, 9, 2, 2, 3
54, 1198, 2.686144, 0, 13, 2, 2, 3
55, 1058, 2.640832, 1, 9, 2, 2, 3
56, 1207, 2.608119, 1, 9, 2, 2, 3
57, 1329, 2.462754, 0, 10, 2, 2, 3
58, 1008, 2.645833, 0, 17, 2, 2, 3
59, 1377, 2.560639, 1, 10, 2, 2, 3
60, 1214, 2.690280, 1, 13, 2, 2, 3
61, 1061, 2.693685, 1, 10, 2, 2, 3
62, 1304, 2.618865, 0, 10, 2, 2, 3
63, 1211, 2.652353, 0, 11, 2, 2, 3
64, 910, 2.695604, 1, 11, 2, 2, 3
65, 1077, 2.519963, 0, 13, 2, 2, 3
66, 1060, 2.655660, 1, 12, 2, 2, 3
67, 1067, 2.685098, 0, 21, 2, 2, 3
68, 1052, 2.659696, 1, 10, 2, 2, 3
69, 1063, 2.746002, 1, 9, 2, 2, 3
70, 919, 3.116431, 1, 57, 2, 2, 3
71, 1005, 2.683582, 0, 8, 2, 2, 3
72, 1261, 2.578906, 0, 11, 2, 2, 3
73, 1076, 2.699814, 1, 11, 2, 2, 3
74, 931, 2.611171, 1, 12, 2, 2, 3
75, 939, 3.815761, 0, 128, 2, 2, 3
76, 1499, 2.514343, 0, 9, 2, 2, 3
77, 854, 2.840749, 0, 12, 2, 2, 3
78, 1021, 2.594515, 0, 12, 2, 2, 3
79, 817, 2.780906, 0, 10, 2, 3, 3
80, 1218, 2.572250, 1, 9, 2, 2, 3
81, 982, 2.805499, 0, 14, 2, 3, 3
82, 948, 2.894515, 0, 14, 2, 2, 3
83, 1052, 2.724335, 0, 13, 2, 2, 3
84, 1211, 2.622626, 0, 15, 2, 2, 3
85, 1266, 2.699842, 0, 10, 2, 2, 3
86, 1109, 2.600541, 0, 10, 2, 2, 3
