time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3605, 2.256033, 0, 7, 2, 2, 3
1, 2979, 2.098355, 0, 5, 2, 2, 3
2, 3631, 2.839714, 0, 235, 2, 2, 3
3, 3702, 2.179903, 0, 7, 2, 2, 3
4, 3809, 2.094776, 0, 5, 2, 2, 3
5, 3795, 2.105929, 0, 10, 2, 2, 3
6, 3828, 2.106061, 0, 8, 2, 2, 3
7, 3624, 2.223786, 0, 64, 2, 2, 3
8, 3849, 2.096648, 0, 11, 2, 2, 3
9, 3808, 2.114496, 0, 7, 2, 2, 3
10, 3802, 2.109942, 0, 8, 2, 2, 3
11, 3923, 2.034922, 0, 6, 1, 2, 3
12, 3709, 2.171205, 0, 7, 2, 2, 3
13, 3699, 2.187078, 0, 7, 2, 2, 3
14, 3534, 2.308998, 0, 15, 2, 2, 3
15, 3509, 2.330863, 0, 13, 2, 2, 3
16, 3798, 2.112164, 0, 7, 2, 2, 3
17, 3010, 2.786379, 0, 51, 2, 2, 3
18, 3009, 2.810236, 0, 13, 2, 3, 3
19, 3092, 2.707309, 0, 13, 2, 2, 3
20, 3707, 2.178581, 0, 6, 2, 2, 3
21, 3719, 2.176123, 0, 12, 2, 2, 3
22, 3732, 2.166667, 0, 9, 2, 2, 3
23, 3798, 2.115850, 0, 7, 2, 2, 3
24, 3607, 2.257278, 0, 64, 2, 2, 3
25, 3865, 2.068305, 0, 8, 2, 2, 3
26, 3816, 2.108229, 0, 6, 2, 2, 3
27, 3122, 2.675529, 0, 160, 2, 2, 3
28, 3807, 2.107434, 0, 7, 2, 2, 3
29, 3724, 2.154941, 0, 7, 2, 2, 3
30, 3861, 2.074592, 0, 6, 2, 2, 3
31, 3794, 2.121244, 0, 6, 2, 2, 3
32, 3693, 2.193880, 0, 7, 2, 2, 3
33, 3535, 2.305233, 0, 51, 2, 2, 3
34, 3739, 2.151110, 0, 8, 2, 2, 3
35, 3806, 2.106674, 0, 7, 2, 2, 3
36, 3751, 2.145295, 0, 8, 2, 2, 3
37, 3836, 2.080813, 0, 6, 2, 2, 3
38, 3734, 2.158543, 0, 8, 2, 2, 3
39, 3172, 2.631463, 0, 11, 2, 2, 3
40, 3149, 2.664020, 0, 15, 2, 2, 3
41, 3557, 2.295755, 0, 8, 2, 2, 3
42, 3618, 2.252626, 0, 9, 2, 2, 3
43, 2758, 3.027194, 0, 152, 2, 2, 3
44, 3289, 2.563393, 0, 56, 2, 2, 3
45, 3631, 2.231617, 0, 7, 2, 2, 3
46, 2971, 2.842814, 0, 11, 2, 3, 3
47, 2772, 3.088384, 0, 182, 2, 2, 3
48, 3173, 2.637882, 0, 16, 2, 2, 3
49, 3276, 2.532967, 0, 8, 2, 2, 3
50, 3239, 2.577956, 1, 8, 2, 2, 3
51, 3180, 2.625472, 0, 9, 2, 3, 3
52, 3286, 2.521607, 1, 9, 2, 2, 3
53, 3164, 2.652023, 0, 14, 2, 3, 3
54, 3224, 2.579094, 0, 10, 2, 2, 3
55, 3479, 2.359011, 0, 9, 2, 2, 3
56, 3568, 2.286715, 0, 16, 2, 2, 3
57, 3476, 2.372555, 0, 82, 2, 2, 3
58, 3797, 2.110087, 0, 6, 2, 2, 3
59, 3793, 2.105194, 0, 8, 2, 2, 3
60, 23, 1.478261, 1, 3, 1, 1, 2
