time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1831, 4.382851, 0, 15, 3, 4, 5
1, 1784, 4.523543, 0, 16, 3, 4, 6
2, 1835, 4.348229, 1, 17, 3, 4, 5
3, 1756, 4.588269, 1, 14, 3, 4, 6
4, 1737, 4.627519, 1, 18, 3, 4, 6
5, 1844, 4.325380, 1, 16, 3, 4, 5
6, 1759, 4.573053, 0, 20, 3, 4, 6
7, 1758, 4.563709, 1, 15, 3, 4, 6
8, 1795, 4.446240, 0, 18, 3, 4, 6
9, 1838, 4.418934, 0, 18, 3, 4, 5
10, 1781, 4.484559, 1, 17, 3, 4, 6
11, 1797, 4.514190, 0, 17, 3, 4, 6
12, 1782, 4.539282, 0, 16, 3, 4, 6
13, 1836, 4.404684, 0, 16, 3, 4, 5
14, 1794, 4.502230, 1, 16, 3, 4, 6
15, 1798, 4.472747, 1, 14, 3, 4, 6
16, 1823, 4.396050, 1, 14, 3, 4, 6
17, 1862, 4.296455, 1, 13, 3, 4, 5
18, 1794, 4.468785, 1, 18, 3, 4, 6
19, 1804, 4.421840, 0, 16, 3, 4, 6
20, 1810, 4.499448, 1, 20, 3, 4, 6
21, 1736, 4.596198, 0, 17, 3, 4, 6
22, 1797, 4.482471, 0, 18, 3, 4, 6
23, 1795, 4.426741, 0, 19, 3, 4, 6
24, 1765, 4.524079, 0, 17, 3, 4, 6
25, 1758, 4.584187, 1, 19, 3, 4, 6
26, 1754, 4.525086, 1, 19, 3, 4, 6
27, 1848, 4.345779, 0, 17, 3, 4, 5
28, 1848, 4.402056, 1, 18, 3, 4, 6
29, 1683, 4.791444, 0, 29, 3, 4, 6
30, 1571, 5.183959, 0, 21, 3, 5, 6
31, 1677, 4.844961, 0, 24, 3, 4, 6
32, 1703, 4.731063, 1, 18, 3, 4, 6
33, 1789, 4.522638, 1, 16, 3, 4, 6
34, 1711, 4.699006, 1, 16, 3, 4, 6
35, 1457, 5.610844, 0, 64, 3, 5, 7
36, 1474, 5.575305, 1, 23, 4, 5, 7
37, 1460, 5.632192, 1, 23, 4, 5, 7
38, 1395, 5.889606, 0, 23, 4, 5, 7
39, 1352, 6.063609, 0, 22, 4, 5, 8
40, 1411, 5.851169, 1, 17, 4, 5, 7
41, 1408, 5.853693, 1, 22, 4, 5, 7
42, 1420, 5.807746, 1, 19, 4, 5, 7
43, 1414, 5.808345, 1, 21, 4, 5, 7
44, 1416, 5.750000, 1, 21, 4, 5, 7
45, 1495, 5.477592, 0, 19, 4, 5, 7
46, 1593, 5.090395, 1, 20, 3, 5, 6
47, 1649, 4.862341, 1, 19, 3, 4, 6
48, 1685, 4.706231, 1, 22, 3, 4, 6
49, 1752, 4.566210, 1, 15, 3, 4, 6
50, 1718, 4.713038, 1, 18, 3, 4, 6
51, 1629, 4.901166, 1, 72, 3, 4, 6
52, 1842, 4.396308, 0, 18, 3, 4, 6
53, 1782, 4.499439, 1, 16, 3, 4, 6
54, 1737, 4.584917, 1, 17, 3, 4, 6
55, 1795, 4.514763, 0, 15, 3, 4, 6
56, 1819, 4.421660, 0, 15, 3, 4, 6
57, 1744, 4.638188, 1, 19, 3, 4, 6
58, 1717, 4.704135, 1, 27, 3, 4, 6
59, 1775, 4.576338, 0, 15, 3, 4, 6
60, 11, 4.181818, 3, 8, 3, 4, 5
