time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2632, 2.816489, 0, 13, 2, 2, 3
1, 2773, 2.677245, 0, 13, 2, 2, 3
2, 2622, 2.836384, 1, 30, 2, 2, 3
3, 2633, 2.831371, 1, 15, 2, 2, 3
4, 2589, 2.874469, 1, 12, 2, 2, 4
5, 2612, 2.880551, 1, 12, 2, 2, 3
6, 2679, 2.791713, 1, 13, 2, 2, 3
7, 2574, 2.905594, 1, 12, 2, 3, 3
8, 2686, 2.784810, 1, 15, 2, 2, 3
9, 2703, 2.756197, 1, 11, 2, 2, 3
10, 2700, 2.768519, 0, 14, 2, 2, 3
11, 2638, 2.854814, 1, 13, 2, 2, 3
12, 2544, 2.979953, 1, 21, 2, 3, 4
13, 2628, 2.892314, 1, 15, 2, 3, 3
14, 2659, 2.808575, 0, 16, 2, 2, 3
15, 2661, 2.794062, 0, 13, 2, 2, 3
16, 2688, 2.774554, 0, 17, 2, 2, 3
17, 2705, 2.765250, 0, 15, 2, 2, 3
18, 2712, 2.769912, 0, 11, 2, 2, 3
19, 2531, 2.984591, 0, 15, 2, 3, 4
20, 2560, 2.936328, 0, 16, 2, 3, 4
21, 2507, 2.993219, 1, 15, 2, 3, 4
22, 2326, 3.289768, 1, 54, 2, 3, 4
23, 2284, 3.311296, 0, 19, 2, 3, 4
24, 2613, 2.868351, 0, 13, 2, 2, 3
25, 2573, 2.920326, 1, 12, 2, 3, 3
26, 2661, 2.801954, 1, 12, 2, 2, 3
27, 2738, 2.678963, 0, 14, 2, 2, 3
28, 2727, 2.745875, 1, 11, 2, 2, 3
29, 2655, 2.813559, 1, 19, 2, 2, 3
30, 2673, 2.737748, 1, 17, 2, 2, 3
31, 2542, 3.042880, 1, 68, 2, 2, 3
32, 2469, 3.045362, 1, 19, 2, 3, 4
33, 2330, 3.275107, 1, 14, 2, 3, 4
34, 2115, 3.679905, 0, 22, 2, 3, 4
35, 2048, 3.784180, 1, 18, 3, 3, 5
36, 1878, 4.170927, 1, 17, 3, 4, 5
37, 1934, 4.026887, 1, 21, 3, 3, 5
38, 1770, 4.480791, 1, 18, 3, 4, 5
39, 1773, 4.435420, 1, 19, 3, 4, 5
40, 1645, 4.648024, 1, 30, 3, 4, 5
41, 1734, 4.610150, 1, 17, 3, 4, 6
42, 1742, 4.217566, 1, 17, 3, 4, 5
43, 1910, 4.370157, 1, 72, 3, 3, 5
44, 2081, 3.706872, 1, 20, 2, 3, 4
45, 2241, 3.437305, 1, 20, 2, 3, 4
46, 2363, 3.258146, 1, 16, 2, 3, 4
47, 2406, 3.174979, 1, 15, 2, 3, 4
48, 2485, 3.009256, 1, 16, 2, 3, 4
49, 2593, 2.908600, 1, 15, 2, 3, 3
50, 2471, 2.992715, 1, 14, 2, 3, 4
51, 2530, 2.900791, 1, 13, 2, 2, 3
52, 2526, 2.951306, 1, 16, 2, 3, 4
53, 2543, 2.970507, 1, 16, 2, 3, 3
54, 2588, 2.918856, 0, 57, 2, 2, 3
55, 2579, 2.905002, 1, 12, 2, 3, 3
56, 2505, 3.012774, 1, 17, 2, 3, 4
57, 2640, 2.886742, 1, 13, 2, 3, 3
58, 2564, 2.907176, 1, 15, 2, 3, 3
59, 2468, 3.052269, 1, 13, 2, 3, 4
60, 2377, 3.187211, 1, 15, 2, 3, 4
61, 2440, 3.148770, 1, 17, 2, 3, 4
62, 2364, 3.182741, 1, 17, 2, 3, 4
63, 2399, 3.142559, 1, 19, 2, 3, 4
64, 2414, 3.168600, 1, 19, 2, 3, 4
65, 2375, 3.218947, 1, 17, 2, 3, 4
66, 2223, 3.473234, 0, 79, 2, 3, 4
67, 2461, 3.108899, 0, 17, 2, 3, 4
68, 2273, 3.383634, 1, 15, 2, 3, 4
69, 2361, 3.203727, 1, 17, 2, 3, 4
70, 2427, 3.132262, 1, 13, 2, 3, 4
71, 2489, 3.022499, 0, 14, 2, 3, 4
72, 2504, 3.061901, 1, 19, 2, 3, 4
73, 2486, 3.059131, 1, 16, 2, 3, 4
74, 2523, 3.010305, 1, 13, 2, 3, 4
75, 2499, 3.035614, 1, 17, 2, 3, 4
76, 2589, 2.925840, 0, 13, 2, 3, 3
77, 2419, 3.185200, 1, 74, 2, 3, 4
78, 2513, 2.983685, 1, 15, 2, 3, 4
79, 2619, 2.859107, 1, 12, 2, 2, 3
80, 2500, 2.976000, 0, 14, 2, 3, 4
81, 2582, 2.903950, 1, 13, 2, 2, 3
82, 2296, 3.302265, 1, 28, 2, 3, 4
83, 1956, 3.985685, 0, 37, 2, 3, 5
84, 2498, 2.973179, 1, 15, 2, 3, 4
85, 2181, 3.557084, 1, 22, 2, 3, 4
86, 2293, 3.361099, 1, 38, 2, 3, 4
87, 2160, 3.534722, 1, 19, 2, 3, 4
88, 2235, 3.432662, 0, 27, 2, 3, 4
89, 2178, 3.560147, 1, 20, 2, 3, 4
90, 2093, 3.731964, 1, 22, 2, 3, 4
91, 1378, 5.461538, 1, 310, 2, 3, 5
92, 1912, 4.069561, 1, 31, 2, 3, 5
93, 1808, 4.425332, 1, 49, 2, 3, 5
94, 2049, 3.727184, 0, 27, 2, 3, 4
95, 1973, 3.933604, 0, 31, 2, 3, 5
96, 2073, 3.739508, 1, 22, 2, 3, 5
97, 2355, 3.274310, 1, 18, 2, 3, 4
98, 2416, 3.158113, 0, 19, 2, 3, 4
99, 2471, 3.065156, 1, 17, 2, 3, 4
100, 12, 6.666667, 3, 13, 3, 5, 10
