time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2288, 3.311189, 0, 31, 2, 3, 4
1, 2867, 2.560516, 0, 12, 2, 2, 3
2, 2867, 2.568887, 1, 13, 2, 2, 3
3, 2920, 2.546918, 1, 13, 2, 2, 3
4, 2883, 2.542490, 1, 12, 2, 2, 3
5, 2905, 2.515318, 0, 15, 2, 2, 3
6, 2906, 2.522712, 1, 15, 2, 2, 3
7, 2933, 2.488237, 1, 13, 2, 2, 3
8, 2778, 2.629230, 0, 20, 2, 2, 3
9, 2830, 2.605300, 1, 15, 2, 2, 3
10, 2823, 2.595112, 0, 12, 2, 2, 3
11, 2887, 2.560443, 1, 14, 2, 2, 3
12, 2781, 2.649407, 1, 12, 2, 2, 3
13, 2865, 2.550087, 0, 13, 2, 2, 3
14, 2827, 2.585780, 0, 14, 2, 2, 3
15, 2865, 2.565445, 1, 13, 2, 2, 3
16, 2850, 2.562105, 0, 13, 2, 2, 3
17, 2865, 2.560209, 1, 15, 2, 2, 3
18, 2988, 2.460843, 1, 11, 2, 2, 3
19, 2730, 2.672527, 0, 20, 2, 2, 3
20, 2392, 3.159699, 0, 16, 2, 3, 4
21, 2360, 3.207203, 0, 57, 2, 3, 4
22, 2633, 2.822636, 0, 15, 2, 2, 3
23, 2654, 2.819518, 1, 14, 2, 2, 3
24, 2672, 2.788548, 1, 15, 2, 2, 3
25, 2677, 2.769518, 1, 17, 2, 2, 3
26, 2758, 2.665700, 1, 13, 2, 2, 3
27, 2771, 2.649946, 0, 14, 2, 2, 3
28, 2660, 2.799248, 0, 12, 2, 2, 3
29, 2341, 3.257155, 1, 77, 2, 3, 4
30, 2379, 3.203026, 1, 15, 2, 3, 4
31, 2204, 3.441924, 1, 15, 2, 3, 4
32, 2208, 3.491848, 1, 14, 2, 3, 4
33, 2112, 3.624053, 1, 17, 2, 3, 4
34, 1964, 4.002546, 0, 21, 3, 3, 5
35, 2011, 3.838389, 1, 20, 3, 3, 4
36, 1933, 4.072944, 1, 18, 3, 4, 5
37, 2007, 3.905331, 1, 15, 3, 3, 5
38, 1750, 4.521714, 1, 19, 3, 4, 6
39, 2091, 3.740316, 1, 13, 2, 3, 4
40, 2113, 3.696640, 1, 18, 2, 3, 4
41, 2255, 3.406208, 1, 14, 2, 3, 4
42, 2385, 3.171488, 1, 23, 2, 3, 4
43, 2585, 2.882398, 1, 14, 2, 3, 3
44, 2518, 2.980540, 1, 60, 2, 2, 3
45, 2755, 2.709982, 1, 12, 2, 2, 3
46, 2759, 2.691555, 1, 14, 2, 2, 3
47, 2744, 2.699344, 0, 14, 2, 2, 3
48, 2764, 2.635673, 0, 15, 2, 2, 3
49, 2764, 2.708755, 1, 12, 2, 2, 3
50, 2635, 2.836053, 1, 19, 2, 2, 3
51, 2697, 2.748239, 1, 14, 2, 2, 3
52, 2681, 2.775830, 0, 23, 2, 2, 3
53, 2691, 2.761055, 1, 17, 2, 2, 3
54, 2622, 2.874905, 1, 15, 2, 2, 3
55, 2668, 2.794603, 0, 15, 2, 2, 3
56, 2532, 2.977093, 0, 72, 2, 2, 3
57, 2689, 2.763481, 1, 15, 2, 2, 3
58, 2589, 2.893395, 1, 20, 2, 2, 3
59, 2543, 2.952812, 1, 17, 2, 3, 3
60, 2622, 2.874142, 1, 16, 2, 2, 3
61, 2528, 2.942247, 1, 14, 2, 3, 3
62, 2522, 2.981761, 1, 20, 2, 3, 4
63, 2589, 2.954809, 1, 19, 2, 3, 3
64, 2579, 2.894921, 1, 18, 2, 2, 3
65, 2548, 2.947802, 1, 13, 2, 3, 3
66, 2549, 2.948607, 1, 18, 2, 3, 3
67, 2593, 2.895102, 1, 13, 2, 3, 3
68, 2439, 3.129151, 0, 70, 2, 3, 3
69, 2617, 2.850974, 0, 17, 2, 2, 3
70, 2650, 2.786038, 1, 17, 2, 2, 3
71, 2669, 2.772949, 0, 18, 2, 2, 3
72, 2654, 2.787867, 0, 15, 2, 2, 3
73, 2766, 2.674982, 1, 15, 2, 2, 3
74, 2775, 2.671351, 0, 15, 2, 2, 3
75, 1948, 3.886037, 0, 289, 2, 2, 3
76, 2807, 2.624866, 0, 12, 2, 2, 3
77, 2741, 2.687705, 0, 12, 2, 2, 3
78, 2763, 2.660514, 1, 12, 2, 2, 3
79, 2701, 2.680489, 1, 13, 2, 2, 3
80, 2670, 2.883895, 1, 78, 2, 2, 3
81, 2731, 2.733797, 1, 16, 2, 2, 3
82, 2714, 2.743920, 1, 20, 2, 2, 3
83, 2601, 2.849289, 1, 15, 2, 2, 3
84, 2633, 2.849221, 1, 15, 2, 2, 3
85, 2617, 2.869316, 1, 13, 2, 3, 3
86, 2590, 2.889961, 1, 20, 2, 2, 3
87, 2648, 2.848187, 0, 14, 2, 2, 3
88, 2592, 2.910880, 1, 14, 2, 3, 3
89, 2565, 2.927875, 1, 15, 2, 3, 3
90, 2589, 2.895326, 1, 13, 2, 2, 3
91, 2579, 2.888329, 1, 13, 2, 2, 3
92, 2561, 2.919563, 0, 15, 2, 3, 3
93, 2355, 3.270488, 1, 115, 2, 3, 3
94, 2685, 2.791434, 0, 12, 2, 2, 3
95, 2727, 2.733773, 1, 12, 2, 2, 3
96, 2700, 2.774074, 1, 16, 2, 2, 3
97, 2673, 2.776281, 1, 15, 2, 2, 3
98, 2697, 2.775306, 0, 15, 2, 2, 3
99, 2750, 2.697455, 1, 16, 2, 2, 3
100, 11, 3.000000, 2, 5, 2, 3, 4
