time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4334, 1.746193, 0, 192, 0, 1, 2
1, 5739, 1.169019, 0, 9, 0, 1, 2
2, 5666, 1.210201, 0, 9, 0, 1, 2
3, 5569, 1.244389, 0, 8, 0, 1, 2
4, 5569, 1.247441, 0, 12, 0, 1, 2
5, 5601, 1.233351, 0, 9, 0, 1, 2
6, 5520, 1.257246, 0, 13, 0, 1, 2
7, 5556, 1.245320, 0, 14, 0, 1, 2
8, 5732, 1.187718, 0, 11, 0, 1, 2
9, 5777, 1.185217, 0, 12, 0, 1, 2
10, 5782, 1.168454, 0, 9, 0, 1, 2
11, 4964, 1.434327, 0, 41, 0, 1, 2
12, 5581, 1.220570, 0, 12, 0, 1, 2
13, 5485, 1.275843, 0, 12, 0, 1, 2
14, 5597, 1.236198, 0, 10, 0, 1, 2
15, 5697, 1.209057, 0, 11, 0, 1, 2
16, 5142, 1.387592, 0, 68, 0, 1, 2
17, 5623, 1.227281, 0, 15, 0, 1, 2
18, 5566, 1.254402, 0, 9, 1, 1, 2
19, 5418, 1.305832, 0, 19, 1, 1, 2
20, 5715, 1.204899, 0, 10, 0, 1, 2
21, 5484, 1.270058, 0, 15, 0, 1, 2
22, 5646, 1.224761, 0, 9, 0, 1, 2
23, 5266, 1.350930, 0, 59, 0, 1, 2
24, 5618, 1.233535, 0, 10, 0, 1, 2
25, 5753, 1.199722, 0, 13, 0, 1, 2
26, 5519, 1.266353, 0, 10, 0, 1, 2
27, 5623, 1.220701, 0, 12, 0, 1, 2
28, 5562, 1.265372, 0, 11, 1, 1, 2
29, 5010, 1.515968, 0, 14, 1, 1, 2
30, 4707, 1.690461, 0, 13, 1, 1, 2
31, 4487, 1.788723, 0, 12, 1, 2, 2
32, 4438, 1.803064, 0, 17, 1, 2, 2
33, 3842, 2.104112, 0, 99, 1, 2, 2
34, 3853, 2.098365, 0, 15, 1, 2, 3
35, 3903, 2.063285, 0, 20, 1, 2, 3
36, 3978, 2.012569, 0, 14, 1, 2, 3
37, 3914, 2.037813, 0, 13, 1, 2, 3
38, 3994, 2.014021, 0, 22, 1, 2, 3
39, 4207, 1.911576, 0, 20, 1, 2, 2
40, 4446, 1.793747, 0, 17, 1, 2, 2
41, 4718, 1.666384, 0, 14, 1, 1, 2
42, 5090, 1.496267, 0, 15, 1, 1, 2
43, 5276, 1.376422, 0, 15, 1, 1, 2
44, 5381, 1.309422, 0, 14, 0, 1, 2
45, 5636, 1.222143, 0, 13, 0, 1, 2
46, 5879, 1.124511, 0, 14, 0, 1, 2
47, 5394, 1.284761, 0, 106, 0, 1, 2
48, 5973, 1.086389, 0, 11, 0, 1, 2
49, 5793, 1.147074, 0, 12, 0, 1, 2
50, 5742, 1.169453, 0, 10, 0, 1, 2
51, 5550, 1.262162, 0, 17, 0, 1, 2
52, 5329, 1.337962, 0, 12, 1, 1, 2
53, 5262, 1.373432, 0, 19, 1, 1, 2
54, 5384, 1.357727, 0, 12, 1, 1, 2
55, 5181, 1.453001, 0, 16, 1, 1, 2
56, 5269, 1.409755, 0, 12, 1, 1, 2
57, 4912, 1.559243, 0, 22, 1, 1, 2
58, 5124, 1.497853, 0, 14, 1, 1, 2
59, 4884, 1.594185, 0, 22, 1, 1, 2
60, 26, 1.038462, 0, 3, 0, 1, 2
