time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3031, 2.770703, 1, 9, 2, 3, 3
1, 2412, 3.615672, 1, 13, 3, 3, 4
2, 3105, 2.706924, 1, 11, 2, 3, 3
3, 3069, 2.732812, 0, 12, 2, 3, 3
4, 3307, 2.514666, 1, 10, 2, 2, 3
5, 3207, 2.610851, 1, 9, 2, 3, 3
6, 3032, 2.786280, 0, 13, 2, 3, 3
7, 2437, 3.567911, 1, 17, 2, 3, 4
8, 2468, 3.539708, 1, 59, 2, 3, 4
9, 2675, 3.205234, 1, 11, 2, 3, 4
10, 3023, 2.783989, 1, 12, 2, 3, 3
11, 2883, 2.943809, 1, 13, 2, 3, 3
12, 2994, 2.812959, 1, 9, 2, 3, 3
13, 3049, 2.766481, 0, 16, 2, 3, 3
14, 2884, 2.949376, 1, 12, 2, 3, 3
15, 3077, 2.720182, 0, 9, 2, 3, 3
16, 3121, 2.690484, 1, 8, 2, 3, 3
17, 2531, 3.415251, 0, 13, 2, 3, 4
18, 3151, 2.662964, 0, 9, 2, 3, 3
19, 3005, 2.805990, 1, 15, 2, 3, 3
20, 3105, 2.696618, 0, 11, 2, 3, 3
21, 2754, 3.113653, 0, 13, 2, 3, 4
22, 2164, 4.084104, 0, 76, 2, 3, 5
23, 2557, 3.392648, 0, 26, 2, 3, 4
24, 2932, 2.884379, 1, 10, 2, 3, 3
25, 2987, 2.817208, 0, 13, 2, 3, 3
26, 2849, 2.978238, 0, 11, 2, 3, 4
27, 3091, 2.713685, 1, 23, 2, 3, 3
28, 2392, 3.661371, 1, 22, 2, 3, 4
29, 2921, 2.890106, 1, 12, 2, 3, 3
30, 3119, 2.680987, 0, 10, 2, 3, 3
31, 2877, 2.946124, 1, 72, 2, 3, 3
32, 3058, 2.746239, 1, 11, 2, 3, 3
33, 3232, 2.585705, 1, 9, 2, 3, 3
34, 3125, 2.679360, 0, 11, 2, 3, 3
35, 3165, 2.636967, 1, 11, 2, 3, 3
36, 3091, 2.709156, 1, 15, 2, 3, 3
37, 3169, 2.638372, 1, 10, 2, 3, 3
38, 3065, 2.744861, 1, 11, 2, 3, 3
39, 3004, 2.789614, 0, 48, 2, 3, 3
40, 2921, 2.899007, 0, 11, 2, 3, 3
41, 2752, 3.107558, 1, 13, 2, 3, 4
42, 2717, 3.153846, 1, 11, 2, 3, 4
43, 2549, 3.369949, 1, 14, 3, 3, 4
44, 2541, 3.407320, 0, 14, 2, 3, 4
45, 2323, 3.789927, 1, 14, 3, 4, 4
46, 2558, 3.374120, 1, 11, 3, 3, 4
47, 2496, 3.469952, 1, 15, 3, 3, 4
48, 2353, 3.718232, 1, 12, 3, 4, 4
49, 2194, 3.970830, 1, 60, 3, 4, 4
50, 2649, 3.241978, 1, 13, 2, 3, 4
51, 2731, 3.128891, 1, 14, 2, 3, 4
52, 2792, 3.054441, 1, 14, 2, 3, 4
53, 2838, 2.984144, 1, 13, 2, 3, 4
54, 2968, 2.846698, 1, 11, 2, 3, 3
55, 3035, 2.761450, 1, 11, 2, 3, 3
56, 3008, 2.800864, 0, 13, 2, 3, 3
57, 2830, 2.984099, 1, 67, 2, 3, 3
58, 3076, 2.728869, 1, 12, 2, 3, 3
59, 2829, 2.998586, 1, 58, 2, 3, 3
60, 17, 2.352941, 1, 4, 2, 2, 3
