time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4578, 1.618611, 0, 179, 0, 1, 2
1, 5685, 1.169745, 0, 20, 0, 1, 2
2, 5379, 1.261945, 0, 123, 0, 1, 2
3, 5934, 1.083923, 0, 12, 0, 1, 2
4, 5824, 1.138908, 0, 9, 0, 1, 2
5, 5701, 1.189090, 0, 9, 0, 1, 2
6, 5713, 1.180291, 0, 13, 0, 1, 2
7, 5521, 1.245245, 0, 13, 0, 1, 2
8, 5575, 1.227982, 0, 11, 0, 1, 2
9, 5176, 1.373261, 0, 25, 0, 1, 2
10, 5976, 1.110107, 0, 11, 0, 1, 2
11, 4105, 1.880633, 0, 40, 1, 1, 3
12, 5267, 1.337763, 0, 27, 0, 1, 2
13, 5780, 1.175952, 0, 15, 0, 1, 2
14, 5785, 1.155402, 0, 11, 0, 1, 2
15, 5655, 1.201415, 0, 12, 0, 1, 2
16, 5473, 1.249041, 0, 65, 0, 1, 2
17, 5784, 1.169952, 0, 10, 0, 1, 2
18, 5639, 1.196489, 0, 10, 0, 1, 2
19, 5446, 1.268087, 0, 16, 0, 1, 2
20, 5619, 1.207510, 0, 15, 0, 1, 2
21, 5940, 1.103199, 0, 10, 0, 1, 2
22, 5727, 1.082766, 0, 10, 0, 1, 2
23, 5681, 1.300475, 0, 54, 1, 1, 2
24, 5972, 1.113195, 0, 10, 0, 1, 2
25, 5273, 1.344396, 0, 13, 1, 1, 2
26, 5569, 1.234333, 0, 13, 0, 1, 2
27, 5817, 1.144748, 0, 10, 0, 1, 2
28, 5573, 1.222142, 0, 19, 0, 1, 2
29, 5460, 1.271978, 0, 15, 0, 1, 2
30, 5669, 1.187335, 0, 15, 0, 1, 2
31, 5683, 1.199191, 0, 13, 0, 1, 2
32, 5304, 1.326735, 0, 82, 0, 1, 2
33, 5835, 1.123222, 0, 11, 0, 1, 2
34, 5711, 1.172474, 0, 12, 0, 1, 2
35, 5632, 1.201705, 0, 13, 0, 1, 2
36, 5023, 1.447740, 0, 19, 1, 1, 2
37, 5203, 1.420334, 0, 13, 1, 1, 2
38, 5046, 1.504360, 0, 12, 1, 1, 2
39, 4985, 1.551053, 0, 13, 1, 1, 2
40, 4739, 1.657734, 0, 16, 1, 1, 2
41, 4651, 1.692754, 0, 17, 1, 1, 2
42, 4726, 1.665468, 0, 16, 1, 1, 2
43, 4890, 1.601636, 0, 18, 1, 1, 2
44, 4798, 1.636515, 0, 19, 1, 1, 2
45, 4807, 1.629291, 0, 13, 1, 1, 2
46, 4235, 1.922078, 0, 136, 1, 1, 2
47, 5013, 1.536605, 0, 15, 1, 1, 2
48, 5263, 1.435303, 0, 11, 1, 1, 2
49, 5344, 1.357972, 0, 18, 1, 1, 2
50, 5237, 1.367768, 0, 19, 1, 1, 2
51, 5562, 1.251528, 0, 13, 0, 1, 2
52, 5510, 1.253358, 0, 23, 0, 1, 2
53, 5701, 1.190844, 0, 11, 0, 1, 2
54, 5762, 1.171989, 0, 14, 0, 1, 2
55, 5667, 1.203106, 0, 17, 0, 1, 2
56, 5848, 1.133208, 0, 15, 0, 1, 2
57, 5734, 1.162190, 0, 15, 0, 1, 2
58, 5316, 1.349699, 0, 26, 1, 1, 2
59, 5883, 1.134625, 0, 10, 0, 1, 2
60, 17, 1.117647, 0, 2, 0, 1, 2
