time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3031, 2.772682, 1, 10, 2, 3, 3
1, 3259, 2.546487, 0, 8, 2, 2, 3
2, 3075, 2.727480, 0, 11, 2, 3, 3
3, 3102, 2.705029, 0, 11, 2, 3, 3
4, 3140, 2.661783, 0, 11, 2, 3, 3
5, 3106, 2.697682, 1, 11, 2, 3, 3
6, 3260, 2.555215, 1, 11, 2, 2, 3
7, 3259, 2.551089, 1, 10, 2, 2, 3
8, 3174, 2.627284, 1, 9, 2, 3, 3
9, 3225, 2.573023, 1, 12, 2, 2, 3
10, 3146, 2.665289, 1, 11, 2, 3, 3
11, 3014, 2.788985, 0, 12, 2, 3, 3
12, 3211, 2.596699, 1, 21, 2, 2, 3
13, 3170, 2.631861, 1, 10, 2, 3, 3
14, 3230, 2.587307, 1, 12, 2, 2, 3
15, 3117, 2.696824, 1, 8, 2, 3, 3
16, 3271, 2.540507, 1, 9, 2, 2, 3
17, 3216, 2.595771, 1, 10, 2, 2, 3
18, 3261, 2.551978, 1, 9, 2, 2, 3
19, 3216, 2.587998, 0, 13, 2, 3, 3
20, 2609, 3.292833, 0, 42, 2, 3, 4
21, 3006, 2.814039, 0, 10, 2, 3, 3
22, 3038, 2.760698, 1, 9, 2, 3, 3
23, 3126, 2.675624, 1, 9, 2, 3, 3
24, 3200, 2.613438, 1, 9, 2, 3, 3
25, 3128, 2.686061, 1, 12, 2, 3, 3
26, 3033, 2.778767, 1, 22, 2, 3, 3
27, 3233, 2.584596, 1, 9, 2, 3, 3
28, 2981, 2.841664, 1, 61, 2, 3, 3
29, 3231, 2.581863, 1, 10, 2, 3, 3
30, 3240, 2.560185, 1, 10, 2, 2, 3
31, 3331, 2.491144, 1, 9, 2, 2, 3
32, 3190, 2.619749, 1, 11, 2, 3, 3
33, 3128, 2.668478, 1, 10, 2, 3, 3
34, 3092, 2.731242, 1, 11, 2, 3, 3
35, 3190, 2.618182, 1, 12, 2, 2, 3
36, 3215, 2.597512, 1, 12, 2, 3, 3
37, 3194, 2.613024, 1, 11, 2, 3, 3
38, 3183, 2.628024, 1, 13, 2, 3, 3
39, 3063, 2.750245, 1, 55, 2, 3, 3
40, 3187, 2.618764, 1, 12, 2, 3, 3
41, 3126, 2.678503, 1, 13, 2, 3, 3
42, 3026, 2.777594, 0, 18, 2, 3, 3
43, 3089, 2.713823, 1, 12, 2, 3, 3
44, 3157, 2.645866, 0, 16, 2, 2, 3
45, 3225, 2.580465, 1, 12, 2, 2, 3
46, 3261, 2.556884, 1, 10, 2, 2, 3
47, 3091, 2.718214, 1, 10, 2, 3, 3
48, 3064, 2.732702, 1, 9, 2, 3, 3
49, 3134, 2.669751, 1, 10, 2, 3, 3
50, 3005, 2.791681, 1, 52, 2, 3, 3
51, 2994, 2.818303, 1, 36, 2, 3, 3
52, 3097, 2.709719, 1, 12, 2, 3, 3
53, 2969, 2.840013, 1, 10, 2, 3, 3
54, 2901, 2.927956, 1, 12, 2, 3, 3
55, 2786, 3.064250, 1, 14, 2, 3, 4
56, 2693, 3.185295, 1, 11, 2, 3, 4
57, 2630, 3.275285, 0, 12, 2, 3, 4
58, 2618, 3.304049, 1, 11, 2, 3, 4
59, 2610, 3.301533, 1, 12, 3, 3, 4
60, 12, 2.750000, 2, 5, 2, 2, 3
