time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3279, 2.526990, 1, 10, 2, 2, 3
1, 3391, 2.412268, 0, 11, 2, 2, 3
2, 3356, 2.466031, 0, 11, 2, 2, 3
3, 3410, 2.414663, 1, 9, 2, 2, 3
4, 3306, 2.497883, 0, 14, 2, 2, 3
5, 3265, 2.553446, 1, 14, 2, 2, 3
6, 3346, 2.470412, 0, 9, 2, 2, 3
7, 3313, 2.497133, 1, 10, 2, 2, 3
8, 3274, 2.537874, 0, 11, 2, 2, 3
9, 3207, 2.593389, 0, 10, 2, 2, 3
10, 3390, 2.428024, 0, 10, 2, 2, 3
11, 3282, 2.508227, 1, 10, 2, 2, 3
12, 3342, 2.492220, 0, 13, 2, 2, 3
13, 3233, 2.562326, 0, 11, 2, 2, 3
14, 3312, 2.495773, 1, 11, 2, 2, 3
15, 3315, 2.492911, 0, 9, 2, 2, 3
16, 3298, 2.515767, 0, 9, 2, 2, 3
17, 3383, 2.431274, 0, 11, 2, 2, 3
18, 3344, 2.467404, 1, 11, 2, 2, 3
19, 2604, 3.310292, 0, 43, 2, 3, 4
20, 2786, 3.068557, 0, 31, 2, 3, 4
21, 3155, 2.638669, 0, 9, 2, 3, 3
22, 3239, 2.564372, 1, 10, 2, 2, 3
23, 3402, 2.410641, 0, 10, 2, 2, 3
24, 3330, 2.479279, 1, 12, 2, 2, 3
25, 3333, 2.480948, 0, 12, 2, 2, 3
26, 3328, 2.481070, 1, 10, 2, 2, 3
27, 3128, 2.672315, 1, 67, 2, 2, 3
28, 3333, 2.476148, 1, 13, 2, 2, 3
29, 3237, 2.577078, 1, 17, 2, 2, 3
30, 3347, 2.466687, 1, 13, 2, 2, 3
31, 3321, 2.483288, 0, 15, 2, 2, 3
32, 3300, 2.511212, 0, 13, 2, 2, 3
33, 3355, 2.472429, 0, 10, 2, 2, 3
34, 3252, 2.548893, 0, 10, 2, 2, 3
35, 3269, 2.541144, 0, 10, 2, 2, 3
36, 2961, 2.858494, 1, 19, 2, 3, 3
37, 3360, 2.460714, 1, 10, 2, 2, 3
38, 3077, 2.723757, 1, 56, 2, 2, 3
39, 3411, 2.411316, 1, 12, 2, 2, 3
40, 3397, 2.423020, 1, 9, 2, 2, 3
41, 3336, 2.470324, 1, 11, 2, 2, 3
42, 3286, 2.526780, 1, 11, 2, 2, 3
43, 3321, 2.495333, 0, 11, 2, 2, 3
44, 3383, 2.444871, 1, 10, 2, 2, 3
45, 3417, 2.416447, 1, 9, 2, 2, 3
46, 3312, 2.497886, 0, 23, 2, 2, 3
47, 3398, 2.426722, 1, 11, 2, 2, 3
48, 3032, 2.772427, 0, 68, 2, 2, 3
49, 3063, 2.745674, 1, 13, 2, 3, 3
50, 2954, 2.857820, 1, 11, 2, 3, 3
51, 2788, 3.067432, 1, 12, 2, 3, 4
52, 2620, 3.300763, 1, 16, 2, 3, 4
53, 2684, 3.192996, 1, 14, 2, 3, 4
54, 2724, 3.137298, 1, 12, 2, 3, 4
55, 2639, 3.253505, 1, 14, 2, 3, 4
56, 2752, 3.101017, 1, 17, 2, 3, 4
57, 2657, 3.228830, 1, 14, 2, 3, 4
58, 2152, 4.129647, 0, 229, 2, 3, 4
59, 3052, 2.750328, 1, 8, 2, 3, 3
60, 17, 2.470588, 1, 4, 2, 3, 3
