time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4099, 1.902171, 0, 9, 1, 2, 2
1, 4207, 1.842406, 0, 10, 1, 2, 2
2, 4494, 1.712728, 0, 9, 1, 2, 2
3, 4404, 1.766803, 0, 9, 1, 2, 2
4, 4298, 1.797813, 0, 10, 1, 2, 2
5, 3735, 2.140295, 0, 28, 1, 2, 3
6, 4111, 1.893457, 0, 10, 1, 2, 2
7, 4305, 1.800697, 0, 9, 1, 2, 2
8, 4324, 1.790934, 0, 12, 1, 2, 2
9, 4477, 1.717221, 0, 11, 1, 2, 2
10, 4315, 1.781460, 0, 9, 1, 2, 2
11, 4209, 1.849846, 0, 14, 1, 2, 2
12, 4145, 1.871411, 0, 12, 1, 2, 2
13, 4345, 1.767319, 0, 8, 1, 2, 2
14, 4074, 1.927835, 0, 40, 1, 2, 2
15, 4016, 1.982819, 0, 11, 1, 2, 3
16, 4157, 1.873226, 0, 12, 1, 2, 2
17, 4129, 1.880116, 0, 10, 1, 2, 2
18, 4079, 1.909291, 0, 12, 1, 2, 2
19, 4261, 1.816240, 0, 12, 1, 2, 2
20, 4323, 1.776775, 0, 9, 1, 2, 2
21, 4047, 1.941932, 0, 64, 1, 2, 2
22, 4188, 1.854585, 0, 11, 1, 2, 2
23, 4410, 1.756009, 0, 11, 1, 2, 2
24, 4385, 1.770125, 0, 10, 1, 2, 2
25, 4261, 1.814832, 0, 10, 1, 2, 2
26, 4284, 1.806489, 0, 11, 1, 2, 2
27, 4315, 1.782387, 0, 12, 1, 2, 2
28, 4297, 1.787992, 0, 12, 1, 2, 2
29, 4007, 1.947342, 0, 62, 1, 2, 2
30, 4167, 1.867531, 0, 11, 1, 2, 2
31, 4128, 1.889050, 0, 13, 1, 2, 2
32, 4157, 1.887419, 0, 12, 1, 2, 2
33, 4192, 1.866889, 0, 12, 1, 2, 2
34, 4231, 1.839518, 0, 11, 1, 2, 2
35, 4354, 1.758613, 0, 10, 1, 2, 2
36, 3581, 2.287629, 0, 216, 1, 2, 2
37, 4309, 1.794384, 0, 10, 1, 2, 2
38, 4356, 1.775023, 0, 10, 1, 2, 2
39, 4309, 1.799489, 0, 13, 1, 2, 2
40, 4226, 1.837198, 0, 12, 1, 2, 2
41, 4289, 1.804850, 0, 14, 1, 2, 2
42, 4027, 1.941892, 0, 74, 1, 2, 2
43, 3886, 2.033453, 0, 12, 1, 2, 3
44, 3809, 2.089787, 0, 11, 1, 2, 3
45, 3523, 2.307125, 0, 11, 1, 2, 3
46, 3472, 2.340438, 0, 10, 1, 2, 3
47, 3472, 2.349942, 0, 10, 2, 2, 3
48, 3255, 2.526267, 0, 15, 2, 2, 3
49, 3320, 2.493675, 0, 13, 2, 2, 3
50, 3255, 2.539785, 1, 20, 2, 2, 3
51, 3415, 2.404100, 0, 14, 2, 2, 3
52, 2798, 3.048249, 0, 60, 2, 3, 3
53, 3424, 2.397196, 1, 16, 2, 2, 3
54, 3590, 2.250418, 0, 11, 1, 2, 3
55, 3660, 2.185519, 0, 13, 1, 2, 3
56, 3822, 2.064103, 0, 17, 1, 2, 3
57, 3959, 1.981056, 0, 13, 1, 2, 3
58, 3975, 1.987421, 0, 15, 1, 2, 3
59, 4015, 1.964384, 0, 20, 1, 2, 3
60, 8, 2.875000, 1, 4, 2, 3, 4
