time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3392, 2.430719, 0, 15, 2, 2, 3
1, 3359, 2.457279, 0, 11, 2, 2, 3
2, 3579, 2.273820, 1, 9, 2, 2, 3
3, 3524, 2.309024, 0, 11, 2, 2, 3
4, 3604, 2.256659, 0, 11, 2, 2, 3
5, 3534, 2.305886, 1, 11, 2, 2, 3
6, 3577, 2.287112, 0, 10, 2, 2, 3
7, 3619, 2.248135, 1, 9, 2, 2, 3
8, 3552, 2.297579, 0, 10, 2, 2, 3
9, 3540, 2.299435, 1, 13, 2, 2, 3
10, 3517, 2.323287, 1, 10, 2, 2, 3
11, 3459, 2.366291, 1, 12, 2, 2, 3
12, 3503, 2.341422, 1, 15, 2, 2, 3
13, 3546, 2.295262, 0, 12, 2, 2, 3
14, 3580, 2.276257, 1, 11, 2, 2, 3
15, 3587, 2.266239, 0, 12, 2, 2, 3
16, 3548, 2.292841, 0, 10, 2, 2, 3
17, 3637, 2.223536, 0, 10, 2, 2, 3
18, 2893, 2.926374, 0, 41, 2, 3, 3
19, 3340, 2.478144, 1, 10, 2, 2, 3
20, 3515, 2.337696, 0, 11, 2, 2, 3
21, 3504, 2.329623, 0, 12, 2, 2, 3
22, 3599, 2.256738, 0, 10, 2, 2, 3
23, 3612, 2.250000, 0, 16, 2, 2, 3
24, 3516, 2.310296, 1, 13, 2, 2, 3
25, 3294, 2.519429, 1, 63, 2, 2, 3
26, 3570, 2.277031, 0, 13, 2, 2, 3
27, 3622, 2.235781, 1, 14, 2, 2, 3
28, 3496, 2.333238, 0, 14, 2, 2, 3
29, 2963, 2.852177, 0, 191, 2, 2, 3
30, 3613, 2.246886, 1, 9, 2, 2, 3
31, 3538, 2.309780, 0, 7, 2, 2, 3
32, 3505, 2.330670, 0, 8, 2, 2, 3
33, 3502, 2.339806, 0, 11, 2, 2, 3
34, 3527, 2.312730, 1, 11, 2, 2, 3
35, 3394, 2.424573, 0, 53, 2, 2, 3
36, 3439, 2.389357, 0, 11, 2, 2, 3
37, 3199, 2.606127, 1, 28, 2, 2, 3
38, 3036, 2.768116, 1, 15, 2, 3, 3
39, 2982, 2.823944, 0, 15, 2, 3, 3
40, 2880, 2.956944, 1, 12, 2, 3, 4
41, 2785, 3.047756, 1, 12, 2, 3, 4
42, 2774, 3.090844, 1, 18, 2, 3, 4
43, 2728, 3.155059, 0, 15, 2, 3, 4
44, 2846, 2.986297, 1, 11, 2, 3, 4
45, 2822, 3.027640, 1, 14, 2, 3, 4
46, 2996, 2.802069, 0, 11, 2, 3, 3
47, 3043, 2.764377, 0, 14, 2, 3, 3
48, 2979, 2.835851, 1, 66, 2, 3, 3
49, 3229, 2.576959, 1, 10, 2, 2, 3
50, 3450, 2.382029, 1, 8, 2, 2, 3
51, 3340, 2.462275, 1, 13, 2, 2, 3
52, 3487, 2.340407, 1, 12, 2, 2, 3
53, 3530, 2.310482, 1, 12, 2, 2, 3
54, 3542, 2.298984, 0, 12, 2, 2, 3
55, 3494, 2.336863, 1, 11, 2, 2, 3
56, 3643, 2.210815, 0, 11, 2, 2, 3
57, 3603, 2.260339, 1, 13, 2, 2, 3
58, 3576, 2.273210, 1, 12, 2, 2, 3
59, 3472, 2.350230, 0, 15, 2, 2, 3
60, 3, 2.333333, 1, 3, 1, 3, 3
