time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4767, 1.343193, 0, 12, 0, 1, 2
1, 4849, 1.275314, 0, 14, 0, 1, 2
2, 4999, 1.228846, 0, 11, 0, 1, 2
3, 5082, 1.183786, 0, 9, 0, 1, 2
4, 3807, 1.802732, 0, 21, 1, 1, 2
5, 4677, 1.417575, 0, 18, 1, 1, 2
6, 4769, 1.330468, 0, 11, 0, 1, 2
7, 4913, 1.264604, 0, 13, 0, 1, 2
8, 4977, 1.259594, 0, 16, 0, 1, 2
9, 4706, 1.346791, 0, 27, 0, 1, 2
10, 4684, 1.403928, 0, 44, 0, 1, 2
11, 4909, 1.271542, 0, 14, 0, 1, 2
12, 3807, 1.873391, 0, 43, 1, 1, 2
13, 4694, 1.314870, 0, 12, 0, 1, 2
14, 4883, 1.281589, 0, 12, 0, 1, 2
15, 4668, 1.387104, 0, 15, 0, 1, 2
16, 4050, 1.705432, 0, 17, 1, 1, 2
17, 3776, 1.832627, 0, 90, 1, 1, 2
18, 4319, 1.564714, 0, 18, 1, 1, 2
19, 4204, 1.622978, 0, 24, 1, 1, 2
20, 3518, 1.969585, 0, 217, 1, 1, 2
21, 4662, 1.393822, 0, 9, 1, 1, 2
22, 4682, 1.375053, 0, 13, 0, 1, 2
23, 4840, 1.299793, 0, 11, 0, 1, 2
24, 4800, 1.316250, 0, 10, 0, 1, 2
25, 4616, 1.382799, 0, 57, 0, 1, 2
26, 4557, 1.413430, 0, 15, 0, 1, 2
27, 4768, 1.345428, 0, 9, 1, 1, 2
28, 4570, 1.435667, 0, 15, 1, 1, 2
29, 4539, 1.427848, 0, 13, 1, 1, 2
30, 4570, 1.424945, 0, 12, 1, 1, 2
31, 4589, 1.419263, 0, 11, 0, 1, 2
32, 4578, 1.425076, 0, 13, 1, 1, 2
33, 4440, 1.500450, 0, 19, 1, 1, 2
34, 4472, 1.484123, 0, 16, 1, 1, 2
35, 4328, 1.572551, 0, 21, 1, 1, 2
36, 4090, 1.631540, 0, 85, 0, 1, 2
37, 4672, 1.401755, 0, 10, 1, 1, 2
38, 4818, 1.310710, 0, 9, 0, 1, 2
39, 4579, 1.436995, 0, 20, 0, 1, 2
40, 4255, 1.580024, 0, 12, 1, 1, 2
41, 3740, 1.883957, 0, 21, 1, 1, 2
42, 4205, 1.600000, 0, 22, 1, 1, 2
43, 3766, 1.849442, 0, 35, 1, 1, 2
44, 4478, 1.451318, 0, 13, 1, 1, 2
45, 4536, 1.429012, 0, 12, 0, 1, 2
46, 4765, 1.351102, 0, 13, 1, 1, 2
47, 4599, 1.475103, 0, 13, 1, 1, 2
48, 4220, 1.684360, 0, 17, 1, 1, 2
49, 3997, 1.792094, 0, 12, 1, 1, 2
50, 3253, 2.325238, 0, 184, 1, 1, 2
51, 4107, 1.747261, 0, 13, 1, 1, 2
52, 4088, 1.779599, 0, 18, 1, 1, 2
53, 4045, 1.785167, 0, 12, 1, 1, 2
54, 4053, 1.765852, 0, 19, 1, 1, 2
55, 4248, 1.667608, 0, 19, 1, 1, 2
56, 4231, 1.617348, 0, 33, 1, 1, 2
57, 4119, 1.640689, 0, 23, 1, 1, 2
58, 4251, 1.602211, 0, 20, 1, 1, 2
59, 4651, 1.380778, 0, 10, 0, 1, 2
60, 18, 1.444444, 0, 4, 0, 1, 2
