time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2692, 2.777860, 1, 13, 2, 2, 3
1, 2775, 2.672432, 1, 15, 2, 2, 3
2, 2734, 2.709583, 1, 16, 2, 2, 3
3, 2730, 2.739927, 0, 18, 2, 2, 3
4, 2630, 2.843726, 1, 12, 2, 2, 3
5, 2644, 2.804085, 1, 13, 2, 2, 3
6, 2607, 2.888377, 0, 19, 2, 2, 3
7, 2796, 2.609800, 0, 13, 2, 2, 3
8, 2607, 2.868815, 1, 15, 2, 2, 3
9, 2740, 2.715328, 1, 12, 2, 2, 3
10, 2704, 2.751479, 0, 14, 2, 2, 3
11, 2678, 2.807319, 1, 12, 2, 2, 3
12, 2495, 3.018437, 1, 32, 2, 3, 3
13, 2463, 3.066991, 1, 21, 2, 3, 4
14, 2607, 2.866897, 1, 13, 2, 2, 3
15, 2608, 2.844709, 0, 16, 2, 2, 3
16, 2618, 2.862108, 1, 22, 2, 2, 3
17, 2635, 2.830740, 1, 14, 2, 2, 3
18, 2652, 2.790347, 0, 14, 2, 2, 3
19, 2738, 2.696129, 0, 13, 2, 2, 3
20, 2723, 2.719427, 1, 17, 2, 2, 3
21, 2683, 2.773015, 0, 15, 2, 2, 3
22, 1947, 3.988701, 0, 64, 2, 3, 5
23, 2533, 2.932491, 0, 15, 2, 2, 4
24, 2643, 2.831252, 1, 13, 2, 2, 3
25, 2687, 2.759583, 0, 14, 2, 2, 3
26, 2629, 2.833777, 1, 14, 2, 2, 3
27, 2643, 2.831631, 1, 10, 2, 2, 3
28, 2694, 2.731997, 1, 13, 2, 2, 3
29, 2785, 2.661759, 1, 16, 2, 2, 3
30, 2700, 2.774074, 1, 14, 2, 2, 3
31, 2482, 3.052780, 0, 75, 2, 2, 3
32, 2433, 3.092478, 1, 18, 2, 3, 4
33, 2456, 3.105049, 0, 17, 2, 3, 4
34, 2411, 3.152634, 1, 16, 2, 3, 4
35, 2177, 3.536518, 1, 16, 2, 3, 4
36, 2016, 3.812996, 1, 21, 3, 3, 4
37, 2007, 3.907324, 1, 22, 3, 3, 5
38, 1868, 4.204497, 1, 23, 3, 4, 5
39, 1985, 3.936524, 1, 14, 3, 4, 5
40, 1920, 4.033333, 1, 19, 3, 4, 5
41, 1846, 4.178223, 1, 18, 3, 4, 5
42, 1830, 4.281421, 1, 22, 3, 4, 5
43, 1998, 3.859359, 1, 21, 3, 3, 4
44, 2071, 3.762916, 1, 18, 2, 3, 5
45, 2195, 3.437358, 1, 17, 2, 3, 4
46, 2256, 3.446365, 1, 69, 2, 3, 4
47, 2171, 3.545831, 1, 14, 2, 3, 4
48, 2420, 3.157025, 0, 26, 2, 3, 4
49, 2573, 2.929654, 1, 13, 2, 3, 3
50, 2533, 2.975523, 0, 18, 2, 3, 4
51, 2642, 2.805450, 0, 16, 2, 2, 3
52, 2587, 2.905296, 1, 18, 2, 3, 3
53, 2543, 2.930004, 1, 13, 2, 2, 3
54, 2539, 2.952737, 0, 17, 2, 3, 4
55, 2622, 2.858124, 1, 12, 2, 2, 3
56, 2598, 2.895304, 1, 16, 2, 2, 3
57, 2464, 3.045049, 1, 13, 2, 3, 4
58, 2436, 3.045156, 0, 69, 2, 2, 3
59, 2486, 3.033387, 1, 18, 2, 3, 4
60, 14, 3.000000, 2, 10, 2, 2, 3
