time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2895, 2.516408, 0, 17, 2, 2, 3
1, 2988, 2.425368, 1, 11, 2, 2, 3
2, 3018, 2.399934, 0, 11, 2, 2, 3
3, 2966, 2.439649, 0, 18, 2, 2, 3
4, 2964, 2.460526, 0, 11, 2, 2, 3
5, 2985, 2.434171, 0, 12, 2, 2, 3
6, 3080, 2.333766, 0, 12, 1, 2, 3
7, 3044, 2.308476, 0, 15, 1, 2, 3
8, 2951, 2.440868, 0, 13, 2, 2, 3
9, 3034, 2.397825, 0, 12, 2, 2, 3
10, 2840, 2.567958, 0, 17, 2, 2, 3
11, 2962, 2.466914, 0, 15, 2, 2, 3
12, 2959, 2.426157, 0, 15, 2, 2, 3
13, 2977, 2.429627, 0, 14, 2, 2, 3
14, 2947, 2.458432, 0, 14, 2, 2, 3
15, 2909, 2.517704, 0, 14, 2, 2, 3
16, 2870, 2.525436, 1, 11, 2, 2, 3
17, 2981, 2.429722, 0, 11, 2, 2, 3
18, 3013, 2.418520, 0, 11, 2, 2, 3
19, 2726, 2.697726, 0, 50, 2, 2, 3
20, 2023, 3.846762, 0, 25, 2, 3, 5
21, 2743, 2.694495, 0, 12, 2, 2, 3
22, 2718, 2.695732, 0, 12, 2, 2, 3
23, 2682, 2.788218, 0, 19, 2, 2, 3
24, 2756, 2.682148, 0, 14, 2, 2, 3
25, 2788, 2.661047, 0, 14, 2, 2, 3
26, 2782, 2.646298, 0, 15, 2, 2, 3
27, 2657, 2.798269, 0, 20, 2, 2, 3
28, 2545, 2.911198, 0, 78, 2, 2, 3
29, 2861, 2.559595, 0, 15, 2, 2, 3
30, 2832, 2.576977, 0, 13, 2, 2, 3
31, 2951, 2.504236, 0, 10, 2, 2, 3
32, 2897, 2.519503, 0, 14, 2, 2, 3
33, 2776, 2.652017, 0, 13, 2, 2, 3
34, 2650, 2.822264, 1, 15, 2, 2, 3
35, 2150, 3.572558, 1, 19, 2, 3, 4
36, 2301, 3.355063, 1, 58, 2, 3, 4
37, 2048, 3.794434, 1, 18, 2, 3, 4
38, 2225, 3.477753, 1, 21, 2, 3, 4
39, 2093, 3.635929, 1, 15, 2, 3, 4
40, 1932, 4.086957, 1, 21, 3, 3, 5
41, 2047, 3.765999, 1, 18, 2, 3, 4
42, 2257, 3.390784, 1, 18, 2, 3, 4
43, 2243, 3.431565, 1, 19, 2, 3, 4
44, 2319, 3.282449, 1, 16, 2, 3, 4
45, 2372, 3.193929, 1, 17, 2, 3, 4
46, 2549, 2.963515, 0, 16, 2, 3, 4
47, 2699, 2.740274, 0, 16, 2, 2, 3
48, 2826, 2.606865, 0, 10, 2, 2, 3
49, 2678, 2.739358, 0, 58, 2, 2, 3
50, 2689, 2.741540, 0, 41, 2, 2, 3
51, 2887, 2.531001, 1, 20, 2, 2, 3
52, 2867, 2.546913, 0, 16, 2, 2, 3
53, 2914, 2.518188, 0, 12, 2, 2, 3
54, 2961, 2.477879, 0, 12, 2, 2, 3
55, 2862, 2.560098, 0, 19, 2, 2, 3
56, 2899, 2.532597, 0, 12, 2, 2, 3
57, 2664, 2.753003, 0, 14, 2, 2, 3
58, 2888, 2.551247, 0, 11, 2, 2, 3
59, 2799, 2.635941, 0, 16, 2, 2, 3
60, 5, 2.200000, 1, 4, 1, 2, 3
