time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2551, 2.930223, 1, 13, 2, 3, 4
1, 2743, 2.721473, 1, 13, 2, 2, 3
2, 2771, 2.681342, 1, 12, 2, 2, 3
3, 2754, 2.704067, 1, 15, 2, 2, 3
4, 2705, 2.714603, 0, 14, 2, 2, 3
5, 2741, 2.707771, 0, 16, 2, 2, 3
6, 2686, 2.768057, 1, 15, 2, 2, 3
7, 2677, 2.813224, 0, 11, 2, 2, 3
8, 2552, 2.915361, 1, 15, 2, 2, 3
9, 2660, 2.809023, 1, 16, 2, 2, 3
10, 2601, 2.868512, 1, 14, 2, 2, 3
11, 2764, 2.658828, 0, 18, 2, 2, 3
12, 2818, 2.657559, 0, 14, 2, 2, 3
13, 2760, 2.689855, 1, 14, 2, 2, 3
14, 2648, 2.805514, 1, 13, 2, 2, 3
15, 2597, 2.874856, 1, 16, 2, 2, 3
16, 2599, 2.894960, 1, 14, 2, 2, 3
17, 2628, 2.842846, 0, 13, 2, 2, 3
18, 2671, 2.790715, 0, 17, 2, 2, 3
19, 2680, 2.766045, 0, 16, 2, 2, 3
20, 2733, 2.739115, 1, 18, 2, 2, 3
21, 2737, 2.723054, 0, 14, 2, 2, 3
22, 2332, 3.226844, 0, 54, 2, 3, 4
23, 2526, 2.994458, 0, 15, 2, 3, 4
24, 2613, 2.865289, 0, 14, 2, 2, 3
25, 2593, 2.922484, 1, 17, 2, 2, 3
26, 2647, 2.822440, 0, 15, 2, 2, 3
27, 2725, 2.757431, 0, 18, 2, 2, 3
28, 2660, 2.849248, 1, 13, 2, 2, 3
29, 2524, 3.041601, 1, 17, 2, 3, 4
30, 2262, 3.385942, 1, 16, 2, 3, 4
31, 1950, 3.986667, 1, 83, 2, 3, 4
32, 1965, 3.950636, 1, 16, 3, 4, 5
33, 1874, 4.219317, 0, 23, 3, 4, 5
34, 1838, 4.308487, 1, 20, 3, 4, 5
35, 1870, 4.189840, 1, 23, 3, 4, 5
36, 1886, 4.130435, 1, 16, 3, 4, 5
37, 1906, 4.165792, 1, 22, 3, 4, 5
38, 1842, 4.235071, 1, 23, 3, 4, 5
39, 1867, 4.197108, 1, 18, 3, 4, 5
40, 2006, 3.863410, 1, 18, 3, 3, 5
41, 2094, 3.721585, 1, 18, 2, 3, 4
42, 2172, 3.505525, 1, 16, 2, 3, 4
43, 2428, 3.130560, 1, 12, 2, 3, 4
44, 2442, 3.079853, 1, 15, 2, 3, 4
45, 2497, 3.019223, 1, 13, 2, 3, 4
46, 2476, 3.046446, 0, 63, 2, 2, 3
47, 2689, 2.758646, 0, 13, 2, 2, 3
48, 2701, 2.774898, 1, 13, 2, 2, 3
49, 2681, 2.760537, 0, 13, 2, 2, 3
50, 2624, 2.834985, 0, 17, 2, 2, 3
51, 2737, 2.747899, 1, 16, 2, 2, 3
52, 2626, 2.826352, 1, 13, 2, 2, 3
53, 2602, 2.805919, 1, 18, 2, 2, 3
54, 2638, 2.869977, 1, 10, 2, 3, 3
55, 2513, 3.001194, 1, 15, 2, 3, 4
56, 2418, 3.148470, 0, 15, 2, 3, 4
57, 2255, 3.317960, 1, 38, 2, 3, 4
58, 2252, 3.404529, 0, 16, 2, 3, 4
59, 2322, 3.319983, 1, 16, 2, 3, 4
60, 12, 3.250000, 2, 8, 2, 3, 3
