time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2756, 2.692671, 1, 16, 2, 2, 3
1, 2679, 2.758119, 0, 25, 2, 2, 3
2, 2716, 2.748159, 1, 18, 2, 2, 3
3, 2705, 2.739741, 1, 13, 2, 2, 3
4, 2815, 2.647602, 0, 15, 2, 2, 3
5, 2600, 2.845000, 0, 18, 2, 2, 3
6, 2776, 2.647334, 1, 14, 2, 2, 3
7, 2786, 2.660086, 1, 16, 2, 2, 3
8, 2848, 2.589888, 0, 14, 2, 2, 3
9, 2865, 2.595113, 0, 12, 2, 2, 3
10, 2786, 2.632448, 0, 15, 2, 2, 3
11, 2797, 2.620665, 1, 13, 2, 2, 3
12, 2692, 2.758172, 0, 12, 2, 2, 3
13, 2821, 2.637008, 1, 12, 2, 2, 3
14, 2673, 2.801347, 1, 13, 2, 2, 3
15, 2698, 2.742772, 1, 11, 2, 2, 3
16, 2799, 2.637728, 0, 13, 2, 2, 3
17, 2852, 2.611150, 0, 11, 2, 2, 3
18, 2781, 2.674937, 1, 17, 2, 2, 3
19, 2691, 2.733556, 1, 16, 2, 2, 3
20, 2702, 2.775352, 1, 12, 2, 2, 3
21, 2515, 3.001193, 1, 51, 2, 2, 3
22, 2641, 2.799318, 1, 13, 2, 2, 3
23, 2736, 2.717105, 0, 16, 2, 2, 3
24, 2699, 2.759911, 0, 14, 2, 2, 3
25, 2362, 3.153683, 1, 15, 2, 3, 4
26, 2357, 3.221468, 0, 18, 2, 3, 4
27, 2576, 2.917702, 1, 15, 2, 3, 3
28, 2764, 2.715630, 0, 16, 2, 2, 3
29, 2773, 2.644428, 0, 13, 2, 2, 3
30, 2571, 2.942046, 0, 67, 2, 2, 3
31, 2754, 2.692084, 0, 13, 2, 2, 3
32, 2738, 2.699416, 0, 12, 2, 2, 3
33, 2861, 2.606082, 0, 13, 2, 2, 3
34, 2554, 2.957713, 1, 16, 2, 3, 4
35, 2413, 3.174472, 0, 19, 2, 3, 4
36, 2278, 3.327041, 1, 17, 2, 3, 4
37, 2602, 2.900077, 0, 12, 2, 3, 3
38, 2461, 3.056075, 1, 16, 2, 3, 4
39, 2146, 3.536813, 1, 56, 2, 3, 4
40, 2224, 3.410072, 1, 21, 2, 3, 4
41, 2189, 3.488808, 1, 17, 2, 3, 4
42, 1927, 4.058121, 0, 19, 3, 4, 5
43, 1894, 4.134636, 0, 20, 3, 4, 5
44, 1824, 4.359649, 1, 30, 3, 4, 5
45, 1828, 4.248906, 1, 21, 3, 4, 5
46, 2070, 3.738647, 1, 18, 2, 3, 4
47, 1804, 4.360310, 1, 24, 3, 4, 5
48, 1670, 4.759880, 0, 39, 3, 4, 5
49, 2082, 3.719020, 1, 16, 2, 3, 4
50, 2141, 3.584773, 1, 59, 2, 3, 4
51, 2361, 3.212622, 1, 20, 2, 3, 4
52, 2466, 3.055556, 1, 15, 2, 3, 4
53, 2110, 3.667773, 1, 23, 2, 3, 4
54, 2457, 3.085470, 0, 16, 2, 3, 4
55, 2785, 2.672890, 0, 15, 2, 2, 3
56, 2623, 2.830347, 0, 15, 2, 2, 3
57, 2720, 2.737868, 1, 12, 2, 2, 3
58, 2778, 2.687545, 1, 13, 2, 2, 3
59, 2675, 2.736449, 0, 63, 2, 2, 3
60, 11, 3.272727, 2, 4, 3, 3, 4
