time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2990, 2.507692, 0, 28, 1, 2, 3
1, 3581, 2.026529, 0, 14, 1, 2, 3
2, 3549, 2.049310, 0, 14, 1, 2, 3
3, 3439, 2.113405, 0, 13, 1, 2, 3
4, 3549, 2.045647, 0, 11, 1, 2, 3
5, 3475, 2.090072, 0, 12, 1, 2, 3
6, 3558, 2.036537, 0, 16, 1, 2, 3
7, 3857, 1.876329, 0, 13, 1, 2, 2
8, 3738, 1.897271, 0, 19, 1, 2, 2
9, 3827, 1.854716, 0, 10, 1, 1, 2
10, 3573, 2.034705, 0, 17, 1, 2, 3
11, 3680, 1.951087, 0, 13, 1, 2, 2
12, 3713, 1.927283, 0, 14, 1, 2, 2
13, 3747, 1.927675, 0, 18, 1, 2, 2
14, 3640, 1.954121, 0, 14, 1, 2, 3
15, 3667, 1.947368, 0, 16, 1, 2, 3
16, 2922, 2.598563, 0, 53, 1, 2, 3
17, 2985, 2.534003, 0, 26, 1, 2, 3
18, 3449, 2.118005, 0, 14, 1, 2, 3
19, 3600, 2.001667, 0, 14, 1, 2, 3
20, 3631, 1.999725, 0, 14, 1, 2, 3
21, 3578, 1.982392, 0, 21, 1, 2, 3
22, 3568, 2.037276, 0, 30, 1, 2, 3
23, 3357, 2.137623, 0, 64, 1, 2, 3
24, 3462, 2.071924, 0, 14, 1, 2, 3
25, 3746, 1.930593, 0, 13, 1, 2, 2
26, 3632, 1.956498, 0, 13, 1, 2, 3
27, 3329, 2.138480, 0, 11, 1, 2, 3
28, 2962, 2.469953, 0, 20, 1, 2, 3
29, 2763, 2.704669, 0, 15, 1, 2, 3
30, 2576, 2.939053, 0, 17, 2, 2, 4
31, 2454, 3.123879, 1, 18, 2, 3, 4
32, 2281, 3.379220, 1, 22, 2, 3, 4
33, 2225, 3.522697, 1, 24, 2, 3, 4
34, 2033, 3.922774, 1, 93, 2, 3, 5
35, 2127, 3.623883, 1, 22, 2, 3, 5
36, 2194, 3.596627, 1, 18, 2, 3, 4
37, 2245, 3.416481, 1, 23, 2, 3, 4
38, 2361, 3.257518, 1, 23, 2, 3, 4
39, 2701, 2.798963, 1, 21, 1, 2, 4
40, 2690, 2.770632, 0, 22, 1, 2, 4
41, 2947, 2.492704, 0, 15, 1, 2, 3
42, 3279, 2.238182, 0, 14, 1, 2, 3
43, 3352, 2.139320, 0, 12, 1, 2, 3
44, 3672, 1.936547, 0, 11, 1, 2, 3
45, 3709, 1.908061, 0, 14, 1, 2, 2
46, 3763, 1.896625, 0, 12, 1, 2, 2
47, 3576, 2.010347, 0, 12, 1, 2, 3
48, 3633, 1.974401, 0, 12, 1, 2, 3
49, 3421, 2.110494, 0, 74, 1, 2, 3
50, 3540, 2.027401, 0, 11, 1, 2, 3
51, 3836, 1.872263, 0, 15, 1, 1, 2
52, 3387, 2.135813, 0, 16, 1, 2, 3
53, 3481, 2.083884, 0, 15, 1, 2, 3
54, 3258, 2.224371, 0, 16, 1, 2, 3
55, 3391, 2.122973, 0, 11, 1, 2, 3
56, 3305, 2.211800, 0, 18, 1, 2, 3
57, 3214, 2.253578, 0, 16, 1, 2, 3
58, 3345, 2.157848, 0, 14, 1, 2, 3
59, 3260, 2.201840, 0, 13, 1, 2, 3
60, 10, 2.700000, 1, 6, 1, 3, 3
