time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2407, 3.174907, 1, 17, 2, 3, 4
1, 2590, 2.855985, 0, 14, 2, 2, 3
2, 2740, 2.690876, 0, 13, 2, 2, 3
3, 2634, 2.812073, 0, 16, 2, 2, 3
4, 2660, 2.803008, 0, 16, 2, 2, 3
5, 2661, 2.771514, 0, 16, 2, 2, 3
6, 2688, 2.755580, 1, 14, 2, 2, 3
7, 2767, 2.693892, 1, 14, 2, 2, 3
8, 2825, 2.594690, 0, 17, 2, 2, 3
9, 2618, 2.833843, 1, 17, 2, 2, 3
10, 2676, 2.773169, 1, 14, 2, 2, 3
11, 2642, 2.806586, 0, 15, 2, 2, 3
12, 2708, 2.757755, 1, 13, 2, 2, 3
13, 2653, 2.772333, 1, 19, 2, 2, 3
14, 2792, 2.651146, 0, 12, 2, 2, 3
15, 2685, 2.767598, 0, 23, 2, 2, 3
16, 2672, 2.792665, 1, 13, 2, 2, 3
17, 2678, 2.735997, 0, 15, 2, 2, 3
18, 2661, 2.789177, 1, 12, 2, 2, 3
19, 2614, 2.867253, 1, 17, 2, 2, 3
20, 2584, 2.851780, 0, 16, 2, 2, 3
21, 2755, 2.655898, 0, 15, 2, 2, 3
22, 2157, 3.513213, 0, 56, 2, 3, 4
23, 2750, 2.714545, 1, 18, 2, 2, 3
24, 2714, 2.724024, 0, 15, 2, 2, 3
25, 2626, 2.822544, 0, 15, 2, 2, 3
26, 2553, 2.936154, 1, 12, 2, 3, 3
27, 2191, 3.502510, 1, 23, 2, 3, 4
28, 2079, 3.750361, 0, 22, 2, 3, 4
29, 1936, 4.006198, 1, 15, 3, 3, 5
30, 1880, 4.146277, 1, 18, 3, 4, 5
31, 1732, 4.596420, 1, 25, 3, 4, 5
32, 1636, 4.728606, 1, 91, 3, 4, 5
33, 1745, 4.488825, 1, 29, 3, 4, 5
34, 1772, 4.453160, 1, 20, 3, 4, 5
35, 1847, 4.272334, 1, 18, 3, 4, 5
36, 1742, 4.535017, 1, 17, 3, 4, 5
37, 1850, 4.290270, 1, 21, 3, 4, 5
38, 1830, 4.353005, 1, 16, 3, 4, 5
39, 1941, 4.018547, 0, 47, 2, 3, 5
40, 2158, 3.569972, 1, 17, 2, 3, 4
41, 2463, 3.084856, 1, 13, 2, 3, 4
42, 2412, 3.167496, 1, 12, 2, 3, 4
43, 2504, 3.003195, 1, 14, 2, 3, 4
44, 2625, 2.862095, 1, 17, 2, 2, 3
45, 2548, 2.941130, 0, 14, 2, 3, 3
46, 2408, 3.171512, 1, 60, 2, 3, 4
47, 2580, 2.934496, 1, 14, 2, 3, 3
48, 2623, 2.879146, 0, 15, 2, 3, 3
49, 2555, 2.899413, 0, 15, 2, 3, 3
50, 2629, 2.864968, 1, 18, 2, 2, 3
51, 2554, 2.933829, 1, 20, 2, 3, 3
52, 2483, 3.038260, 1, 18, 2, 3, 4
53, 2443, 3.103971, 1, 18, 2, 3, 4
54, 2359, 3.265791, 1, 17, 2, 3, 4
55, 2485, 3.050302, 1, 21, 2, 3, 4
56, 2363, 3.221329, 1, 15, 2, 3, 4
57, 2289, 3.374399, 1, 15, 2, 3, 4
58, 2388, 3.190955, 1, 15, 2, 3, 4
59, 2201, 3.457065, 1, 71, 2, 3, 4
60, 12, 3.083333, 2, 6, 2, 3, 3
