time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1510, 5.403974, 1, 28, 4, 5, 6
1, 1579, 5.105130, 1, 21, 3, 5, 6
2, 1452, 5.584022, 1, 25, 4, 5, 7
3, 1581, 5.163820, 1, 26, 3, 4, 6
4, 1539, 5.244964, 2, 23, 4, 5, 6
5, 1525, 5.312787, 2, 22, 4, 5, 6
6, 1520, 5.252632, 2, 26, 4, 5, 6
7, 1555, 5.214791, 2, 25, 4, 5, 6
8, 1546, 5.251617, 2, 21, 4, 5, 6
9, 1537, 5.247235, 2, 24, 4, 5, 6
10, 1564, 5.127877, 2, 20, 3, 5, 6
11, 1566, 5.187739, 2, 21, 4, 5, 6
12, 1533, 5.242009, 1, 18, 4, 5, 6
13, 1520, 5.268421, 1, 22, 4, 5, 6
14, 1572, 5.106234, 2, 17, 3, 4, 6
15, 1556, 5.203728, 2, 23, 4, 5, 6
16, 1569, 5.167623, 2, 19, 4, 5, 6
17, 1565, 5.167412, 2, 20, 4, 5, 6
18, 1587, 5.183995, 2, 24, 4, 5, 6
19, 1578, 5.178707, 2, 22, 4, 5, 6
20, 1544, 5.130829, 1, 18, 3, 4, 6
21, 1612, 5.004963, 1, 19, 3, 4, 6
22, 1550, 5.288387, 1, 31, 4, 5, 6
23, 1591, 5.087995, 2, 22, 4, 4, 6
24, 1535, 5.251466, 1, 21, 4, 5, 6
25, 1438, 5.550070, 2, 31, 4, 5, 7
26, 1514, 5.400264, 2, 17, 4, 5, 7
27, 1557, 5.178548, 2, 20, 4, 4, 6
28, 1576, 5.154822, 2, 18, 4, 5, 6
29, 1591, 5.023256, 2, 22, 3, 4, 6
30, 1533, 5.212003, 2, 29, 3, 4, 6
31, 1524, 5.242126, 2, 22, 4, 5, 6
32, 1443, 5.690922, 2, 24, 4, 5, 7
33, 1430, 5.580420, 2, 25, 4, 5, 7
34, 1411, 5.799433, 1, 19, 4, 5, 7
35, 1346, 6.038633, 2, 20, 4, 5, 7
36, 1372, 5.923469, 2, 21, 4, 5, 7
37, 1364, 5.958944, 2, 19, 4, 5, 7
38, 1259, 6.589357, 2, 54, 4, 6, 8
39, 1319, 6.204701, 2, 24, 4, 5, 7
40, 1298, 6.378274, 2, 23, 4, 6, 8
41, 1393, 5.818378, 2, 25, 4, 5, 7
42, 1275, 6.489412, 1, 63, 4, 5, 7
43, 1265, 6.529644, 1, 30, 4, 5, 8
44, 1364, 6.005865, 2, 27, 4, 5, 7
45, 1466, 5.549795, 2, 24, 4, 5, 7
46, 1463, 5.566644, 2, 22, 4, 5, 7
47, 1503, 5.375250, 2, 22, 4, 5, 6
48, 1548, 5.194444, 1, 22, 4, 5, 6
49, 1534, 5.211864, 2, 20, 4, 5, 6
50, 1466, 5.477490, 2, 21, 4, 5, 7
51, 1531, 5.236447, 2, 21, 4, 5, 6
52, 1566, 5.216475, 1, 20, 4, 5, 6
53, 1569, 5.153601, 1, 23, 4, 4, 6
54, 1534, 5.219687, 2, 19, 4, 5, 6
55, 1570, 5.146497, 1, 20, 3, 5, 6
56, 1551, 5.219858, 1, 22, 4, 5, 6
57, 1508, 5.299072, 2, 27, 4, 5, 6
58, 1550, 5.202581, 2, 18, 4, 5, 6
59, 1348, 5.989614, 2, 84, 4, 5, 7
60, 1500, 5.439333, 2, 23, 4, 5, 7
61, 1500, 5.418000, 2, 18, 4, 5, 7
62, 1471, 5.571040, 2, 18, 4, 5, 7
63, 1515, 5.370297, 2, 22, 4, 5, 7
64, 1467, 5.498978, 2, 26, 4, 5, 7
65, 1479, 5.470588, 2, 22, 4, 5, 7
66, 1518, 5.396574, 2, 20, 4, 5, 6
67, 1485, 5.495623, 1, 23, 4, 5, 7
68, 1434, 5.689679, 2, 19, 4, 5, 7
69, 1461, 5.539357, 2, 20, 4, 5, 7
70, 1513, 5.447455, 2, 23, 4, 5, 7
71, 1454, 5.504127, 2, 24, 4, 5, 7
72, 1464, 5.422814, 2, 22, 4, 5, 7
73, 1526, 5.309305, 2, 23, 4, 5, 6
74, 1474, 5.584125, 2, 57, 4, 5, 6
75, 1512, 5.327381, 1, 26, 4, 5, 6
76, 1565, 5.180831, 1, 23, 3, 4, 6
77, 1521, 5.314924, 2, 18, 4, 5, 6
78, 1541, 5.265412, 2, 23, 4, 5, 6
79, 1506, 5.376494, 2, 20, 4, 5, 6
80, 1539, 5.217024, 2, 27, 3, 4, 6
81, 1496, 5.431818, 2, 25, 4, 5, 7
82, 1468, 5.450954, 2, 20, 4, 5, 7
83, 1537, 5.244632, 2, 18, 4, 5, 6
84, 1525, 5.318033, 2, 21, 4, 5, 6
85, 1566, 5.187739, 2, 20, 4, 5, 6
86, 1501, 5.326449, 1, 21, 4, 5, 6
87, 1533, 5.262231, 2, 23, 4, 5, 6
88, 1529, 5.364944, 2, 21, 4, 5, 6
89, 1494, 5.421017, 1, 61, 4, 5, 6
90, 1506, 5.312749, 2, 22, 4, 5, 6
91, 1513, 5.336418, 2, 22, 4, 5, 6
92, 1442, 5.696255, 2, 25, 4, 5, 7
93, 1502, 5.369507, 2, 19, 4, 5, 6
94, 1480, 5.524324, 2, 18, 4, 5, 7
95, 1419, 5.668076, 2, 23, 4, 5, 7
96, 1437, 5.686152, 2, 29, 4, 5, 7
97, 1449, 5.563147, 2, 21, 4, 5, 7
98, 1449, 5.531401, 2, 31, 4, 5, 7
99, 1435, 5.729617, 2, 28, 4, 5, 7
100, 4, 5.750000, 4, 11, 4, 4, 7
