time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1451, 5.581668, 2, 22, 4, 5, 7
1, 1499, 5.447632, 2, 19, 4, 5, 7
2, 1505, 5.379402, 2, 21, 4, 5, 6
3, 1507, 5.371599, 2, 25, 4, 5, 6
4, 1472, 5.493886, 2, 20, 4, 5, 7
5, 1512, 5.338624, 2, 19, 4, 5, 6
6, 1499, 5.354903, 2, 24, 4, 5, 6
7, 1506, 5.359230, 2, 21, 4, 5, 6
8, 1551, 5.302386, 2, 23, 4, 5, 6
9, 1535, 5.306840, 2, 23, 4, 5, 6
10, 1492, 5.422252, 2, 27, 4, 5, 7
11, 1509, 5.344599, 2, 17, 4, 5, 6
12, 1458, 5.545267, 1, 28, 4, 5, 7
13, 1542, 5.288586, 1, 21, 4, 5, 6
14, 1488, 5.428091, 2, 17, 4, 5, 7
15, 1523, 5.292186, 2, 21, 4, 5, 6
16, 1533, 5.292890, 2, 22, 4, 5, 6
17, 1538, 5.312744, 2, 21, 4, 5, 6
18, 1549, 5.263396, 1, 24, 4, 5, 6
19, 1484, 5.454852, 2, 22, 4, 5, 7
20, 1507, 5.355674, 2, 19, 4, 5, 6
21, 1474, 5.502714, 2, 34, 4, 5, 7
22, 1482, 5.434548, 2, 18, 4, 5, 7
23, 1468, 5.501362, 2, 25, 4, 5, 7
24, 1512, 5.287698, 2, 22, 3, 5, 6
25, 1438, 5.512517, 2, 24, 4, 5, 7
26, 1519, 5.369980, 2, 18, 4, 5, 6
27, 1548, 5.253230, 2, 23, 4, 5, 6
28, 1442, 5.574896, 1, 20, 4, 5, 7
29, 1458, 5.517147, 2, 23, 4, 5, 7
30, 1528, 5.309555, 1, 22, 4, 5, 6
31, 1450, 5.565517, 2, 25, 4, 5, 7
32, 1523, 5.436638, 2, 20, 4, 5, 7
33, 1550, 5.246452, 2, 33, 4, 5, 6
34, 1514, 5.381770, 2, 20, 4, 5, 7
35, 1476, 5.405149, 2, 20, 4, 5, 6
36, 1514, 5.349406, 2, 25, 4, 5, 6
37, 1500, 5.389333, 2, 23, 4, 5, 6
38, 1440, 5.672917, 1, 22, 4, 5, 7
39, 1457, 5.522306, 2, 20, 4, 5, 7
40, 1515, 5.393399, 2, 20, 4, 5, 6
41, 1334, 6.137931, 1, 55, 4, 5, 7
42, 1398, 5.808298, 1, 26, 4, 5, 7
43, 1547, 5.323853, 2, 20, 4, 5, 6
44, 1481, 5.503714, 1, 19, 4, 5, 7
45, 1504, 5.406915, 1, 24, 4, 5, 6
46, 1498, 5.446595, 2, 22, 4, 5, 7
47, 1461, 5.559206, 2, 26, 4, 5, 7
48, 1461, 5.546886, 2, 23, 4, 5, 7
49, 1450, 5.511724, 1, 29, 4, 5, 7
50, 1427, 5.642607, 2, 18, 4, 5, 7
51, 1454, 5.562586, 2, 20, 4, 5, 7
52, 1402, 5.947932, 2, 30, 4, 5, 7
53, 1344, 6.129464, 2, 28, 4, 5, 7
54, 1351, 5.974833, 2, 23, 4, 5, 7
55, 1300, 6.314615, 2, 39, 4, 5, 7
56, 1314, 6.165145, 2, 21, 4, 5, 7
57, 1352, 6.104290, 2, 22, 4, 5, 7
58, 1305, 6.347893, 2, 22, 4, 6, 8
59, 1229, 6.562246, 2, 88, 4, 5, 8
60, 1295, 6.219305, 2, 35, 4, 6, 7
61, 1326, 6.189291, 1, 23, 4, 5, 7
62, 1341, 6.002983, 1, 26, 4, 5, 7
63, 1369, 6.025566, 2, 21, 4, 5, 7
64, 1399, 5.804861, 1, 25, 4, 5, 7
65, 1448, 5.718923, 2, 23, 4, 5, 7
66, 1468, 5.487057, 2, 23, 4, 5, 7
67, 1472, 5.525815, 2, 22, 4, 5, 7
68, 1523, 5.370322, 2, 20, 4, 5, 6
69, 1526, 5.298165, 1, 22, 4, 5, 6
70, 1533, 5.343118, 1, 23, 4, 5, 6
71, 1470, 5.508163, 2, 24, 4, 5, 7
72, 1499, 5.424283, 2, 24, 4, 5, 7
73, 1474, 5.486431, 1, 28, 4, 5, 6
74, 1443, 5.674290, 2, 28, 4, 5, 7
75, 1388, 5.844380, 1, 55, 4, 5, 7
76, 1410, 5.843972, 2, 22, 4, 5, 7
77, 1155, 7.266667, 2, 56, 5, 6, 9
78, 1388, 5.878963, 2, 21, 4, 5, 7
79, 1371, 6.029905, 2, 20, 4, 5, 7
80, 1421, 5.837438, 2, 16, 4, 5, 7
81, 1415, 5.771731, 2, 21, 4, 5, 7
82, 1420, 5.764789, 2, 26, 4, 5, 7
83, 1418, 5.794076, 2, 20, 4, 5, 7
84, 1358, 6.001473, 2, 20, 4, 5, 7
85, 1387, 5.963951, 2, 22, 4, 5, 7
86, 1439, 5.678249, 2, 24, 4, 5, 7
87, 1407, 5.778252, 2, 24, 4, 5, 7
88, 1446, 5.633472, 2, 23, 4, 5, 7
89, 1466, 5.480900, 2, 21, 4, 5, 7
90, 1446, 5.585062, 2, 19, 4, 5, 7
91, 1426, 5.713184, 2, 57, 4, 5, 7
92, 1488, 5.393145, 2, 21, 4, 5, 6
93, 1478, 5.479026, 1, 33, 4, 5, 7
94, 1507, 5.369608, 2, 26, 4, 5, 6
95, 1487, 5.442502, 2, 19, 4, 5, 6
96, 1515, 5.370957, 2, 19, 4, 5, 6
97, 1492, 5.517426, 2, 26, 4, 5, 7
98, 1453, 5.568479, 2, 22, 4, 5, 7
99, 1444, 5.715374, 2, 21, 4, 5, 7
100, 3, 6.000000, 3, 8, 3, 7, 8
