time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1785, 4.499160, 0, 19, 3, 4, 6
1, 1814, 4.423925, 1, 16, 3, 4, 5
2, 1779, 4.456998, 0, 19, 3, 4, 5
3, 1807, 4.440509, 1, 18, 3, 4, 5
4, 1808, 4.415376, 1, 20, 3, 4, 5
5, 1800, 4.450000, 1, 16, 3, 4, 5
6, 1793, 4.462354, 1, 19, 3, 4, 6
7, 1758, 4.538680, 0, 20, 3, 4, 6
8, 1798, 4.458287, 0, 20, 3, 4, 6
9, 1717, 4.686663, 1, 28, 3, 4, 6
10, 1781, 4.518248, 0, 17, 3, 4, 6
11, 1752, 4.590183, 1, 29, 3, 4, 6
12, 1777, 4.616207, 0, 20, 3, 4, 6
13, 1819, 4.384277, 1, 20, 3, 4, 5
14, 1829, 4.398032, 1, 24, 3, 4, 5
15, 1826, 4.389376, 1, 17, 3, 4, 5
16, 1815, 4.358127, 1, 17, 3, 4, 5
17, 1827, 4.425835, 0, 20, 3, 4, 5
18, 1822, 4.425357, 0, 16, 3, 4, 6
19, 1774, 4.549042, 1, 17, 3, 4, 6
20, 1774, 4.508455, 0, 24, 3, 4, 6
21, 1747, 4.586148, 0, 16, 3, 4, 6
22, 1696, 4.735259, 0, 18, 3, 4, 6
23, 1742, 4.629736, 1, 18, 3, 4, 6
24, 1723, 4.668601, 1, 19, 3, 4, 6
25, 1714, 4.659860, 1, 20, 3, 4, 6
26, 1761, 4.518455, 1, 17, 3, 4, 6
27, 1771, 4.507058, 1, 20, 3, 4, 6
28, 1754, 4.607754, 1, 17, 3, 4, 6
29, 1788, 4.494966, 1, 21, 3, 4, 6
30, 1634, 4.923501, 1, 30, 3, 4, 6
31, 1713, 4.651489, 1, 15, 3, 4, 6
32, 1749, 4.564894, 1, 24, 3, 4, 6
33, 1744, 4.569954, 0, 18, 3, 4, 6
34, 1603, 5.025577, 1, 24, 3, 4, 6
35, 1417, 5.845448, 1, 59, 3, 5, 7
36, 1541, 5.272550, 1, 26, 3, 5, 6
37, 1664, 4.784856, 1, 22, 3, 4, 6
38, 1784, 4.489910, 1, 20, 3, 4, 5
39, 1766, 4.539071, 1, 27, 3, 4, 5
40, 1777, 4.527856, 1, 20, 3, 4, 6
41, 1733, 4.619735, 1, 16, 3, 4, 6
42, 1789, 4.427054, 1, 24, 3, 4, 5
43, 1847, 4.293449, 1, 19, 3, 4, 5
44, 1835, 4.344959, 1, 19, 3, 4, 5
45, 1793, 4.443949, 0, 18, 3, 4, 6
46, 1835, 4.382016, 0, 17, 3, 4, 5
47, 1802, 4.447281, 1, 16, 3, 4, 5
48, 1833, 4.353519, 1, 16, 3, 4, 5
49, 1738, 4.585731, 1, 64, 3, 4, 5
50, 1790, 4.472067, 1, 17, 3, 4, 6
51, 1829, 4.365774, 0, 18, 3, 4, 5
52, 1806, 4.387043, 1, 15, 3, 4, 5
53, 1826, 4.327492, 1, 18, 3, 4, 5
54, 1853, 4.314625, 1, 17, 3, 4, 5
55, 1872, 4.306624, 1, 14, 3, 4, 5
56, 1850, 4.302703, 1, 17, 3, 4, 5
57, 1825, 4.382466, 1, 21, 3, 4, 5
58, 1843, 4.329897, 0, 23, 3, 4, 5
59, 1843, 4.329354, 1, 17, 3, 4, 5
60, 1834, 4.335878, 1, 16, 3, 4, 5
61, 1616, 4.968441, 1, 22, 3, 4, 6
62, 1683, 4.787285, 1, 57, 3, 4, 6
63, 1677, 4.824687, 1, 28, 3, 4, 6
64, 1711, 4.701344, 1, 19, 3, 4, 6
65, 1718, 4.704307, 1, 17, 3, 4, 6
66, 1782, 4.518519, 1, 19, 3, 4, 6
67, 1784, 4.492152, 1, 17, 3, 4, 6
68, 1727, 4.653156, 1, 23, 3, 4, 6
69, 1717, 4.646476, 1, 25, 3, 4, 6
70, 1747, 4.594734, 1, 20, 3, 4, 6
71, 1508, 5.379310, 1, 61, 3, 4, 6
72, 1657, 4.918527, 1, 46, 3, 4, 6
73, 1574, 5.168361, 1, 73, 3, 4, 6
74, 1709, 4.708602, 1, 26, 3, 4, 6
75, 1644, 4.889294, 1, 53, 3, 4, 6
76, 1706, 4.733880, 1, 21, 3, 4, 6
77, 1774, 4.553551, 1, 20, 3, 4, 6
78, 1741, 4.607697, 1, 18, 3, 4, 6
79, 1734, 4.650519, 1, 22, 3, 4, 6
80, 1716, 4.743007, 1, 16, 3, 4, 6
81, 1616, 4.977104, 1, 36, 3, 4, 6
82, 1672, 4.816986, 0, 22, 3, 4, 6
83, 1766, 4.516421, 1, 18, 3, 4, 5
84, 1796, 4.442094, 1, 17, 3, 4, 5
85, 1758, 4.550057, 1, 19, 3, 4, 6
86, 1743, 4.553643, 1, 20, 3, 4, 6
87, 1699, 4.793996, 1, 64, 3, 4, 5
88, 1808, 4.469580, 1, 19, 3, 4, 5
89, 1783, 4.491868, 0, 17, 3, 4, 5
90, 1741, 4.601379, 0, 19, 3, 4, 6
91, 1756, 4.609909, 1, 18, 3, 4, 6
92, 1759, 4.529847, 1, 20, 3, 4, 6
93, 1551, 5.234687, 1, 23, 3, 5, 6
94, 1477, 5.534868, 0, 26, 3, 5, 7
95, 1746, 4.613402, 0, 17, 3, 4, 6
96, 1707, 4.711189, 1, 22, 3, 4, 6
97, 1795, 4.430641, 1, 20, 3, 4, 5
98, 1791, 4.425461, 0, 17, 3, 4, 5
99, 1740, 4.616667, 1, 22, 3, 4, 6
100, 9, 4.888889, 2, 11, 3, 5, 5
