time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1439, 5.667825, 2, 18, 4, 5, 7
1, 1457, 5.481812, 2, 22, 4, 5, 7
2, 1496, 5.483957, 1, 22, 4, 5, 7
3, 1486, 5.495289, 2, 23, 4, 5, 7
4, 1408, 5.867898, 2, 28, 4, 5, 7
5, 1523, 5.390676, 2, 18, 4, 5, 6
6, 1525, 5.390820, 2, 19, 4, 5, 7
7, 1440, 5.634028, 2, 20, 4, 5, 7
8, 1483, 5.510452, 2, 34, 4, 5, 7
9, 1463, 5.542720, 2, 20, 4, 5, 7
10, 1466, 5.532742, 2, 27, 4, 5, 7
11, 1491, 5.437961, 2, 21, 4, 5, 7
12, 1432, 5.677374, 2, 27, 4, 5, 7
13, 1477, 5.482735, 2, 18, 4, 5, 7
14, 1435, 5.570035, 1, 22, 4, 5, 7
15, 1467, 5.537151, 2, 17, 4, 5, 7
16, 1423, 5.732959, 2, 21, 4, 5, 7
17, 1419, 5.681466, 2, 24, 4, 5, 7
18, 1540, 5.273377, 1, 22, 4, 5, 6
19, 1468, 5.602180, 2, 21, 4, 5, 7
20, 1501, 5.407728, 1, 20, 4, 5, 6
21, 1468, 5.512943, 2, 21, 4, 5, 7
22, 1435, 5.597909, 2, 22, 4, 5, 7
23, 1469, 5.478557, 1, 20, 4, 5, 7
24, 1504, 5.525931, 2, 27, 4, 5, 7
25, 1466, 5.560027, 2, 25, 4, 5, 7
26, 1478, 5.516915, 2, 21, 4, 5, 6
27, 1489, 5.505709, 2, 26, 4, 5, 7
28, 1452, 5.556474, 2, 21, 4, 5, 7
29, 1390, 5.784173, 2, 58, 4, 5, 7
30, 1467, 5.495569, 2, 20, 4, 5, 7
31, 1467, 5.483981, 2, 23, 4, 5, 7
32, 1472, 5.432745, 2, 21, 4, 5, 7
33, 1508, 5.405172, 2, 33, 4, 5, 6
34, 1431, 5.656184, 2, 23, 4, 5, 7
35, 1415, 5.732155, 2, 18, 4, 5, 7
36, 1328, 6.109187, 2, 39, 4, 5, 7
37, 1415, 5.725795, 2, 27, 4, 5, 7
38, 1499, 5.372248, 2, 18, 4, 5, 7
39, 1477, 5.401490, 2, 23, 4, 5, 7
40, 1437, 5.631872, 2, 22, 4, 5, 7
41, 1495, 5.387960, 2, 30, 4, 5, 6
42, 1487, 5.505044, 2, 23, 4, 5, 7
43, 1198, 6.977462, 0, 52, 4, 6, 8
44, 1416, 5.813559, 2, 26, 4, 5, 7
45, 1446, 5.639696, 2, 25, 4, 5, 7
46, 1358, 6.097202, 2, 26, 4, 5, 7
47, 1371, 5.948213, 2, 24, 4, 5, 7
48, 1315, 6.239544, 2, 22, 4, 5, 7
49, 1265, 6.520949, 2, 26, 4, 6, 8
50, 1244, 6.532154, 2, 24, 4, 6, 8
51, 1267, 6.438832, 2, 23, 4, 6, 8
52, 1225, 6.665306, 2, 36, 5, 6, 8
53, 1214, 6.804778, 2, 27, 5, 6, 8
54, 1247, 6.550120, 2, 25, 5, 6, 8
55, 1258, 6.527027, 2, 21, 4, 6, 8
56, 1224, 6.709150, 2, 38, 5, 6, 8
57, 1235, 6.541700, 3, 26, 4, 6, 8
58, 1388, 5.948847, 2, 22, 4, 5, 7
59, 1333, 6.116279, 2, 32, 4, 5, 7
60, 11, 5.181818, 4, 7, 4, 5, 6
