time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2001, 3.953023, 1, 21, 3, 4, 5
1, 2043, 3.894763, 0, 17, 3, 3, 5
2, 2014, 3.958788, 0, 14, 3, 4, 5
3, 1954, 4.068066, 0, 14, 3, 4, 5
4, 1964, 3.994908, 1, 15, 3, 4, 5
5, 1920, 4.113021, 0, 18, 3, 4, 5
6, 1946, 4.140288, 1, 22, 3, 4, 5
7, 2032, 3.873524, 1, 14, 3, 3, 5
8, 2084, 3.804702, 0, 19, 2, 3, 5
9, 2032, 3.887303, 0, 16, 2, 3, 5
10, 1990, 3.930653, 0, 15, 3, 4, 5
11, 2013, 3.948833, 0, 15, 3, 3, 5
12, 1938, 4.110939, 1, 15, 3, 4, 5
13, 1960, 4.026531, 1, 19, 3, 4, 5
14, 1973, 3.982767, 0, 17, 3, 4, 5
15, 1598, 5.042553, 1, 32, 3, 4, 6
16, 1657, 4.940857, 1, 24, 3, 4, 6
17, 1360, 6.016912, 0, 41, 3, 5, 7
18, 1398, 5.869814, 0, 60, 3, 5, 7
19, 1409, 5.754436, 1, 38, 3, 5, 7
20, 1133, 7.344219, 0, 65, 4, 6, 9
21, 1200, 6.921667, 1, 38, 4, 6, 9
22, 1430, 5.748252, 0, 49, 3, 5, 7
23, 1825, 4.356712, 0, 18, 3, 4, 5
24, 1837, 4.328253, 0, 18, 3, 4, 5
25, 1902, 4.149842, 0, 19, 3, 4, 5
26, 1889, 4.209105, 0, 22, 3, 4, 5
27, 1847, 4.277206, 0, 22, 3, 4, 5
28, 1731, 4.640670, 0, 94, 3, 4, 5
29, 1897, 4.221929, 0, 17, 3, 4, 5
30, 1859, 4.287251, 0, 20, 3, 4, 5
31, 1813, 4.433536, 0, 19, 3, 4, 6
32, 1890, 4.181481, 0, 15, 3, 4, 5
33, 1880, 4.260638, 0, 18, 3, 4, 5
34, 1621, 4.890808, 0, 137, 3, 4, 5
35, 1933, 4.175892, 0, 16, 3, 4, 5
36, 1814, 4.443771, 0, 17, 3, 4, 5
37, 1750, 4.590857, 0, 20, 3, 4, 6
38, 1634, 4.979804, 1, 33, 3, 4, 6
39, 1601, 5.005621, 1, 35, 3, 4, 6
40, 1622, 4.984587, 1, 19, 3, 4, 6
41, 1565, 5.205112, 1, 20, 3, 5, 6
42, 1620, 5.011111, 1, 17, 3, 4, 6
43, 1637, 5.020770, 1, 22, 3, 4, 6
44, 1615, 4.987616, 0, 24, 3, 4, 6
45, 1721, 4.604300, 1, 15, 3, 4, 6
46, 1706, 4.735053, 1, 19, 3, 4, 6
47, 1784, 4.493834, 0, 21, 3, 4, 6
48, 1655, 4.902115, 0, 62, 3, 4, 6
49, 1722, 4.606272, 0, 30, 3, 4, 6
50, 1954, 4.076766, 0, 14, 3, 4, 5
51, 1889, 4.202753, 1, 17, 3, 4, 5
52, 1879, 4.200106, 0, 22, 3, 4, 5
53, 1990, 3.988945, 0, 18, 3, 3, 5
54, 2089, 3.798947, 0, 12, 2, 3, 5
55, 2041, 3.860853, 0, 14, 2, 3, 5
56, 2034, 3.859882, 0, 18, 2, 3, 5
57, 2074, 3.805689, 0, 18, 2, 3, 5
58, 2034, 3.886431, 0, 16, 3, 3, 5
59, 2038, 3.909715, 0, 18, 3, 3, 5
