time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1476, 5.458672, 2, 20, 4, 5, 6
1, 1535, 5.256026, 2, 17, 4, 5, 6
2, 1579, 5.138062, 2, 18, 4, 5, 6
3, 1569, 5.151689, 2, 20, 4, 4, 6
4, 1534, 5.194263, 2, 25, 4, 5, 6
5, 1594, 5.088457, 2, 19, 3, 4, 6
6, 1545, 5.173463, 1, 27, 3, 4, 6
7, 1532, 5.254569, 2, 18, 3, 5, 6
8, 1468, 5.517030, 2, 21, 4, 5, 7
9, 1477, 5.440758, 2, 21, 4, 5, 6
10, 1530, 5.263399, 1, 21, 4, 5, 6
11, 1539, 5.224172, 2, 21, 4, 5, 6
12, 1562, 5.187580, 1, 18, 4, 5, 6
13, 1533, 5.233529, 1, 22, 4, 5, 6
14, 1492, 5.433646, 2, 22, 4, 5, 6
15, 1527, 5.237066, 2, 26, 4, 5, 6
16, 1529, 5.265533, 2, 18, 4, 5, 6
17, 1580, 5.168354, 1, 22, 4, 5, 6
18, 1559, 5.159076, 2, 24, 4, 5, 6
19, 1563, 5.175304, 2, 23, 4, 5, 6
20, 1566, 5.180077, 2, 21, 4, 5, 6
21, 1478, 5.474966, 2, 22, 4, 5, 6
22, 1541, 5.371836, 2, 25, 4, 5, 6
23, 1515, 5.285809, 2, 18, 4, 5, 6
24, 1534, 5.350717, 2, 22, 4, 5, 6
25, 1563, 5.171465, 2, 20, 4, 5, 6
26, 1577, 5.170577, 2, 19, 4, 5, 6
27, 1498, 5.301736, 1, 21, 4, 5, 6
28, 1591, 5.018228, 2, 24, 3, 4, 6
29, 1506, 5.403718, 2, 21, 4, 5, 6
30, 1505, 5.390698, 2, 24, 4, 5, 6
31, 1515, 5.320792, 2, 29, 4, 5, 6
32, 1494, 5.348059, 2, 23, 4, 5, 6
33, 1483, 5.402562, 2, 19, 4, 5, 6
34, 1538, 5.316645, 2, 19, 4, 5, 6
35, 1508, 5.316976, 2, 22, 4, 5, 6
36, 1514, 5.288639, 2, 24, 4, 5, 6
37, 1379, 5.902828, 2, 28, 4, 5, 7
38, 1326, 6.177225, 2, 26, 4, 5, 7
39, 1307, 6.289977, 2, 25, 4, 6, 8
40, 1239, 6.533495, 1, 30, 4, 6, 8
41, 1034, 7.918762, 0, 63, 5, 7, 9
42, 1130, 7.187611, 0, 37, 5, 6, 9
43, 1210, 6.919835, 2, 30, 5, 6, 8
44, 1203, 6.862843, 2, 22, 5, 6, 8
45, 1146, 7.190227, 3, 29, 5, 6, 9
46, 1252, 6.671725, 2, 29, 5, 6, 8
47, 1203, 6.794680, 2, 24, 5, 6, 8
48, 1285, 6.337743, 2, 24, 4, 6, 8
49, 1388, 5.964697, 2, 28, 4, 5, 7
50, 1338, 6.162930, 2, 23, 4, 6, 7
51, 1371, 5.892050, 2, 26, 4, 5, 7
52, 1476, 5.485095, 2, 21, 4, 5, 6
53, 1516, 5.408311, 2, 23, 4, 5, 6
54, 1497, 5.467602, 1, 23, 4, 5, 7
55, 1472, 5.489130, 1, 24, 4, 5, 6
56, 1543, 5.274789, 2, 21, 4, 5, 6
57, 1526, 5.281127, 2, 27, 4, 5, 6
58, 1501, 5.348434, 2, 27, 4, 5, 6
59, 1393, 5.820531, 2, 79, 4, 5, 6
60, 1482, 5.460864, 2, 29, 4, 5, 7
61, 1475, 5.490169, 2, 21, 4, 5, 7
62, 1484, 5.527628, 2, 21, 4, 5, 7
63, 1456, 5.628434, 2, 22, 4, 5, 7
64, 1465, 5.471672, 2, 18, 4, 5, 6
65, 1421, 5.674877, 2, 26, 4, 5, 7
66, 1446, 5.626556, 2, 20, 4, 5, 7
67, 1419, 5.751233, 2, 23, 4, 5, 7
68, 1306, 6.223583, 2, 37, 4, 5, 7
69, 1453, 5.583620, 2, 25, 4, 5, 7
70, 1415, 5.719435, 2, 23, 4, 5, 7
71, 1446, 5.587828, 2, 27, 4, 5, 7
72, 1416, 5.756356, 2, 22, 4, 5, 7
73, 1443, 5.684685, 2, 27, 4, 5, 7
74, 1421, 5.715693, 2, 23, 4, 5, 7
75, 1341, 6.155108, 2, 58, 4, 5, 7
76, 1415, 5.724382, 2, 24, 4, 5, 7
77, 1450, 5.568276, 2, 19, 4, 5, 7
78, 1468, 5.519755, 2, 20, 4, 5, 7
79, 1460, 5.550685, 2, 22, 4, 5, 7
80, 1468, 5.514986, 2, 22, 4, 5, 7
81, 1475, 5.449492, 2, 20, 4, 5, 6
82, 1497, 5.414830, 2, 21, 4, 5, 6
83, 1507, 5.408096, 2, 22, 4, 5, 6
84, 1494, 5.454485, 2, 19, 4, 5, 6
85, 1524, 5.383202, 2, 18, 4, 5, 6
86, 1451, 5.541006, 2, 24, 4, 5, 7
87, 1485, 5.444444, 2, 24, 4, 5, 6
88, 1501, 5.372418, 2, 25, 4, 5, 6
89, 1498, 5.338451, 1, 20, 4, 5, 6
90, 1494, 5.417001, 2, 21, 4, 5, 6
91, 1463, 5.652085, 2, 58, 4, 5, 6
92, 1489, 5.475487, 2, 24, 4, 5, 7
93, 1417, 5.659139, 2, 24, 4, 5, 7
94, 1483, 5.529332, 2, 29, 4, 5, 6
95, 1451, 5.584425, 2, 29, 4, 5, 7
96, 1450, 5.600000, 2, 17, 4, 5, 7
97, 1397, 5.802434, 2, 23, 4, 5, 7
98, 1419, 5.721635, 2, 20, 4, 5, 7
99, 1431, 5.699511, 2, 21, 4, 5, 7
100, 1408, 5.737926, 2, 24, 4, 5, 7
101, 1464, 5.657787, 2, 22, 4, 5, 7
102, 1454, 5.609354, 2, 21, 4, 5, 7
103, 1478, 5.518945, 2, 21, 4, 5, 7
104, 1467, 5.512611, 2, 29, 4, 5, 6
105, 1347, 5.945805, 2, 43, 4, 5, 7
106, 1316, 6.202128, 2, 71, 4, 5, 7
107, 1500, 5.391333, 2, 29, 4, 5, 6
108, 1467, 5.539196, 2, 24, 4, 5, 7
109, 1568, 5.151148, 2, 21, 4, 4, 6
110, 1539, 5.386615, 2, 22, 4, 5, 6
111, 1460, 5.554795, 2, 18, 4, 5, 7
112, 1489, 5.423103, 2, 23, 4, 5, 6
113, 1468, 5.506812, 2, 16, 4, 5, 7
114, 1470, 5.510884, 2, 21, 4, 5, 7
115, 1473, 5.568907, 2, 22, 4, 5, 7
116, 1470, 5.526531, 2, 21, 4, 5, 7
117, 1434, 5.635983, 2, 20, 4, 5, 7
118, 1432, 5.636173, 2, 22, 4, 5, 7
119, 1416, 5.660311, 2, 23, 4, 5, 7
120, 1351, 6.055514, 2, 73, 4, 5, 7
121, 1421, 5.711471, 2, 22, 4, 5, 7
122, 1477, 5.536222, 2, 29, 4, 5, 7
123, 1337, 6.125654, 1, 25, 4, 5, 7
124, 1380, 5.869565, 2, 24, 4, 5, 7
125, 1426, 5.789621, 2, 24, 4, 5, 7
126, 1352, 5.992604, 2, 26, 4, 5, 7
127, 1375, 5.842909, 2, 28, 4, 5, 7
128, 1357, 6.057480, 2, 22, 4, 5, 7
129, 1401, 5.812277, 2, 26, 4, 5, 7
130, 1454, 5.654058, 2, 26, 4, 5, 7
131, 1468, 5.564714, 2, 21, 4, 5, 7
132, 1421, 5.753695, 2, 25, 4, 5, 7
133, 1468, 5.540872, 1, 21, 4, 5, 7
134, 1476, 5.497290, 2, 19, 4, 5, 7
135, 1428, 5.598739, 2, 23, 4, 5, 7
136, 1357, 6.018423, 2, 79, 4, 5, 7
137, 1464, 5.523907, 1, 23, 4, 5, 7
138, 1431, 5.672257, 1, 21, 4, 5, 7
139, 1365, 5.917216, 2, 37, 4, 5, 7
140, 1473, 5.484725, 2, 26, 4, 5, 6
141, 1466, 5.504093, 2, 22, 4, 5, 7
142, 1511, 5.420251, 2, 21, 4, 5, 6
143, 1484, 5.456199, 1, 22, 4, 5, 6
144, 1505, 5.499003, 2, 23, 4, 5, 7
145, 1459, 5.475668, 1, 25, 4, 5, 6
146, 1447, 5.546648, 1, 18, 4, 5, 7
147, 1463, 5.537936, 1, 22, 4, 5, 7
148, 1437, 5.643702, 2, 25, 4, 5, 7
149, 1345, 6.054275, 2, 88, 4, 5, 7
150, 1439, 5.642113, 2, 21, 4, 5, 7
151, 1440, 5.647917, 2, 21, 4, 5, 7
152, 1460, 5.643151, 2, 21, 4, 5, 7
153, 1465, 5.615700, 2, 21, 4, 5, 7
154, 1435, 5.707317, 2, 24, 4, 5, 7
155, 1455, 5.575258, 2, 20, 4, 5, 7
156, 1432, 5.622207, 2, 21, 4, 5, 7
157, 1381, 5.811731, 2, 27, 4, 5, 7
158, 1393, 5.826274, 2, 34, 4, 5, 7
159, 1451, 5.628532, 2, 18, 4, 5, 7
160, 1435, 5.734495, 2, 22, 4, 5, 7
161, 1407, 5.772566, 2, 29, 4, 5, 7
162, 1434, 5.646444, 2, 22, 4, 5, 7
163, 1343, 6.032018, 2, 86, 4, 5, 7
164, 1509, 5.414182, 2, 22, 4, 5, 6
165, 1482, 5.465587, 2, 19, 4, 5, 7
166, 1504, 5.422207, 2, 23, 4, 5, 7
167, 1492, 5.415550, 1, 21, 4, 5, 6
168, 1507, 5.382880, 2, 21, 4, 5, 6
