time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1453, 5.586373, 2, 18, 4, 5, 7
1, 1503, 5.437126, 2, 21, 4, 5, 7
2, 1436, 5.639276, 2, 25, 4, 5, 7
3, 1470, 5.568027, 1, 21, 4, 5, 7
4, 1527, 5.255403, 1, 21, 4, 5, 6
5, 1512, 5.331349, 2, 19, 4, 5, 6
6, 1522, 5.304862, 2, 22, 4, 5, 6
7, 1516, 5.405673, 2, 19, 4, 5, 7
8, 1494, 5.402945, 2, 21, 4, 5, 7
9, 1543, 5.290992, 2, 24, 4, 5, 6
10, 1503, 5.424484, 2, 24, 4, 5, 6
11, 1512, 5.451058, 2, 19, 4, 5, 6
12, 1511, 5.438782, 2, 17, 4, 5, 7
13, 1484, 5.476415, 2, 22, 4, 5, 7
14, 1488, 5.522177, 1, 19, 4, 5, 7
15, 1443, 5.606376, 2, 22, 4, 5, 7
16, 1488, 5.472446, 2, 19, 4, 5, 7
17, 1525, 5.300328, 2, 20, 4, 5, 6
18, 1468, 5.477520, 2, 23, 4, 5, 7
19, 1534, 5.265319, 2, 23, 4, 5, 6
20, 1456, 5.585165, 2, 21, 4, 5, 7
21, 1379, 5.852067, 2, 26, 4, 5, 7
22, 1531, 5.326584, 2, 26, 4, 5, 6
23, 1438, 5.686370, 2, 22, 4, 5, 7
24, 1452, 5.574380, 1, 22, 4, 5, 7
25, 1469, 5.553438, 2, 20, 4, 5, 7
26, 1530, 5.331373, 2, 19, 4, 5, 6
27, 1426, 5.743338, 2, 18, 4, 5, 7
28, 1384, 5.929191, 2, 23, 4, 5, 7
29, 1305, 6.265900, 2, 21, 4, 5, 7
30, 1226, 6.734910, 2, 24, 5, 6, 8
31, 1236, 6.703074, 3, 22, 5, 6, 8
32, 1174, 7.015332, 3, 27, 5, 6, 8
33, 1059, 7.631728, 2, 23, 5, 7, 9
34, 1105, 7.515837, 3, 36, 5, 7, 9
35, 1148, 7.205575, 2, 29, 5, 6, 9
36, 1155, 7.161039, 2, 22, 5, 6, 9
37, 1138, 7.316344, 3, 30, 5, 7, 9
38, 1170, 7.156410, 2, 28, 5, 6, 9
39, 1204, 6.855482, 2, 24, 5, 6, 8
40, 1300, 6.355385, 1, 23, 4, 6, 8
41, 1299, 6.277136, 2, 24, 4, 6, 8
42, 1328, 6.138554, 2, 21, 4, 5, 7
43, 1385, 5.913357, 2, 27, 4, 5, 7
44, 1297, 6.338473, 2, 58, 4, 5, 7
45, 1158, 7.088946, 2, 30, 5, 6, 8
46, 1382, 5.740232, 1, 21, 4, 5, 7
47, 1410, 5.790071, 2, 25, 4, 5, 7
48, 1413, 5.707714, 2, 25, 4, 5, 7
49, 1415, 5.739223, 2, 21, 4, 5, 7
50, 1414, 5.785007, 2, 19, 4, 5, 7
51, 1376, 5.923692, 2, 26, 4, 5, 7
52, 1464, 5.614754, 2, 23, 4, 5, 7
53, 1429, 5.645906, 2, 24, 4, 5, 7
54, 1427, 5.723896, 2, 22, 4, 5, 7
55, 1447, 5.626814, 2, 24, 4, 5, 7
56, 1400, 5.825714, 2, 19, 4, 5, 7
57, 1410, 5.804255, 2, 23, 4, 5, 7
58, 1362, 5.926579, 2, 20, 4, 5, 7
59, 1395, 5.883871, 2, 25, 4, 5, 7
60, 1397, 5.852541, 2, 25, 4, 5, 7
61, 1415, 5.797173, 2, 24, 4, 5, 7
62, 1263, 6.367379, 1, 75, 4, 5, 7
63, 1371, 5.963530, 2, 26, 4, 5, 7
64, 1355, 6.050185, 2, 23, 4, 5, 7
65, 1243, 6.576830, 2, 51, 4, 6, 8
66, 1392, 5.927443, 2, 27, 4, 5, 7
67, 1318, 6.159332, 2, 24, 4, 5, 7
68, 1321, 6.135503, 2, 21, 4, 5, 7
69, 1378, 6.000000, 2, 23, 4, 5, 7
70, 1345, 6.027509, 2, 21, 4, 5, 7
71, 1376, 6.000727, 2, 31, 4, 5, 7
72, 1313, 6.180503, 2, 44, 4, 5, 7
73, 1434, 5.674338, 2, 31, 4, 5, 7
74, 1419, 5.756166, 2, 20, 4, 5, 7
75, 1463, 5.606288, 2, 21, 4, 5, 7
76, 1407, 5.732054, 2, 25, 4, 5, 7
77, 1404, 5.768519, 2, 23, 4, 5, 7
78, 1407, 5.784648, 2, 26, 4, 5, 7
79, 1352, 6.085059, 2, 63, 4, 5, 7
80, 1435, 5.717770, 2, 21, 4, 5, 7
81, 1328, 6.157380, 2, 21, 4, 5, 8
82, 1398, 5.905579, 2, 34, 4, 5, 7
83, 1387, 5.959625, 2, 24, 4, 5, 7
84, 1398, 5.796853, 2, 21, 4, 5, 7
85, 1411, 5.791637, 1, 24, 4, 5, 7
86, 1466, 5.624147, 2, 26, 4, 5, 7
87, 1438, 5.655772, 2, 21, 4, 5, 7
88, 1412, 5.765581, 2, 29, 4, 5, 7
89, 1399, 5.836312, 1, 18, 4, 5, 7
90, 1390, 5.864748, 2, 24, 4, 5, 7
91, 1436, 5.720752, 2, 19, 4, 5, 7
92, 1389, 5.907127, 2, 23, 4, 5, 7
93, 1345, 6.011896, 1, 24, 4, 5, 7
94, 1355, 6.081919, 2, 25, 4, 5, 7
95, 1400, 5.872143, 2, 20, 4, 5, 7
96, 1312, 6.298780, 2, 65, 4, 5, 7
97, 1388, 5.817723, 2, 22, 4, 5, 7
98, 1354, 6.065731, 2, 27, 4, 5, 7
99, 1341, 5.971663, 2, 21, 4, 5, 7
100, 1369, 5.899196, 2, 28, 4, 5, 7
101, 1411, 5.797307, 2, 23, 4, 5, 7
102, 1409, 5.854507, 2, 20, 4, 5, 7
103, 1406, 5.886913, 2, 26, 4, 5, 7
104, 1375, 5.805818, 2, 21, 4, 5, 7
105, 1432, 5.713687, 2, 21, 4, 5, 7
106, 1461, 5.594114, 2, 21, 4, 5, 7
107, 1413, 5.686483, 2, 20, 4, 5, 7
108, 1445, 5.636678, 2, 24, 4, 5, 7
109, 1440, 5.656944, 2, 21, 4, 5, 7
110, 1383, 5.832249, 2, 28, 4, 5, 7
111, 1246, 6.634831, 2, 69, 4, 5, 8
112, 1405, 5.893950, 2, 24, 4, 5, 7
113, 1433, 5.723657, 2, 20, 4, 5, 7
114, 1394, 5.857963, 2, 27, 4, 5, 7
115, 1392, 5.802443, 2, 22, 4, 5, 7
116, 1382, 5.862518, 2, 24, 4, 5, 7
117, 1371, 5.945295, 2, 19, 4, 5, 7
118, 1387, 5.813987, 2, 28, 4, 5, 7
119, 1406, 5.855619, 2, 23, 4, 5, 7
120, 1420, 5.854930, 2, 23, 4, 5, 7
121, 1356, 5.960914, 2, 26, 4, 5, 7
122, 1340, 6.084328, 2, 24, 4, 5, 7
123, 1355, 6.028782, 2, 22, 4, 5, 7
124, 1377, 5.999274, 2, 25, 4, 5, 7
125, 1368, 6.002193, 2, 23, 4, 5, 7
126, 1412, 5.806657, 2, 19, 4, 5, 7
127, 1285, 6.449805, 2, 69, 4, 5, 7
128, 1378, 5.930334, 2, 23, 4, 5, 7
129, 1404, 5.841880, 2, 24, 4, 5, 7
130, 1332, 6.048799, 2, 22, 4, 5, 7
131, 1383, 5.875633, 2, 20, 4, 5, 7
132, 1401, 5.828694, 2, 29, 4, 5, 7
133, 1391, 5.838965, 2, 23, 4, 5, 7
134, 1368, 6.070906, 2, 27, 4, 5, 7
135, 1430, 5.830769, 2, 19, 4, 5, 7
136, 1404, 5.769943, 2, 23, 4, 5, 7
137, 1416, 5.721045, 2, 22, 4, 5, 7
138, 1419, 5.738548, 2, 20, 4, 5, 7
139, 1430, 5.638462, 2, 25, 4, 5, 7
140, 1414, 5.794201, 2, 24, 4, 5, 7
141, 1392, 5.987787, 2, 25, 4, 5, 7
142, 1299, 6.202463, 2, 86, 4, 5, 7
143, 1328, 6.029367, 2, 25, 4, 5, 7
144, 1388, 5.868876, 2, 21, 4, 5, 7
145, 1361, 5.996326, 2, 31, 4, 5, 7
146, 1333, 6.078770, 2, 21, 4, 5, 7
147, 1362, 6.008076, 2, 25, 4, 5, 7
148, 1119, 7.483467, 2, 41, 5, 6, 9
149, 1145, 7.151092, 2, 36, 5, 6, 9
150, 1361, 6.064658, 2, 21, 4, 5, 7
151, 1324, 6.237160, 2, 25, 4, 5, 7
152, 1333, 6.201800, 2, 23, 4, 6, 7
