time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1559, 5.202694, 2, 25, 4, 5, 6
1, 1463, 5.488722, 2, 19, 4, 5, 7
2, 1532, 5.244125, 2, 18, 4, 5, 6
3, 1547, 5.230769, 2, 24, 4, 5, 6
4, 1561, 5.157591, 1, 19, 4, 5, 6
5, 1621, 5.033930, 2, 17, 3, 4, 6
6, 1616, 4.952351, 2, 15, 3, 4, 6
7, 1611, 5.008690, 1, 20, 3, 4, 6
8, 1550, 5.180000, 1, 20, 4, 5, 6
9, 1541, 5.279040, 2, 21, 4, 5, 6
10, 1463, 5.660287, 2, 29, 4, 5, 7
11, 1501, 5.385077, 2, 23, 4, 5, 6
12, 1536, 5.236979, 2, 19, 4, 5, 6
13, 1564, 5.117008, 2, 25, 3, 4, 6
14, 1539, 5.261209, 1, 28, 4, 5, 6
15, 1528, 5.267670, 2, 18, 4, 5, 6
16, 1549, 5.099419, 2, 20, 4, 4, 6
17, 1582, 5.144753, 1, 17, 3, 5, 6
18, 1343, 6.059568, 1, 29, 4, 5, 7
19, 1470, 5.556463, 2, 31, 4, 5, 7
20, 1457, 5.470830, 2, 26, 4, 5, 7
21, 1555, 5.191640, 1, 22, 4, 5, 6
22, 1586, 5.099622, 1, 17, 4, 4, 6
23, 1562, 5.140845, 1, 23, 4, 5, 6
24, 1589, 5.117055, 2, 17, 4, 4, 6
25, 1517, 5.337508, 2, 17, 4, 5, 6
26, 1570, 5.147134, 2, 23, 4, 5, 6
27, 1588, 5.047229, 2, 18, 3, 4, 6
28, 1549, 5.198838, 1, 21, 4, 5, 6
29, 1543, 5.243033, 2, 23, 4, 5, 6
30, 1553, 5.283323, 2, 19, 4, 5, 6
31, 1528, 5.302356, 2, 19, 4, 5, 6
32, 1454, 5.548143, 2, 18, 4, 5, 7
33, 1373, 5.898034, 1, 23, 4, 5, 7
34, 1274, 6.553375, 2, 23, 4, 6, 8
35, 1128, 7.348404, 2, 28, 5, 7, 9
36, 1195, 6.907113, 2, 30, 5, 6, 8
37, 1270, 6.444094, 2, 28, 4, 6, 8
38, 1219, 6.698113, 2, 24, 4, 6, 8
39, 1180, 7.007627, 2, 33, 5, 6, 8
40, 1184, 6.921453, 2, 30, 5, 6, 8
41, 1232, 6.730519, 2, 22, 5, 6, 8
42, 1101, 7.554042, 2, 68, 5, 6, 8
43, 1126, 7.351687, 1, 33, 5, 6, 9
44, 1304, 6.300613, 2, 21, 4, 6, 8
45, 1274, 6.385400, 2, 24, 4, 6, 8
46, 1305, 6.203831, 2, 22, 4, 5, 7
47, 1397, 5.758769, 2, 22, 4, 5, 7
48, 1421, 5.686840, 2, 24, 4, 5, 7
49, 1431, 5.684137, 2, 32, 4, 5, 7
50, 1477, 5.522004, 1, 29, 4, 5, 7
51, 1430, 5.665035, 2, 28, 4, 5, 7
52, 1437, 5.709812, 2, 20, 4, 5, 7
53, 1431, 5.682041, 2, 22, 4, 5, 7
54, 1442, 5.580444, 2, 21, 4, 5, 7
55, 1490, 5.423490, 2, 21, 4, 5, 7
56, 1431, 5.746331, 2, 24, 4, 5, 7
57, 1425, 5.715789, 2, 24, 4, 5, 7
58, 1405, 5.825623, 2, 25, 4, 5, 7
59, 1415, 5.763251, 2, 21, 4, 5, 7
60, 1298, 6.157935, 1, 82, 4, 5, 7
61, 1417, 5.769231, 2, 29, 4, 5, 7
