time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1483, 5.517869, 2, 26, 4, 5, 7
1, 1493, 5.441393, 2, 23, 4, 5, 7
2, 1490, 5.424161, 1, 25, 4, 5, 7
3, 1482, 5.470310, 2, 24, 4, 5, 7
4, 1537, 5.302537, 2, 18, 4, 5, 6
5, 1432, 5.567039, 2, 29, 4, 5, 7
6, 1508, 5.395889, 2, 27, 4, 5, 6
7, 1510, 5.344371, 2, 20, 4, 5, 7
8, 1501, 5.310460, 2, 21, 4, 5, 6
9, 1488, 5.385753, 2, 23, 4, 5, 6
10, 1463, 5.542037, 2, 20, 4, 5, 7
11, 1435, 5.611150, 2, 21, 4, 5, 7
12, 1489, 5.429819, 1, 26, 4, 5, 6
13, 1462, 5.593707, 2, 30, 4, 5, 7
14, 1508, 5.388594, 1, 19, 4, 5, 6
15, 1529, 5.303466, 2, 17, 4, 5, 6
16, 1537, 5.343526, 2, 18, 4, 5, 6
17, 1496, 5.504011, 2, 19, 4, 5, 6
18, 1446, 5.555325, 2, 21, 4, 5, 7
19, 1448, 5.533149, 2, 20, 4, 5, 7
20, 1452, 5.561295, 2, 24, 4, 5, 7
21, 1374, 5.884279, 2, 27, 4, 5, 7
22, 1519, 5.348255, 1, 21, 4, 5, 6
23, 1549, 5.235636, 1, 26, 4, 5, 6
24, 1519, 5.333772, 2, 22, 4, 5, 6
25, 1496, 5.442513, 2, 22, 4, 5, 7
26, 1419, 5.649753, 2, 23, 4, 5, 7
27, 1458, 5.490398, 2, 19, 4, 5, 7
28, 1496, 5.498663, 2, 20, 4, 5, 7
29, 1483, 5.394471, 2, 25, 4, 5, 6
30, 1534, 5.280313, 2, 24, 4, 5, 6
31, 1497, 5.353373, 2, 25, 4, 5, 6
32, 1545, 5.213592, 2, 20, 4, 5, 6
33, 1515, 5.395380, 2, 22, 4, 5, 7
34, 1477, 5.519296, 2, 23, 4, 5, 7
35, 1493, 5.423309, 2, 25, 4, 5, 6
36, 1489, 5.504365, 2, 19, 4, 5, 7
37, 1463, 5.530417, 2, 23, 4, 5, 7
38, 1510, 5.329139, 2, 25, 4, 5, 6
39, 1462, 5.529412, 2, 24, 4, 5, 7
40, 1558, 5.268935, 2, 20, 4, 5, 6
41, 1466, 5.550477, 2, 20, 4, 5, 7
42, 1389, 5.895608, 2, 56, 4, 5, 7
43, 1148, 7.147213, 1, 27, 5, 6, 8
44, 1345, 6.048327, 2, 21, 4, 5, 7
45, 1427, 5.723896, 2, 26, 4, 5, 7
46, 1412, 5.881020, 2, 18, 4, 5, 7
47, 1371, 5.938731, 2, 23, 4, 5, 7
48, 884, 9.754525, 1, 144, 5, 7, 10
49, 1252, 6.463259, 2, 42, 4, 5, 8
50, 1215, 6.804938, 2, 34, 4, 6, 8
51, 1233, 6.746959, 2, 35, 4, 6, 8
52, 1319, 6.191054, 2, 25, 4, 5, 7
53, 1323, 6.158730, 2, 25, 4, 5, 7
54, 1319, 6.194845, 2, 20, 4, 5, 8
55, 1349, 6.031875, 2, 23, 4, 5, 7
56, 1374, 5.873362, 2, 24, 4, 5, 7
57, 1398, 5.827611, 2, 25, 4, 5, 7
58, 1271, 6.449253, 2, 32, 4, 6, 8
59, 1285, 6.350973, 2, 36, 4, 5, 7
60, 1399, 5.864189, 2, 27, 4, 5, 7
61, 1212, 6.772277, 2, 31, 4, 6, 8
62, 1327, 6.244913, 2, 81, 4, 5, 7
63, 1425, 5.707368, 2, 21, 4, 5, 7
64, 1456, 5.642857, 1, 25, 4, 5, 7
65, 1476, 5.482385, 2, 25, 4, 5, 7
66, 1498, 5.383845, 2, 18, 4, 5, 7
67, 1448, 5.602210, 1, 21, 4, 5, 7
68, 1454, 5.595598, 2, 19, 4, 5, 7
69, 1463, 5.630212, 2, 21, 4, 5, 7
70, 1357, 5.979366, 1, 23, 4, 5, 7
71, 1366, 5.974378, 2, 24, 4, 5, 7
72, 1349, 6.060786, 2, 27, 4, 5, 7
73, 1381, 5.934106, 2, 20, 4, 5, 7
74, 1418, 5.787729, 2, 22, 4, 5, 7
75, 1298, 6.270416, 2, 24, 4, 6, 8
76, 1378, 5.996372, 2, 22, 4, 5, 7
77, 1369, 6.022644, 2, 19, 4, 5, 7
