time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1530, 5.312418, 2, 20, 4, 5, 6
1, 1600, 5.051875, 2, 19, 3, 4, 6
2, 1493, 5.369725, 2, 28, 4, 5, 6
3, 1424, 5.709270, 2, 46, 4, 5, 7
4, 1542, 5.161479, 2, 20, 4, 5, 6
5, 1532, 5.350522, 2, 20, 4, 5, 6
6, 1538, 5.284785, 1, 24, 4, 5, 6
7, 1501, 5.361093, 2, 18, 4, 5, 6
8, 1598, 5.141427, 1, 18, 4, 5, 6
9, 1479, 5.349561, 2, 23, 3, 4, 6
10, 1548, 5.239018, 2, 16, 4, 5, 6
11, 1553, 5.217643, 2, 21, 4, 5, 6
12, 1556, 5.229434, 2, 22, 4, 5, 6
13, 1557, 5.156712, 2, 19, 4, 5, 6
14, 1534, 5.196219, 1, 22, 4, 5, 6
15, 1476, 5.441057, 2, 26, 4, 5, 6
16, 1516, 5.341689, 1, 17, 4, 5, 6
17, 1532, 5.293734, 2, 18, 4, 5, 6
18, 1565, 5.217252, 1, 21, 4, 5, 6
19, 1420, 5.733803, 2, 66, 4, 5, 6
20, 1562, 5.190141, 2, 17, 4, 5, 6
21, 1555, 5.181994, 1, 24, 4, 5, 6
22, 1553, 5.234385, 2, 22, 4, 5, 6
23, 1484, 5.347709, 2, 22, 4, 5, 6
24, 1553, 5.238892, 1, 23, 4, 5, 6
25, 1481, 5.388251, 2, 20, 4, 5, 6
26, 1540, 5.264286, 2, 26, 4, 5, 6
27, 1558, 5.160462, 2, 23, 4, 5, 6
28, 1522, 5.277267, 2, 22, 4, 5, 6
29, 1499, 5.294196, 2, 18, 4, 5, 6
30, 1461, 5.572211, 2, 20, 4, 5, 7
31, 1362, 5.879589, 2, 21, 4, 5, 7
32, 1356, 6.030236, 2, 35, 4, 5, 7
33, 1285, 6.443580, 2, 23, 4, 6, 8
34, 1289, 6.311870, 2, 26, 4, 6, 8
35, 1266, 6.372828, 2, 21, 4, 6, 8
36, 1215, 6.734156, 2, 29, 5, 6, 8
37, 1155, 7.011255, 2, 24, 5, 6, 8
38, 1220, 6.744262, 2, 27, 5, 6, 8
39, 1178, 6.996604, 2, 26, 5, 6, 8
40, 1243, 6.669348, 2, 22, 5, 6, 8
41, 1281, 6.370804, 2, 34, 4, 6, 8
42, 1358, 6.002209, 2, 21, 4, 5, 7
43, 1393, 5.808327, 2, 24, 4, 5, 7
44, 1289, 6.342126, 2, 62, 4, 5, 7
45, 1402, 5.773894, 1, 23, 4, 5, 7
46, 1487, 5.496301, 2, 27, 4, 5, 7
47, 1487, 5.417619, 2, 24, 4, 5, 6
48, 1511, 5.295831, 2, 29, 4, 5, 6
49, 1510, 5.380795, 2, 21, 4, 5, 6
50, 1476, 5.497967, 2, 23, 4, 5, 7
51, 1496, 5.387701, 2, 19, 4, 5, 6
52, 1500, 5.430667, 2, 23, 4, 5, 7
53, 1500, 5.391333, 2, 18, 4, 5, 6
54, 1468, 5.525204, 2, 20, 4, 5, 7
55, 1511, 5.345467, 2, 22, 4, 5, 6
56, 1458, 5.544582, 2, 20, 4, 5, 7
57, 1453, 5.496215, 2, 21, 4, 5, 7
58, 1481, 5.507090, 2, 43, 4, 5, 7
59, 1451, 5.617505, 2, 19, 4, 5, 7
60, 1399, 5.718370, 2, 73, 4, 5, 7
61, 1505, 5.395349, 2, 23, 4, 5, 6
62, 1462, 5.507524, 2, 31, 4, 5, 7
63, 1457, 5.641043, 2, 25, 4, 5, 7
64, 1435, 5.638328, 2, 20, 4, 5, 7
65, 1407, 5.791756, 2, 22, 4, 5, 7
66, 1471, 5.508498, 2, 22, 4, 5, 7
67, 1510, 5.318543, 2, 20, 4, 5, 6
68, 1465, 5.616382, 2, 25, 4, 5, 7
69, 1427, 5.614576, 2, 19, 4, 5, 7
70, 1232, 6.588474, 2, 33, 4, 6, 8
71, 1293, 6.439288, 2, 29, 4, 5, 8
72, 1440, 5.599306, 2, 19, 4, 5, 7
73, 1429, 5.662001, 2, 19, 4, 5, 7
74, 1334, 5.975262, 1, 31, 4, 5, 7
75, 1371, 6.021152, 1, 69, 4, 5, 7
76, 1424, 5.759831, 2, 24, 4, 5, 7
77, 1354, 5.929099, 2, 66, 4, 5, 7
78, 1436, 5.717270, 2, 34, 4, 5, 7
79, 1434, 5.677127, 2, 24, 4, 5, 7
80, 1408, 5.724432, 2, 21, 4, 5, 7
81, 1417, 5.673959, 2, 28, 4, 5, 7
82, 1440, 5.595139, 2, 22, 4, 5, 7
83, 1438, 5.611961, 2, 20, 4, 5, 7
84, 1510, 5.413907, 2, 20, 4, 5, 6
85, 1466, 5.557299, 2, 26, 4, 5, 7
86, 1478, 5.441137, 2, 25, 4, 5, 6
87, 1492, 5.386059, 1, 17, 4, 5, 6
88, 1484, 5.467655, 2, 22, 4, 5, 7
89, 1478, 5.469553, 2, 24, 4, 5, 6
90, 1428, 5.706583, 1, 42, 4, 5, 7
91, 1419, 5.639887, 2, 32, 4, 5, 7
92, 1393, 5.930366, 2, 56, 4, 5, 7
93, 1441, 5.581541, 2, 23, 4, 5, 7
94, 1442, 5.596394, 2, 32, 4, 5, 7
95, 1539, 5.245614, 2, 22, 4, 5, 6
96, 1512, 5.396825, 2, 21, 4, 5, 6
97, 1488, 5.456317, 2, 23, 4, 5, 6
98, 1471, 5.490143, 2, 23, 4, 5, 6
99, 1475, 5.490169, 2, 23, 4, 5, 7
100, 1461, 5.526352, 1, 23, 4, 5, 7
101, 1361, 5.952976, 2, 32, 4, 5, 7
102, 1409, 5.710433, 2, 20, 4, 5, 7
103, 1521, 5.399737, 2, 22, 4, 5, 6
104, 1516, 5.368074, 2, 20, 4, 5, 6
105, 1428, 5.655462, 2, 21, 4, 5, 7
106, 1508, 5.408488, 2, 22, 4, 5, 7
107, 1390, 5.948201, 2, 74, 4, 5, 7
108, 1336, 6.023952, 2, 24, 4, 5, 7
109, 1419, 5.734320, 2, 20, 4, 5, 7
110, 1438, 5.647427, 2, 25, 4, 5, 7
111, 1428, 5.726190, 2, 25, 4, 5, 7
112, 1403, 5.773343, 2, 25, 4, 5, 7
113, 1423, 5.607871, 2, 21, 4, 5, 7
114, 1451, 5.559614, 2, 23, 4, 5, 7
115, 1460, 5.567123, 2, 19, 4, 5, 7
116, 1422, 5.671589, 2, 25, 4, 5, 7
117, 1502, 5.429427, 2, 19, 4, 5, 7
118, 1500, 5.428667, 2, 24, 4, 5, 7
119, 1550, 5.215484, 2, 20, 4, 5, 6
120, 1510, 5.348344, 2, 19, 4, 5, 6
121, 1497, 5.340681, 2, 19, 4, 5, 6
122, 1373, 5.895120, 2, 65, 4, 5, 7
