time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2801, 2.620493, 0, 15, 2, 2, 3
1, 2831, 2.624514, 1, 19, 2, 2, 3
2, 2849, 2.573886, 1, 17, 2, 2, 3
3, 2840, 2.574296, 0, 13, 2, 2, 3
4, 2930, 2.506826, 1, 14, 2, 2, 3
5, 2943, 2.504247, 1, 13, 2, 2, 3
6, 2902, 2.508959, 0, 13, 2, 2, 3
7, 2937, 2.505277, 0, 12, 2, 2, 3
8, 2949, 2.496100, 1, 11, 2, 2, 3
9, 2932, 2.512278, 0, 11, 2, 2, 3
10, 2886, 2.510742, 1, 14, 2, 2, 3
11, 3032, 2.425132, 1, 11, 2, 2, 3
12, 2815, 2.577975, 0, 14, 2, 2, 3
13, 2885, 2.555979, 0, 12, 2, 2, 3
14, 2611, 2.862505, 1, 21, 2, 2, 3
15, 2707, 2.751016, 1, 14, 2, 2, 3
16, 2867, 2.580398, 1, 15, 2, 2, 3
17, 2751, 2.664849, 1, 13, 2, 2, 3
18, 2780, 2.629856, 1, 12, 2, 2, 3
19, 2890, 2.545329, 1, 16, 2, 2, 3
20, 2493, 2.982351, 1, 51, 2, 2, 3
21, 2711, 2.749170, 0, 13, 2, 2, 3
22, 2749, 2.683521, 1, 12, 2, 2, 3
23, 2846, 2.589248, 0, 12, 2, 2, 3
24, 2812, 2.639047, 1, 15, 2, 2, 3
25, 2902, 2.558925, 0, 11, 2, 2, 3
26, 2862, 2.545772, 0, 14, 2, 2, 3
27, 2865, 2.573124, 1, 11, 2, 2, 3
28, 2730, 2.709890, 0, 61, 2, 2, 3
29, 2952, 2.447493, 0, 13, 2, 2, 3
30, 2826, 2.629158, 1, 20, 2, 2, 3
31, 2794, 2.662491, 1, 13, 2, 2, 3
32, 2793, 2.632295, 1, 14, 2, 2, 3
33, 2939, 2.523647, 1, 15, 2, 2, 3
34, 2905, 2.525645, 1, 12, 2, 2, 3
35, 2865, 2.540663, 1, 13, 2, 2, 3
36, 2633, 2.841246, 1, 12, 2, 2, 3
37, 2344, 3.240614, 1, 58, 2, 3, 4
38, 2352, 3.216837, 1, 24, 2, 3, 4
39, 2329, 3.305711, 1, 18, 2, 3, 4
40, 2146, 3.565238, 1, 21, 2, 3, 4
41, 2133, 3.595406, 1, 15, 2, 3, 4
42, 2002, 3.839161, 1, 21, 2, 3, 5
43, 2126, 3.653340, 1, 19, 2, 3, 4
44, 2089, 3.667784, 0, 15, 2, 3, 4
45, 2051, 3.763042, 1, 16, 3, 3, 4
46, 2211, 3.491180, 1, 17, 2, 3, 4
47, 2254, 3.384650, 1, 21, 2, 3, 4
48, 2327, 3.245380, 1, 19, 2, 3, 4
49, 2487, 3.006836, 1, 15, 2, 3, 4
50, 2373, 3.178255, 1, 63, 2, 3, 3
51, 2621, 2.859977, 0, 22, 2, 2, 3
52, 2622, 2.819985, 1, 17, 2, 2, 3
53, 2726, 2.715334, 1, 15, 2, 2, 3
54, 2754, 2.665214, 0, 14, 2, 2, 3
55, 2832, 2.629590, 1, 14, 2, 2, 3
56, 2844, 2.607947, 1, 12, 2, 2, 3
57, 2810, 2.636655, 0, 14, 2, 2, 3
58, 2780, 2.675899, 0, 13, 2, 2, 3
59, 2776, 2.676153, 1, 12, 2, 2, 3
60, 2546, 2.904556, 0, 73, 2, 2, 3
61, 2689, 2.773150, 0, 15, 2, 2, 3
62, 2620, 2.878244, 1, 15, 2, 2, 3
63, 2442, 3.076577, 1, 21, 2, 3, 4
64, 2610, 2.848276, 0, 15, 2, 2, 3
65, 2328, 3.264175, 0, 24, 2, 3, 4
66, 2609, 2.881564, 0, 14, 2, 2, 3
67, 2534, 2.959353, 1, 15, 2, 3, 3
68, 2603, 2.860930, 1, 13, 2, 2, 3
69, 2564, 2.921997, 1, 15, 2, 3, 3
70, 2575, 2.918058, 1, 15, 2, 3, 4
71, 2616, 2.869648, 1, 14, 2, 2, 3
72, 2546, 2.978005, 1, 20, 2, 3, 4
73, 2325, 3.265376, 0, 85, 2, 3, 4
74, 2558, 2.954261, 1, 16, 2, 3, 4
75, 2546, 2.944226, 1, 14, 2, 3, 4
76, 2625, 2.892952, 0, 12, 2, 3, 3
77, 2444, 2.990998, 1, 22, 2, 3, 4
78, 2128, 3.677162, 1, 183, 2, 3, 4
79, 2671, 2.746537, 1, 12, 2, 2, 3
80, 2684, 2.783905, 0, 13, 2, 2, 3
81, 2742, 2.707877, 1, 12, 2, 2, 3
82, 2597, 2.864074, 1, 14, 2, 2, 3
83, 2688, 2.740699, 1, 14, 2, 2, 3
84, 2677, 2.761300, 0, 12, 2, 2, 3
85, 2759, 2.673432, 1, 14, 2, 2, 3
86, 2798, 2.670836, 1, 13, 2, 2, 3
87, 2486, 2.831456, 0, 23, 2, 2, 3
88, 2591, 3.191432, 1, 98, 2, 2, 3
89, 2642, 2.785390, 1, 14, 2, 2, 3
90, 2688, 2.743676, 1, 17, 2, 2, 3
91, 2645, 2.808696, 1, 15, 2, 2, 3
92, 2524, 2.988114, 1, 19, 2, 3, 4
93, 2401, 3.192003, 1, 35, 2, 3, 4
94, 2680, 2.745896, 1, 14, 2, 2, 3
95, 2548, 2.926609, 1, 14, 2, 2, 3
96, 2586, 2.888631, 1, 14, 2, 2, 3
97, 2562, 2.975800, 0, 16, 2, 3, 3
98, 2733, 2.696670, 0, 15, 2, 2, 3
99, 2709, 2.757844, 1, 15, 2, 2, 3
100, 2683, 2.773388, 1, 15, 2, 2, 3
101, 2769, 2.717949, 1, 15, 2, 2, 3
102, 2767, 2.683412, 0, 20, 2, 2, 3
103, 2503, 3.027167, 1, 104, 2, 2, 3
104, 2767, 2.650163, 1, 12, 2, 2, 3
105, 2749, 2.696981, 1, 16, 2, 2, 3
106, 2751, 2.686296, 1, 12, 2, 2, 3
107, 2792, 2.669054, 1, 14, 2, 2, 3
108, 2749, 2.681339, 0, 17, 2, 2, 3
109, 2727, 2.692336, 1, 15, 2, 2, 3
110, 2750, 2.691273, 1, 13, 2, 2, 3
111, 2724, 2.729809, 1, 14, 2, 2, 3
112, 2699, 2.736940, 0, 14, 2, 2, 3
113, 2728, 2.722141, 0, 20, 2, 2, 3
114, 2764, 2.672214, 1, 17, 2, 2, 3
115, 2358, 3.224767, 0, 21, 2, 3, 4
116, 2554, 2.961629, 1, 17, 2, 3, 4
117, 2731, 2.756499, 1, 17, 2, 2, 3
118, 2000, 4.036500, 1, 244, 2, 2, 3
119, 2715, 2.748435, 1, 15, 2, 2, 3
120, 2755, 2.694737, 1, 13, 2, 2, 3
121, 2388, 3.096315, 1, 140, 2, 2, 3
122, 2725, 2.741651, 1, 14, 2, 2, 3
123, 2431, 3.087618, 1, 16, 2, 3, 4
124, 2775, 2.703784, 0, 13, 2, 2, 3
125, 2627, 2.864865, 1, 12, 2, 2, 3
126, 2573, 2.911776, 1, 19, 2, 2, 3
127, 2727, 2.718005, 1, 13, 2, 2, 3
128, 2844, 2.610056, 1, 14, 2, 2, 3
129, 2736, 2.684942, 1, 20, 2, 2, 3
130, 2397, 3.127242, 0, 23, 2, 3, 4
131, 2588, 2.882148, 0, 26, 2, 2, 3
132, 2872, 2.556407, 1, 12, 2, 2, 3
133, 2732, 2.703880, 0, 21, 2, 2, 3
134, 2788, 2.619799, 1, 13, 2, 2, 3
135, 2754, 2.706245, 1, 16, 2, 2, 3
136, 2729, 2.706119, 1, 13, 2, 2, 3
137, 2674, 2.760284, 1, 14, 2, 2, 3
138, 2500, 2.988800, 0, 34, 2, 2, 3
139, 2055, 3.771776, 0, 23, 2, 3, 4
140, 2184, 3.522436, 0, 20, 2, 3, 4
141, 2591, 2.893863, 1, 21, 2, 2, 3
142, 2537, 2.983051, 1, 32, 2, 2, 3
143, 2561, 2.926982, 1, 25, 2, 2, 3
144, 2704, 2.744083, 0, 15, 2, 2, 3
145, 2626, 2.824448, 1, 18, 2, 2, 3
146, 2587, 2.914573, 1, 22, 2, 2, 3
147, 2629, 2.841385, 1, 14, 2, 2, 3
148, 2568, 2.807243, 1, 15, 2, 2, 3
149, 1737, 4.770869, 0, 390, 2, 2, 3
150, 2494, 3.046512, 1, 13, 2, 3, 4
151, 2491, 3.056202, 0, 20, 2, 3, 4
152, 2594, 2.939090, 1, 26, 2, 2, 3
153, 2593, 2.898573, 1, 15, 2, 3, 3
154, 2664, 2.775526, 0, 16, 2, 2, 3
155, 2725, 2.696147, 0, 25, 2, 2, 3
156, 2750, 2.668727, 1, 13, 2, 2, 3
157, 2711, 2.731833, 1, 14, 2, 2, 3
158, 2752, 2.708576, 0, 15, 2, 2, 3
159, 2778, 2.620950, 1, 12, 2, 2, 3
160, 2751, 2.693566, 1, 14, 2, 2, 3
161, 2611, 2.815013, 1, 52, 2, 2, 3
162, 2768, 2.694364, 1, 14, 2, 2, 3
163, 2710, 2.747970, 0, 14, 2, 2, 3
164, 2669, 2.773323, 1, 21, 2, 2, 3
165, 2724, 2.734949, 1, 16, 2, 2, 3
166, 2625, 2.832381, 1, 17, 2, 2, 3
167, 2627, 2.835173, 1, 15, 2, 2, 3
168, 2439, 3.052481, 1, 68, 2, 2, 3
169, 2689, 2.758274, 1, 18, 2, 2, 3
170, 2639, 2.816218, 1, 16, 2, 2, 3
171, 2387, 3.159196, 1, 33, 2, 3, 4
172, 2683, 2.765934, 1, 17, 2, 2, 3
173, 2713, 2.740140, 1, 16, 2, 2, 3
174, 2627, 2.818424, 1, 16, 2, 2, 3
175, 2567, 2.901831, 1, 27, 2, 2, 3
176, 2686, 2.802308, 1, 14, 2, 2, 3
177, 2676, 2.805680, 1, 16, 2, 2, 3
178, 2673, 2.768425, 0, 19, 2, 2, 3
179, 1122, 7.452763, 1, 574, 2, 3, 3
180, 2757, 2.703663, 1, 13, 2, 2, 3
181, 2713, 2.721342, 1, 14, 2, 2, 3
182, 2678, 2.768857, 1, 22, 2, 2, 3
183, 2581, 2.861682, 1, 37, 2, 2, 3
184, 2401, 3.137026, 1, 20, 2, 3, 4
185, 2422, 3.131296, 0, 26, 2, 3, 4
186, 2740, 2.678467, 0, 17, 2, 2, 3
187, 2767, 2.680520, 1, 15, 2, 2, 3
188, 2612, 2.853752, 0, 13, 2, 2, 3
189, 2689, 2.800298, 0, 14, 2, 2, 3
190, 2593, 2.868878, 0, 13, 2, 2, 3
191, 2648, 2.833837, 1, 14, 2, 2, 3
192, 2358, 3.152248, 1, 58, 2, 3, 4
193, 2580, 2.932946, 1, 15, 2, 3, 3
194, 2576, 2.912655, 0, 16, 2, 2, 3
195, 2568, 2.911604, 1, 14, 2, 2, 3
196, 2461, 3.024787, 1, 21, 2, 3, 4
197, 2466, 3.036091, 1, 25, 2, 3, 4
198, 2641, 2.844756, 0, 16, 2, 2, 3
199, 2596, 2.867874, 0, 15, 2, 2, 3
200, 2472, 3.055421, 1, 16, 2, 3, 4
201, 2623, 2.872665, 1, 13, 2, 2, 3
202, 2117, 3.675012, 1, 119, 2, 3, 4
203, 2546, 2.954438, 1, 18, 2, 2, 3
204, 2678, 2.780060, 0, 13, 2, 2, 3
205, 2694, 2.765776, 1, 12, 2, 2, 3
206, 2682, 2.743848, 0, 14, 2, 2, 3
207, 2626, 2.855674, 1, 47, 2, 2, 3
208, 2656, 2.809111, 1, 17, 2, 2, 3
209, 2714, 2.733972, 1, 24, 2, 2, 3
210, 2683, 2.779724, 0, 14, 2, 2, 3
211, 2704, 2.747781, 0, 19, 2, 2, 3
212, 2446, 3.128782, 1, 108, 2, 2, 3
213, 2647, 2.807707, 1, 21, 2, 2, 3
214, 2711, 2.722612, 1, 16, 2, 2, 3
215, 2764, 2.694645, 1, 15, 2, 2, 3
216, 2642, 2.822483, 1, 12, 2, 2, 3
217, 2582, 2.879163, 1, 14, 2, 2, 3
218, 421, 2.741093, 1, 11, 2, 2, 3
219, 607, 24.062603, 1, 1625, 2, 2, 3
220, 2643, 2.836549, 0, 18, 2, 2, 3
221, 2597, 2.876011, 0, 16, 2, 2, 3
222, 2612, 2.842649, 1, 24, 2, 2, 3
223, 2724, 2.759545, 1, 13, 2, 2, 3
224, 2600, 2.864615, 0, 13, 2, 2, 3
225, 2517, 2.998014, 0, 44, 2, 2, 3
226, 2653, 2.809649, 1, 16, 2, 2, 3
227, 2769, 2.679668, 1, 14, 2, 2, 3
228, 2815, 2.625577, 1, 12, 2, 2, 3
229, 2821, 2.640553, 0, 14, 2, 2, 3
230, 2735, 2.727605, 0, 17, 2, 2, 3
231, 2631, 2.806537, 1, 15, 2, 2, 3
232, 2706, 2.725425, 0, 14, 2, 2, 3
233, 2778, 2.664867, 1, 14, 2, 2, 3
234, 2430, 3.083951, 1, 18, 2, 3, 4
235, 2700, 2.756296, 1, 15, 2, 2, 3
236, 2787, 2.695730, 0, 18, 2, 2, 3
237, 2659, 2.785258, 1, 15, 2, 2, 3
238, 2508, 2.995215, 0, 18, 2, 3, 4
239, 2726, 2.736977, 0, 13, 2, 2, 3
240, 2667, 2.779153, 1, 17, 2, 2, 3
241, 2696, 2.769288, 1, 23, 2, 2, 3
242, 2741, 2.701934, 0, 18, 2, 2, 3
243, 2523, 2.927071, 1, 16, 2, 3, 3
244, 2634, 2.832194, 1, 16, 2, 2, 3
245, 2528, 2.977848, 1, 22, 2, 3, 3
