time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2716, 2.731591, 0, 17, 2, 2, 3
1, 2643, 2.822928, 1, 14, 2, 2, 3
2, 2780, 2.674101, 1, 12, 2, 2, 3
3, 2669, 2.766205, 1, 16, 2, 2, 3
4, 2821, 2.643743, 0, 15, 2, 2, 3
5, 2838, 2.601480, 0, 18, 2, 2, 3
6, 2789, 2.644676, 1, 17, 2, 2, 3
7, 2827, 2.619385, 1, 13, 2, 2, 3
8, 2418, 3.159222, 0, 14, 2, 3, 4
9, 2751, 2.699746, 1, 14, 2, 2, 3
10, 2701, 2.768974, 1, 27, 2, 2, 3
11, 2822, 2.641743, 0, 19, 2, 2, 3
12, 2699, 2.740274, 0, 15, 2, 2, 3
13, 2757, 2.663765, 1, 15, 2, 2, 3
14, 2768, 2.667269, 0, 11, 2, 2, 3
15, 2736, 2.730994, 0, 11, 2, 2, 3
16, 2679, 2.734602, 0, 14, 2, 2, 3
17, 2709, 2.716501, 0, 12, 2, 2, 3
18, 2756, 2.693396, 0, 15, 2, 2, 3
19, 2502, 2.985212, 1, 18, 2, 3, 4
20, 2535, 2.987771, 1, 20, 2, 3, 4
21, 2612, 2.864472, 1, 16, 2, 2, 3
22, 1666, 4.671669, 0, 62, 2, 4, 5
23, 1890, 4.109524, 0, 27, 3, 4, 5
24, 2038, 3.795388, 1, 20, 2, 3, 5
25, 1974, 3.981256, 1, 16, 3, 3, 5
26, 1742, 4.546498, 1, 18, 3, 4, 5
27, 1746, 4.492554, 1, 30, 3, 4, 5
28, 1539, 5.240416, 2, 25, 4, 5, 6
29, 1645, 4.809119, 1, 23, 3, 4, 6
30, 1625, 4.870154, 1, 24, 3, 4, 6
31, 1650, 4.803636, 1, 19, 3, 4, 6
32, 1685, 4.743027, 1, 19, 3, 4, 6
33, 1939, 4.026302, 1, 29, 3, 4, 5
34, 1905, 4.096063, 1, 20, 3, 4, 5
35, 1843, 4.196961, 1, 84, 3, 3, 5
36, 2237, 3.455521, 1, 17, 2, 3, 4
37, 2205, 3.507029, 1, 24, 2, 3, 4
38, 2265, 3.355850, 1, 15, 2, 3, 4
39, 2617, 2.879251, 1, 14, 2, 3, 3
40, 2597, 2.844821, 0, 14, 2, 2, 3
41, 2666, 2.762191, 1, 16, 2, 2, 3
42, 2721, 2.702683, 1, 15, 2, 2, 3
43, 2735, 2.693967, 1, 12, 2, 2, 3
44, 2598, 2.881832, 1, 51, 2, 2, 3
45, 2685, 2.808939, 0, 12, 2, 2, 3
46, 2497, 3.024029, 1, 15, 2, 3, 4
47, 2588, 2.903014, 0, 13, 2, 2, 3
48, 2639, 2.879121, 1, 17, 2, 3, 3
49, 2553, 2.969056, 0, 20, 2, 3, 4
50, 2523, 2.995244, 1, 15, 2, 3, 4
51, 2446, 3.056010, 1, 18, 2, 3, 4
