time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2984, 2.429625, 0, 14, 2, 2, 3
1, 2873, 2.559694, 0, 21, 2, 2, 3
2, 3050, 2.351803, 0, 14, 2, 2, 3
3, 2803, 2.579736, 0, 12, 2, 2, 3
4, 2948, 2.461669, 0, 11, 2, 2, 3
5, 2937, 2.471570, 0, 12, 2, 2, 3
6, 2880, 2.514583, 1, 14, 2, 2, 3
7, 3065, 2.353997, 0, 13, 2, 2, 3
8, 3038, 2.388413, 0, 13, 2, 2, 3
9, 3057, 2.367681, 0, 15, 2, 2, 3
10, 2980, 2.466443, 0, 14, 2, 2, 3
11, 2978, 2.433177, 0, 16, 2, 2, 3
12, 3005, 2.397338, 0, 15, 2, 2, 3
13, 3077, 2.376016, 0, 19, 2, 2, 3
14, 2964, 2.454791, 0, 16, 2, 2, 3
15, 2926, 2.485304, 0, 12, 2, 2, 3
16, 2768, 2.643425, 0, 15, 2, 2, 3
17, 2936, 2.507493, 0, 14, 2, 2, 3
18, 3046, 2.384767, 0, 13, 2, 2, 3
19, 2866, 2.576413, 0, 51, 2, 2, 3
20, 2322, 3.301034, 0, 42, 2, 3, 4
21, 2920, 2.491781, 0, 22, 2, 2, 3
22, 2868, 2.518131, 0, 12, 2, 2, 3
23, 2931, 2.527465, 0, 13, 2, 2, 3
24, 2879, 2.528656, 0, 15, 2, 2, 3
25, 2670, 2.780524, 0, 20, 2, 2, 3
26, 2586, 2.889791, 1, 15, 2, 3, 3
27, 2321, 3.306333, 1, 20, 2, 3, 4
28, 2002, 3.820679, 0, 82, 2, 3, 4
29, 2205, 3.548753, 1, 22, 2, 3, 4
30, 2115, 3.619858, 1, 20, 2, 3, 4
31, 2016, 3.856151, 1, 21, 3, 3, 5
32, 1989, 3.895928, 1, 24, 3, 3, 5
33, 1988, 3.867203, 1, 21, 2, 3, 5
34, 2060, 3.754369, 1, 18, 2, 3, 4
35, 2195, 3.539408, 1, 16, 2, 3, 4
36, 2205, 3.525624, 1, 18, 2, 3, 4
37, 2329, 3.308287, 0, 16, 2, 3, 4
38, 2447, 3.098488, 1, 14, 2, 3, 4
39, 2481, 3.022572, 1, 20, 2, 3, 4
40, 2756, 2.717344, 0, 15, 2, 2, 3
41, 2862, 2.598183, 1, 15, 2, 2, 3
42, 2854, 2.581289, 0, 12, 2, 2, 3
43, 2578, 2.847556, 1, 64, 2, 2, 3
44, 2926, 2.496582, 0, 14, 2, 2, 3
45, 2993, 2.445038, 1, 12, 2, 2, 3
46, 2901, 2.539124, 1, 21, 2, 2, 3
47, 2890, 2.553287, 0, 16, 2, 2, 3
48, 2915, 2.493310, 1, 12, 2, 2, 3
49, 2810, 2.639502, 0, 13, 2, 2, 3
50, 2881, 2.566470, 0, 13, 2, 2, 3
51, 2742, 2.682349, 1, 14, 2, 2, 3
52, 2651, 2.817427, 0, 16, 2, 2, 3
