time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2973, 2.434914, 0, 14, 2, 2, 3
1, 3084, 2.327821, 0, 18, 2, 2, 3
2, 3101, 2.344083, 0, 13, 1, 2, 3
3, 2994, 2.399800, 0, 12, 2, 2, 3
4, 3026, 2.391937, 0, 12, 2, 2, 3
5, 3020, 2.375497, 0, 14, 2, 2, 3
6, 3071, 2.345490, 0, 17, 2, 2, 3
7, 3191, 2.254152, 0, 12, 1, 2, 3
8, 3066, 2.318656, 0, 13, 1, 2, 3
9, 3009, 2.406447, 0, 13, 2, 2, 3
10, 2979, 2.423632, 0, 20, 2, 2, 3
11, 2899, 2.499483, 1, 17, 2, 2, 3
12, 3071, 2.341908, 0, 14, 2, 2, 3
13, 3064, 2.343342, 0, 17, 1, 2, 3
14, 3029, 2.378013, 0, 16, 2, 2, 3
15, 3037, 2.367797, 0, 20, 2, 2, 3
16, 3048, 2.377625, 0, 13, 2, 2, 3
17, 2998, 2.412608, 0, 16, 2, 2, 3
18, 3108, 2.340412, 0, 12, 2, 2, 3
19, 2636, 2.760243, 0, 56, 2, 2, 3
20, 2985, 2.442211, 0, 17, 2, 2, 3
21, 2974, 2.451580, 0, 14, 2, 2, 3
22, 3098, 2.359587, 0, 15, 2, 2, 3
23, 2969, 2.433142, 0, 13, 2, 2, 3
24, 3174, 2.317580, 0, 13, 1, 2, 3
25, 3051, 2.385447, 0, 13, 2, 2, 3
26, 2877, 2.547793, 0, 18, 2, 2, 3
27, 2802, 2.563526, 0, 61, 2, 2, 3
28, 3058, 2.348594, 0, 16, 1, 2, 3
29, 3128, 2.303708, 0, 20, 1, 2, 3
30, 3058, 2.386527, 1, 15, 2, 2, 3
31, 3035, 2.394728, 0, 13, 2, 2, 3
32, 2858, 2.549335, 0, 14, 2, 2, 3
33, 2683, 2.732762, 1, 19, 2, 2, 3
34, 2437, 3.100944, 0, 60, 2, 3, 3
35, 2511, 3.029470, 1, 14, 2, 3, 4
36, 2242, 3.359054, 1, 22, 2, 3, 4
37, 2151, 3.594607, 1, 19, 2, 3, 4
38, 2148, 3.578212, 1, 15, 2, 3, 4
39, 2259, 3.387782, 1, 14, 2, 3, 4
40, 1979, 3.901971, 1, 53, 2, 3, 4
41, 2120, 3.613679, 0, 18, 2, 3, 4
42, 2135, 3.679157, 0, 25, 2, 3, 4
43, 2396, 3.174040, 1, 20, 2, 3, 4
44, 2390, 3.126778, 1, 18, 2, 3, 4
45, 2581, 2.841534, 0, 14, 2, 2, 3
46, 2653, 2.809273, 1, 15, 2, 2, 3
47, 2681, 2.744498, 0, 19, 2, 2, 3
48, 2802, 2.618130, 1, 60, 2, 2, 3
49, 2946, 2.462661, 0, 15, 2, 2, 3
50, 2941, 2.446447, 0, 15, 2, 2, 3
51, 2971, 2.445641, 0, 13, 2, 2, 3
52, 3033, 2.395648, 0, 13, 2, 2, 3
53, 3037, 2.389529, 0, 14, 2, 2, 3
54, 3045, 2.369458, 0, 17, 2, 2, 3
55, 3032, 2.377968, 0, 11, 2, 2, 3
56, 2946, 2.469450, 0, 15, 2, 2, 3
57, 2870, 2.557491, 0, 15, 2, 2, 3
58, 2888, 2.529086, 0, 14, 2, 2, 3
59, 2757, 2.701124, 1, 15, 2, 2, 3
60, 2531, 2.982220, 0, 93, 2, 2, 3
61, 2764, 2.664255, 0, 15, 2, 2, 3
62, 2351, 3.213101, 1, 195, 2, 2, 3
63, 2730, 2.745055, 1, 11, 2, 2, 3
64, 2648, 2.793807, 1, 11, 2, 2, 3
65, 2749, 2.690797, 1, 12, 2, 2, 3
66, 2696, 2.758160, 1, 14, 2, 2, 3
67, 2739, 2.710843, 1, 16, 2, 2, 3
68, 2649, 2.801435, 0, 19, 2, 2, 3
69, 2793, 2.675618, 0, 14, 2, 2, 3
70, 2742, 2.733406, 0, 21, 2, 2, 3
71, 2867, 2.591908, 0, 16, 2, 2, 3
72, 2433, 3.134813, 0, 27, 2, 3, 4
73, 2294, 3.323017, 0, 21, 2, 3, 4
74, 2225, 3.373933, 0, 196, 2, 2, 3
75, 2931, 2.497100, 0, 12, 2, 2, 3
76, 2884, 2.524272, 0, 15, 2, 2, 3
77, 2892, 2.519364, 0, 14, 2, 2, 3
78, 2396, 3.151920, 1, 23, 2, 3, 4
79, 2485, 3.019316, 0, 22, 2, 2, 3
80, 2816, 2.623935, 0, 14, 2, 2, 3
81, 2623, 2.886390, 0, 31, 2, 2, 3
82, 2885, 2.578510, 0, 13, 2, 2, 3
83, 2852, 2.588359, 1, 13, 2, 2, 3
84, 2781, 2.599425, 0, 17, 2, 2, 3
85, 2866, 2.577460, 0, 15, 2, 2, 3
86, 2773, 2.634692, 0, 17, 2, 2, 3
87, 2788, 2.630918, 0, 18, 2, 2, 3
88, 2772, 2.656926, 0, 16, 2, 2, 3
89, 2817, 2.607739, 0, 15, 2, 2, 3
90, 2735, 2.651554, 0, 21, 2, 2, 3
91, 2910, 2.527148, 0, 12, 2, 2, 3
92, 2792, 2.629656, 0, 17, 2, 2, 3
93, 2841, 2.587469, 0, 14, 2, 2, 3
94, 2856, 2.592787, 0, 19, 2, 2, 3
95, 2677, 2.726560, 0, 21, 2, 2, 3
96, 2898, 2.540028, 0, 14, 2, 2, 3
97, 2637, 2.855138, 0, 122, 2, 2, 3
98, 2907, 2.536636, 0, 11, 2, 2, 3
99, 2809, 2.631541, 0, 26, 2, 2, 3
100, 2919, 2.496403, 0, 13, 2, 2, 3
101, 2756, 2.655298, 0, 11, 2, 2, 3
102, 2962, 2.476030, 0, 14, 2, 2, 3
103, 2857, 2.570179, 0, 21, 2, 2, 3
104, 3016, 2.377984, 1, 16, 1, 2, 3
105, 3019, 2.396489, 0, 14, 2, 2, 3
106, 3090, 2.337864, 1, 14, 2, 2, 3
107, 2995, 2.424374, 1, 20, 2, 2, 3
108, 3108, 2.323037, 0, 14, 1, 2, 3
109, 3007, 2.427669, 0, 14, 2, 2, 3
110, 3057, 2.374877, 0, 16, 2, 2, 3
111, 2768, 2.641257, 0, 24, 2, 2, 3
112, 2942, 2.467709, 0, 15, 2, 2, 3
113, 2984, 2.418901, 0, 15, 2, 2, 3
114, 3090, 2.344660, 0, 16, 2, 2, 3
115, 2970, 2.445455, 0, 16, 2, 2, 3
116, 2874, 2.538274, 0, 28, 2, 2, 3
117, 2868, 2.566597, 0, 15, 2, 2, 3
118, 2998, 2.449967, 1, 13, 2, 2, 3
119, 2725, 2.690642, 1, 21, 2, 2, 3
120, 2924, 2.490766, 0, 11, 2, 2, 3
121, 2779, 2.637639, 1, 26, 2, 2, 3
122, 2921, 2.503252, 0, 12, 2, 2, 3
123, 2936, 2.520436, 1, 15, 2, 2, 3
124, 2511, 3.010753, 0, 148, 2, 2, 3
125, 2887, 2.555594, 0, 17, 2, 2, 3
126, 2939, 2.501531, 1, 15, 2, 2, 3
127, 2798, 2.653681, 0, 32, 2, 2, 3
128, 2930, 2.465188, 0, 16, 2, 2, 3
129, 3030, 2.405611, 0, 17, 2, 2, 3
130, 2989, 2.434928, 0, 18, 2, 2, 3
131, 2923, 2.475881, 0, 16, 2, 2, 3
132, 3019, 2.396489, 0, 12, 2, 2, 3
133, 2920, 2.501027, 0, 27, 2, 2, 3
134, 3072, 2.346680, 0, 11, 2, 2, 3
135, 3077, 2.359116, 0, 15, 1, 2, 3
136, 3010, 2.389369, 0, 17, 2, 2, 3
137, 2808, 2.599359, 0, 24, 2, 2, 3
138, 2812, 2.581081, 0, 17, 2, 2, 3
139, 2888, 2.525970, 0, 16, 2, 2, 3
140, 2927, 2.491630, 0, 29, 2, 2, 3
141, 3037, 2.383273, 0, 16, 2, 2, 3
142, 3011, 2.422451, 0, 12, 2, 2, 3
143, 2933, 2.464712, 0, 13, 2, 2, 3
144, 2930, 2.502389, 0, 26, 2, 2, 3
145, 2947, 2.492026, 0, 13, 2, 2, 3
146, 2820, 2.585816, 0, 19, 2, 2, 3
147, 2901, 2.519821, 1, 15, 2, 2, 3
148, 2690, 2.795539, 1, 40, 2, 2, 3
149, 2847, 2.562698, 1, 12, 2, 2, 3
150, 2922, 2.523272, 0, 14, 2, 2, 3
151, 2918, 2.520219, 1, 13, 2, 2, 3
152, 2326, 3.282459, 0, 196, 2, 2, 3
153, 2969, 2.455709, 0, 13, 2, 2, 3
154, 2841, 2.593805, 0, 15, 2, 2, 3
155, 2840, 2.569718, 0, 15, 2, 2, 3
156, 2853, 2.560463, 0, 53, 2, 2, 3
157, 2805, 2.586809, 0, 16, 2, 2, 3
158, 3016, 2.422414, 1, 13, 2, 2, 3
159, 2998, 2.396264, 0, 13, 2, 2, 3
160, 3036, 2.400198, 0, 14, 2, 2, 3
161, 2848, 2.536166, 0, 25, 2, 2, 3
162, 3005, 2.396007, 1, 15, 2, 2, 3
163, 3113, 2.334083, 0, 13, 2, 2, 3
164, 3096, 2.336563, 0, 17, 1, 2, 3
165, 2872, 2.530641, 1, 41, 2, 2, 3
166, 2990, 2.409365, 0, 14, 2, 2, 3
167, 2966, 2.460890, 0, 14, 2, 2, 3
168, 2947, 2.458772, 0, 14, 2, 2, 3
169, 2886, 2.505891, 0, 13, 2, 2, 3
170, 2223, 2.612686, 0, 20, 2, 2, 3
171, 2959, 3.132815, 1, 221, 2, 2, 3
172, 2873, 2.573964, 1, 16, 2, 2, 3
173, 2963, 2.458319, 0, 14, 2, 2, 3
174, 2871, 2.552072, 0, 16, 2, 2, 3
175, 2880, 2.530903, 0, 14, 2, 2, 3
176, 2811, 2.600142, 1, 17, 2, 2, 3
177, 2912, 2.514080, 1, 12, 2, 2, 3
178, 2867, 2.533659, 0, 16, 2, 2, 3
179, 2988, 2.420013, 0, 11, 2, 2, 3
180, 2991, 2.416917, 0, 23, 2, 2, 3
181, 2983, 2.446866, 0, 14, 2, 2, 3
182, 2860, 2.559091, 1, 23, 2, 2, 3
183, 2883, 2.577870, 0, 19, 2, 2, 3
184, 2971, 2.469875, 0, 17, 2, 2, 3
185, 2969, 2.417312, 0, 24, 2, 2, 3
186, 2919, 2.507366, 0, 23, 2, 2, 3
187, 3060, 2.364379, 0, 16, 2, 2, 3
188, 3140, 2.313694, 0, 13, 2, 2, 3
189, 3006, 2.400865, 0, 14, 2, 2, 3
190, 3036, 2.376482, 0, 16, 2, 2, 3
191, 2977, 2.464562, 0, 19, 2, 2, 3
192, 2955, 2.455161, 0, 14, 2, 2, 3
193, 2941, 2.487589, 0, 17, 2, 2, 3
194, 2996, 2.444259, 1, 14, 2, 2, 3
195, 2859, 2.551941, 0, 15, 2, 2, 3
196, 2738, 2.722790, 1, 33, 2, 2, 3
197, 2967, 2.471857, 0, 17, 2, 2, 3
198, 2793, 2.662370, 1, 16, 2, 2, 3
199, 2792, 2.613181, 0, 16, 2, 2, 3
200, 2799, 2.624866, 0, 15, 2, 2, 3
201, 2710, 2.756458, 0, 54, 2, 2, 3
202, 2573, 2.936650, 0, 35, 2, 2, 3
203, 2695, 2.754731, 0, 21, 2, 2, 3
204, 2796, 2.640200, 1, 15, 2, 2, 3
205, 2841, 2.557902, 0, 18, 2, 2, 3
206, 2959, 2.462994, 1, 31, 2, 2, 3
207, 3023, 2.399272, 0, 15, 2, 2, 3
208, 2988, 2.425033, 0, 18, 2, 2, 3
209, 3006, 2.411843, 0, 17, 2, 2, 3
210, 3018, 2.398608, 0, 26, 2, 2, 3
211, 3046, 2.384110, 0, 14, 2, 2, 3
212, 3029, 2.365797, 0, 15, 2, 2, 3
213, 3055, 2.373486, 0, 17, 2, 2, 3
214, 3037, 2.371748, 0, 14, 2, 2, 3
215, 2919, 2.455293, 0, 33, 2, 2, 3
216, 3046, 2.347012, 0, 17, 1, 2, 3
217, 3090, 2.350162, 0, 15, 2, 2, 3
218, 2978, 2.449966, 0, 28, 2, 2, 3
219, 3038, 2.418367, 0, 14, 2, 2, 3
220, 2997, 2.450784, 0, 14, 2, 2, 3
221, 2929, 2.494708, 0, 18, 2, 2, 3
222, 2991, 2.484788, 0, 29, 2, 2, 3
223, 2918, 2.500685, 0, 17, 2, 2, 3
224, 1737, 4.546344, 0, 37, 2, 4, 6
225, 2518, 2.944400, 0, 25, 2, 2, 3
226, 1271, 2.664831, 1, 14, 2, 2, 3
227, 2197, 5.759217, 1, 769, 2, 2, 3
228, 2844, 2.569972, 0, 17, 2, 2, 3
229, 2862, 2.567435, 0, 17, 2, 2, 3
230, 2789, 2.626748, 0, 43, 2, 2, 3
231, 2875, 2.536348, 0, 18, 2, 2, 3
232, 3021, 2.414101, 0, 12, 2, 2, 3
233, 2905, 2.503270, 0, 23, 2, 2, 3
234, 2915, 2.484048, 0, 17, 2, 2, 3
235, 3043, 2.388432, 0, 16, 2, 2, 3
236, 2775, 2.679279, 0, 63, 2, 2, 3
237, 2924, 2.498290, 0, 20, 2, 2, 3
238, 2844, 2.582630, 1, 17, 2, 2, 3
239, 2700, 2.731852, 1, 83, 2, 2, 3
240, 2971, 2.457422, 0, 15, 2, 2, 3
241, 3059, 2.370056, 0, 16, 2, 2, 3
242, 2921, 2.548785, 0, 28, 2, 2, 3
243, 2820, 2.574468, 0, 17, 2, 2, 3
244, 2314, 3.266638, 0, 29, 2, 3, 4
245, 2837, 2.611914, 0, 18, 2, 2, 3
246, 1997, 2.556835, 1, 15, 2, 2, 3
247, 1482, 6.814440, 0, 767, 2, 2, 3
248, 2934, 2.518064, 1, 15, 2, 2, 3
249, 2889, 2.527518, 0, 17, 2, 2, 3
250, 2881, 2.574800, 1, 16, 2, 2, 3
251, 2836, 2.578279, 0, 14, 2, 2, 3
252, 2771, 2.628293, 0, 16, 2, 2, 3
253, 2852, 2.594320, 0, 13, 2, 2, 3
254, 2851, 2.588916, 0, 14, 2, 2, 3
255, 2885, 2.522704, 1, 14, 2, 2, 3
256, 2962, 2.489872, 0, 13, 2, 2, 3
257, 2949, 2.436419, 0, 13, 2, 2, 3
258, 2860, 2.537413, 0, 16, 2, 2, 3
259, 3027, 2.382887, 0, 15, 2, 2, 3
260, 3052, 2.370249, 0, 16, 2, 2, 3
261, 3027, 2.379584, 0, 19, 1, 2, 3
262, 3004, 2.400466, 0, 28, 2, 2, 3
263, 3082, 2.400714, 0, 17, 2, 2, 3
264, 3009, 2.412762, 0, 15, 2, 2, 3
265, 2797, 2.622095, 0, 51, 2, 2, 3
266, 3033, 2.391691, 0, 14, 2, 2, 3
267, 3073, 2.370973, 0, 13, 2, 2, 3
268, 2836, 2.609661, 1, 61, 2, 2, 3
269, 2962, 2.451047, 1, 16, 2, 2, 3
270, 2931, 2.476970, 0, 17, 2, 2, 3
271, 2936, 2.479905, 0, 14, 2, 2, 3
272, 2681, 2.747109, 0, 83, 2, 2, 3
273, 2920, 2.493493, 0, 13, 2, 2, 3
274, 2836, 2.566291, 0, 13, 2, 2, 3
275, 2823, 2.623450, 0, 17, 2, 2, 3
276, 2728, 2.690249, 1, 70, 2, 2, 3
277, 2835, 2.573545, 0, 16, 2, 2, 3
278, 2836, 2.592736, 1, 14, 2, 2, 3
279, 2917, 2.516284, 0, 18, 2, 2, 3
280, 2850, 2.595439, 0, 33, 2, 2, 3
281, 2901, 2.531541, 0, 22, 2, 2, 3
282, 2988, 2.436078, 0, 13, 2, 2, 3
283, 2868, 2.533124, 0, 14, 2, 2, 3
284, 2917, 2.494344, 0, 27, 2, 2, 3
285, 3023, 2.407873, 0, 14, 2, 2, 3
286, 2978, 2.419073, 0, 15, 2, 2, 3
287, 3027, 2.412950, 0, 28, 1, 2, 3
288, 3005, 2.389351, 1, 21, 2, 2, 3
289, 3044, 2.368594, 1, 12, 2, 2, 3
290, 2927, 2.446191, 0, 35, 2, 2, 3
291, 2812, 2.578947, 0, 17, 2, 2, 3
292, 3099, 2.340432, 0, 15, 1, 2, 3
293, 2973, 2.471578, 0, 33, 2, 2, 3
294, 2928, 2.479850, 0, 15, 2, 2, 3
295, 2978, 2.464406, 0, 14, 2, 2, 3
296, 2959, 2.514025, 0, 32, 2, 2, 3
297, 3005, 2.418636, 0, 20, 2, 2, 3
298, 2681, 2.724730, 0, 41, 2, 2, 3
299, 2895, 2.526079, 0, 14, 2, 2, 3
300, 16, 3.187500, 2, 6, 2, 3, 4
