time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2638, 2.812358, 1, 11, 2, 2, 3
1, 2784, 2.638649, 1, 12, 2, 2, 3
2, 2776, 2.661744, 1, 11, 2, 2, 3
3, 2818, 2.640880, 1, 13, 2, 2, 3
4, 2686, 2.763961, 1, 13, 2, 2, 3
5, 2801, 2.612281, 1, 11, 2, 2, 3
6, 2816, 2.613991, 1, 12, 2, 2, 3
7, 2713, 2.708809, 0, 12, 2, 2, 3
8, 2808, 2.650641, 1, 13, 2, 2, 3
9, 2775, 2.665225, 1, 17, 2, 2, 3
10, 2766, 2.663413, 1, 12, 2, 2, 3
11, 2780, 2.666906, 1, 17, 2, 2, 3
12, 2705, 2.738632, 1, 13, 2, 2, 3
13, 2636, 2.796282, 0, 16, 2, 2, 3
14, 2787, 2.660567, 0, 16, 2, 2, 3
15, 2709, 2.730897, 0, 14, 2, 2, 3
16, 2665, 2.800750, 1, 20, 2, 2, 3
17, 2820, 2.620922, 1, 12, 2, 2, 3
18, 2817, 2.647142, 1, 12, 2, 2, 3
19, 2824, 2.593839, 0, 12, 2, 2, 3
20, 2530, 2.924111, 0, 15, 2, 3, 4
21, 2496, 3.030048, 1, 54, 2, 2, 3
22, 2692, 2.772660, 1, 18, 2, 2, 3
23, 2732, 2.723280, 0, 12, 2, 2, 3
24, 2793, 2.649839, 0, 13, 2, 2, 3
25, 2713, 2.722816, 1, 13, 2, 2, 3
26, 2761, 2.662079, 0, 16, 2, 2, 3
27, 2853, 2.556607, 0, 16, 2, 2, 3
28, 2740, 2.721168, 1, 12, 2, 2, 3
29, 2666, 2.773818, 1, 13, 2, 2, 3
30, 2562, 2.887978, 1, 67, 2, 2, 3
31, 2776, 2.669308, 1, 13, 2, 2, 3
32, 2465, 3.070183, 0, 19, 2, 3, 4
33, 2486, 3.012068, 1, 13, 2, 3, 4
34, 2359, 3.219585, 1, 16, 2, 3, 4
35, 2273, 3.379674, 0, 13, 2, 3, 4
36, 2160, 3.548611, 1, 16, 2, 3, 4
37, 2057, 3.791444, 1, 19, 3, 3, 5
38, 2139, 3.630201, 1, 20, 2, 3, 4
39, 1945, 3.975321, 1, 68, 2, 3, 4
40, 2102, 3.705994, 1, 19, 2, 3, 4
41, 1974, 3.932118, 1, 33, 3, 3, 5
42, 2126, 3.680621, 1, 16, 2, 3, 4
43, 2034, 3.862832, 1, 20, 3, 3, 5
44, 2171, 3.526485, 1, 17, 2, 3, 4
45, 2331, 3.283998, 0, 19, 2, 3, 4
46, 2400, 3.194167, 1, 17, 2, 3, 4
47, 2435, 3.114579, 1, 15, 2, 3, 4
48, 2534, 2.969613, 1, 16, 2, 3, 3
49, 2364, 3.215736, 0, 35, 2, 3, 4
50, 2598, 2.869515, 1, 15, 2, 2, 3
51, 2704, 2.768491, 1, 12, 2, 2, 3
52, 2575, 2.843495, 1, 56, 2, 2, 3
53, 2644, 2.810136, 1, 18, 2, 2, 3
54, 2687, 2.797916, 1, 12, 2, 2, 3
55, 2680, 2.801493, 1, 16, 2, 2, 3
56, 2735, 2.713346, 1, 14, 2, 2, 3
57, 2692, 2.782689, 1, 17, 2, 2, 3
58, 2743, 2.732045, 0, 16, 2, 2, 3
59, 2666, 2.816579, 1, 13, 2, 2, 3
60, 2605, 2.920154, 1, 18, 2, 3, 3
61, 2612, 2.848009, 0, 20, 2, 2, 3
62, 2699, 2.755835, 1, 16, 2, 2, 3
63, 2345, 3.263113, 1, 76, 2, 3, 4
64, 2566, 2.919719, 1, 17, 2, 3, 3
65, 2539, 2.953131, 1, 14, 2, 3, 4
66, 2499, 3.004002, 1, 16, 2, 3, 4
67, 2416, 3.100579, 1, 18, 2, 3, 4
