time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2579, 2.903063, 0, 21, 2, 2, 3
1, 2712, 2.762537, 0, 12, 2, 2, 3
2, 2682, 2.765846, 1, 17, 2, 2, 3
3, 2821, 2.627437, 1, 13, 2, 2, 3
4, 2659, 2.802181, 1, 12, 2, 2, 3
5, 2693, 2.763832, 1, 15, 2, 2, 3
6, 2724, 2.694200, 0, 13, 2, 2, 3
7, 2754, 2.723312, 1, 13, 2, 2, 3
8, 2624, 2.863567, 1, 15, 2, 2, 3
9, 2572, 2.921073, 1, 15, 2, 3, 3
10, 2756, 2.686502, 0, 13, 2, 2, 3
11, 2780, 2.689928, 0, 11, 2, 2, 3
12, 2683, 2.778606, 1, 15, 2, 2, 3
13, 2839, 2.591758, 0, 12, 2, 2, 3
14, 2878, 2.551077, 0, 12, 2, 2, 3
15, 2685, 2.769460, 0, 24, 2, 2, 3
16, 2788, 2.633788, 0, 19, 2, 2, 3
17, 2808, 2.637464, 0, 14, 2, 2, 3
18, 2613, 2.892461, 0, 15, 2, 2, 3
19, 2716, 2.717968, 0, 14, 2, 2, 3
20, 2800, 2.633571, 1, 12, 2, 2, 3
21, 2513, 3.015121, 1, 54, 2, 2, 3
22, 2254, 3.373558, 0, 40, 2, 3, 4
23, 2556, 2.919405, 1, 15, 2, 3, 3
24, 2686, 2.781087, 0, 22, 2, 2, 3
25, 2793, 2.646259, 0, 13, 2, 2, 3
26, 2688, 2.763021, 1, 13, 2, 2, 3
27, 2763, 2.669924, 0, 14, 2, 2, 3
28, 2737, 2.742784, 0, 13, 2, 2, 3
29, 2598, 2.862202, 0, 25, 2, 2, 3
30, 2513, 2.997214, 0, 67, 2, 2, 3
31, 2854, 2.592502, 0, 14, 2, 2, 3
32, 2725, 2.722569, 1, 19, 2, 2, 3
33, 2672, 2.777695, 1, 19, 2, 2, 3
34, 2781, 2.645451, 0, 14, 2, 2, 3
35, 2774, 2.675919, 1, 14, 2, 2, 3
36, 2748, 2.717977, 1, 13, 2, 2, 3
37, 2757, 2.700399, 1, 14, 2, 2, 3
38, 2433, 3.066173, 0, 48, 2, 2, 3
39, 2597, 2.898729, 0, 15, 2, 2, 3
40, 2766, 2.704628, 0, 13, 2, 2, 3
41, 2738, 2.705625, 0, 13, 2, 2, 3
42, 2680, 2.767537, 0, 13, 2, 2, 3
43, 2570, 2.922568, 0, 36, 2, 2, 3
44, 2172, 3.623849, 0, 97, 2, 3, 4
45, 2589, 2.869448, 1, 15, 2, 2, 3
46, 2713, 2.719867, 0, 15, 2, 2, 3
47, 2719, 2.769768, 0, 48, 2, 2, 3
48, 2760, 2.708696, 1, 15, 2, 2, 3
49, 2643, 2.818010, 0, 14, 2, 2, 3
50, 2607, 2.841964, 1, 15, 2, 2, 3
51, 2826, 2.612173, 0, 14, 2, 2, 3
52, 2566, 2.964536, 0, 20, 2, 2, 3
53, 2663, 2.789335, 0, 31, 2, 2, 3
54, 2732, 2.704978, 0, 18, 2, 2, 3
55, 2547, 2.986258, 1, 70, 2, 2, 3
56, 2658, 2.782919, 0, 14, 2, 2, 3
57, 2632, 2.819909, 1, 14, 2, 2, 3
58, 2792, 2.659742, 0, 12, 2, 2, 3
59, 2698, 2.771312, 1, 13, 2, 2, 3
60, 2643, 2.751040, 0, 14, 2, 2, 3
61, 2801, 2.623349, 1, 23, 2, 2, 3
62, 2679, 2.776409, 1, 12, 2, 2, 3
63, 2692, 2.757058, 1, 17, 2, 2, 3
64, 2222, 3.434743, 0, 16, 2, 3, 4
65, 2456, 3.002036, 1, 67, 2, 2, 3
66, 2493, 3.029282, 1, 13, 2, 3, 4
67, 2488, 3.054260, 1, 13, 2, 3, 4
68, 2317, 3.227881, 1, 18, 2, 3, 4
69, 2347, 3.234768, 1, 16, 2, 3, 4
70, 2524, 3.057845, 1, 14, 2, 3, 4
71, 2511, 3.014337, 1, 14, 2, 3, 4
72, 2462, 3.035743, 0, 16, 2, 3, 4
73, 2459, 3.052460, 1, 15, 2, 3, 4
74, 2592, 2.852238, 1, 13, 2, 2, 3
75, 2716, 2.775037, 1, 11, 2, 2, 3
76, 2737, 2.683595, 0, 12, 2, 2, 3
77, 2705, 2.763771, 1, 11, 2, 2, 3
78, 2531, 3.015804, 1, 75, 2, 2, 3
79, 2382, 2.613350, 1, 12, 2, 2, 3
80, 2722, 3.262307, 0, 188, 2, 2, 3
81, 2935, 2.508007, 0, 13, 2, 2, 3
82, 2720, 2.704044, 1, 14, 2, 2, 3
83, 2775, 2.642883, 1, 13, 2, 2, 3
84, 2722, 2.776267, 1, 15, 2, 2, 3
85, 2476, 3.024233, 1, 29, 2, 2, 3
86, 2806, 2.635780, 1, 15, 2, 2, 3
87, 2677, 2.806873, 1, 13, 2, 2, 3
88, 2434, 3.118324, 0, 26, 2, 3, 4
89, 2584, 2.863003, 1, 17, 2, 2, 3
90, 2541, 2.952774, 1, 16, 2, 3, 4
91, 2591, 2.914705, 0, 14, 2, 3, 3
92, 2627, 2.854206, 0, 15, 2, 2, 3
93, 2634, 2.834852, 0, 12, 2, 2, 3
94, 2503, 3.014782, 1, 19, 2, 3, 4
95, 2512, 2.962978, 0, 15, 2, 3, 4
96, 2641, 2.830367, 0, 13, 2, 2, 3
97, 2310, 3.335498, 1, 134, 2, 2, 3
98, 2694, 2.765405, 1, 20, 2, 2, 3
99, 2771, 2.678095, 0, 14, 2, 2, 3
100, 2771, 2.686756, 0, 16, 2, 2, 3
101, 2565, 2.929825, 0, 14, 2, 2, 4
102, 2604, 2.899002, 1, 17, 2, 2, 3
103, 2585, 2.883559, 1, 15, 2, 2, 3
104, 2553, 2.967098, 1, 14, 2, 3, 4
105, 2754, 2.708787, 1, 13, 2, 2, 3
106, 2705, 2.729020, 0, 12, 2, 2, 3
107, 2837, 2.632358, 0, 13, 2, 2, 3
108, 2781, 2.644013, 1, 13, 2, 2, 3
109, 2856, 2.595588, 1, 17, 2, 2, 3
110, 2617, 2.856324, 1, 17, 2, 2, 3
111, 2732, 2.693997, 1, 17, 2, 2, 3
112, 2578, 2.872382, 1, 13, 2, 2, 3
113, 2751, 2.714286, 1, 16, 2, 2, 3
114, 2701, 2.770455, 1, 12, 2, 2, 3
115, 2629, 2.842906, 1, 18, 2, 2, 3
116, 2687, 2.787868, 1, 10, 2, 2, 3
117, 2432, 3.083882, 0, 128, 2, 2, 3
118, 2636, 2.839150, 1, 23, 2, 2, 3
119, 2671, 2.769000, 1, 15, 2, 2, 3
120, 2696, 2.768917, 0, 16, 2, 2, 3
121, 2710, 2.748339, 0, 18, 2, 2, 3
122, 2673, 2.795361, 1, 15, 2, 2, 3
123, 2793, 2.679556, 1, 15, 2, 2, 3
124, 2694, 2.781366, 1, 17, 2, 2, 3
125, 2616, 2.842508, 1, 13, 2, 2, 3
126, 2751, 2.707743, 0, 15, 2, 2, 3
127, 2686, 2.800447, 1, 13, 2, 2, 3
128, 2745, 2.692532, 0, 15, 2, 2, 3
129, 2572, 2.891135, 1, 15, 2, 2, 3
130, 2640, 2.805682, 1, 16, 2, 2, 3
131, 2626, 2.868621, 1, 15, 2, 2, 3
132, 2730, 2.724176, 0, 14, 2, 2, 3
133, 2575, 2.885825, 1, 21, 2, 2, 3
134, 2612, 2.864472, 1, 17, 2, 2, 3
135, 2609, 2.811039, 0, 19, 2, 2, 3
136, 2709, 2.746032, 1, 16, 2, 2, 3
137, 2718, 2.766004, 1, 28, 2, 2, 3
138, 2616, 2.875765, 1, 17, 2, 2, 3
139, 2571, 2.939323, 0, 15, 2, 2, 3
140, 2351, 3.290940, 0, 155, 2, 2, 3
141, 2577, 2.889794, 0, 13, 2, 2, 3
142, 2578, 2.877036, 0, 30, 2, 2, 3
143, 2801, 2.646912, 0, 11, 2, 2, 3
144, 2714, 2.783346, 0, 33, 2, 2, 3
145, 2616, 2.806193, 1, 16, 2, 2, 3
146, 2674, 2.762154, 1, 12, 2, 2, 3
147, 2717, 2.754877, 1, 13, 2, 2, 3
148, 2716, 2.738586, 1, 16, 2, 2, 3
149, 2782, 2.681884, 1, 13, 2, 2, 3
150, 2803, 2.628612, 1, 12, 2, 2, 3
151, 2635, 2.830361, 0, 18, 2, 2, 3
152, 2737, 2.716113, 1, 12, 2, 2, 3
153, 2649, 2.813137, 1, 14, 2, 2, 3
154, 2622, 2.839436, 0, 19, 2, 2, 3
155, 2579, 2.871268, 0, 13, 2, 2, 3
156, 2686, 2.794490, 0, 15, 2, 2, 3
157, 2584, 2.945820, 1, 20, 2, 3, 3
