time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2660, 2.809774, 1, 12, 2, 2, 3
1, 2632, 2.861322, 1, 17, 2, 2, 3
2, 2601, 2.877355, 1, 14, 2, 2, 3
3, 2685, 2.774674, 0, 13, 2, 2, 3
4, 2428, 3.074959, 0, 21, 2, 3, 4
5, 2600, 2.851154, 1, 13, 2, 2, 3
6, 2558, 2.928851, 1, 16, 2, 3, 3
7, 2455, 3.102240, 1, 14, 2, 3, 4
8, 2559, 2.953888, 1, 15, 2, 3, 3
9, 2581, 2.941883, 1, 20, 2, 3, 3
10, 2683, 2.784570, 1, 14, 2, 2, 3
11, 2577, 2.906480, 1, 18, 2, 3, 3
12, 2586, 2.899072, 1, 14, 2, 3, 3
13, 2682, 2.822893, 0, 16, 2, 2, 3
14, 2607, 2.889528, 0, 17, 2, 3, 3
15, 2647, 2.856819, 1, 13, 2, 2, 3
16, 2518, 2.970214, 1, 15, 2, 3, 3
17, 2554, 2.947142, 1, 22, 2, 3, 3
18, 2547, 2.937181, 1, 13, 2, 3, 3
19, 2697, 2.759362, 0, 16, 2, 2, 3
20, 2608, 2.866181, 1, 16, 2, 2, 3
21, 2521, 2.969853, 1, 17, 2, 3, 3
22, 2533, 2.930517, 1, 17, 2, 3, 3
23, 1994, 3.879137, 0, 59, 2, 3, 4
24, 2382, 3.176322, 0, 16, 2, 3, 4
25, 2494, 3.054531, 0, 13, 2, 3, 4
26, 2461, 3.044291, 1, 12, 2, 3, 4
27, 2587, 2.882103, 1, 12, 2, 2, 3
28, 2662, 2.813298, 1, 14, 2, 2, 3
29, 2584, 2.905960, 1, 18, 2, 3, 3
30, 2652, 2.853318, 1, 14, 2, 2, 3
31, 2620, 2.885115, 0, 13, 2, 3, 3
32, 2525, 2.943366, 1, 66, 2, 2, 3
33, 2506, 2.994812, 1, 16, 2, 3, 3
34, 2604, 2.892473, 1, 20, 2, 3, 3
35, 2633, 2.853399, 0, 19, 2, 2, 3
36, 2489, 3.038570, 1, 17, 2, 3, 4
37, 2593, 2.856922, 0, 16, 2, 2, 3
38, 2694, 2.760579, 1, 16, 2, 2, 3
39, 2596, 2.888675, 1, 12, 2, 2, 3
40, 2445, 3.102249, 1, 13, 2, 3, 4
41, 1781, 4.419989, 1, 137, 2, 3, 4
42, 2472, 3.040049, 1, 15, 2, 3, 4
43, 2566, 2.941543, 1, 14, 2, 3, 3
44, 2487, 2.981906, 0, 15, 2, 3, 4
45, 2496, 3.026442, 1, 15, 2, 3, 4
46, 2533, 2.984998, 0, 14, 2, 3, 4
47, 2585, 2.926499, 1, 13, 2, 3, 3
48, 2667, 2.814398, 1, 13, 2, 2, 3
49, 2459, 3.069134, 1, 14, 2, 3, 4
50, 2288, 3.338724, 1, 15, 2, 3, 4
51, 2196, 3.459016, 1, 23, 2, 3, 4
52, 1688, 4.681872, 0, 53, 2, 4, 6
53, 2129, 3.657586, 1, 16, 2, 3, 4
54, 1918, 4.110010, 1, 18, 3, 4, 5
55, 1812, 4.343267, 1, 76, 3, 4, 5
56, 1937, 4.012907, 1, 21, 3, 3, 5
57, 1831, 4.309667, 1, 32, 3, 4, 5
58, 2275, 3.399121, 1, 15, 2, 3, 4
59, 2317, 3.324989, 1, 14, 2, 3, 4
60, 2284, 3.385727, 1, 12, 2, 3, 4
61, 2237, 3.374609, 1, 20, 2, 3, 4
62, 2464, 3.086445, 1, 16, 2, 3, 4
63, 2551, 2.940808, 1, 14, 2, 3, 3
64, 2407, 3.123390, 1, 18, 2, 3, 4
65, 2593, 2.892788, 1, 18, 2, 2, 3
66, 2428, 3.123558, 1, 23, 2, 3, 4
67, 2491, 3.030911, 1, 13, 2, 3, 4
68, 2647, 2.848508, 0, 13, 2, 2, 3
69, 2499, 3.020408, 0, 13, 2, 3, 4
70, 2552, 2.955721, 1, 20, 2, 3, 3
71, 2576, 2.932065, 1, 13, 2, 3, 3
72, 2441, 3.061860, 0, 18, 2, 3, 4
73, 2259, 3.362992, 1, 24, 2, 3, 4
74, 2455, 3.105499, 1, 15, 2, 3, 4
75, 2485, 3.031791, 1, 12, 2, 3, 4
76, 2153, 3.558755, 0, 123, 2, 3, 4
77, 2407, 3.157042, 1, 18, 2, 3, 4
78, 2354, 3.208581, 0, 18, 2, 3, 4
79, 2462, 3.050366, 1, 14, 2, 3, 4
80, 2499, 3.026811, 0, 16, 2, 3, 4
81, 2436, 3.084154, 1, 15, 2, 3, 4
