time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2629, 2.875238, 0, 21, 2, 2, 3
1, 2185, 3.485584, 0, 34, 2, 3, 4
2, 2553, 2.894634, 0, 17, 2, 2, 3
3, 2722, 2.696179, 1, 13, 2, 2, 3
4, 2854, 2.618080, 0, 11, 2, 2, 3
5, 2865, 2.550785, 0, 17, 2, 2, 3
6, 2920, 2.511644, 0, 12, 2, 2, 3
7, 2690, 2.749071, 0, 13, 2, 2, 3
8, 2504, 2.990815, 0, 19, 2, 3, 4
9, 2536, 2.901814, 1, 19, 2, 2, 3
10, 2382, 3.152813, 0, 23, 2, 3, 4
11, 2941, 2.506630, 0, 21, 2, 2, 3
12, 3100, 2.355484, 0, 12, 2, 2, 3
13, 3084, 2.356355, 0, 13, 2, 2, 3
14, 3080, 2.336364, 0, 10, 1, 2, 3
15, 3008, 2.430186, 0, 14, 2, 2, 3
16, 2908, 2.489340, 0, 12, 2, 2, 3
17, 2229, 3.462988, 0, 39, 2, 3, 4
18, 2801, 2.643342, 0, 15, 2, 2, 3
19, 2884, 2.550277, 0, 12, 2, 2, 3
20, 2924, 2.511286, 1, 14, 2, 2, 3
21, 2327, 3.207134, 1, 70, 2, 2, 4
22, 2293, 3.273005, 0, 19, 2, 3, 4
23, 2753, 2.652379, 0, 20, 2, 2, 3
24, 2766, 2.670282, 1, 13, 2, 2, 3
25, 2746, 2.666424, 0, 27, 2, 2, 3
26, 2897, 2.494995, 1, 13, 2, 2, 3
27, 3014, 2.402123, 1, 14, 2, 2, 3
28, 2914, 2.470830, 0, 13, 2, 2, 3
29, 2804, 2.639444, 1, 66, 2, 2, 3
30, 2969, 2.446952, 0, 12, 2, 2, 3
31, 2959, 2.474823, 0, 18, 2, 2, 3
32, 2971, 2.468866, 0, 15, 2, 2, 3
33, 2907, 2.516340, 1, 13, 2, 2, 3
34, 2951, 2.472721, 0, 12, 2, 2, 3
35, 2968, 2.452156, 0, 13, 2, 2, 3
36, 2999, 2.439146, 0, 13, 2, 2, 3
37, 2757, 2.686253, 0, 54, 2, 2, 3
38, 2917, 2.502571, 0, 17, 2, 2, 3
39, 2866, 2.556874, 1, 17, 2, 2, 3
40, 2810, 2.610676, 0, 14, 2, 2, 3
41, 2906, 2.509635, 1, 17, 2, 2, 3
42, 3044, 2.394218, 0, 12, 2, 2, 3
43, 2929, 2.510072, 1, 17, 2, 2, 3
