time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2842, 2.593596, 1, 14, 2, 2, 3
1, 3009, 2.422067, 0, 14, 2, 2, 3
2, 2993, 2.406615, 0, 12, 2, 2, 3
3, 3051, 2.396919, 1, 13, 2, 2, 3
4, 3024, 2.389881, 1, 13, 2, 2, 3
5, 2955, 2.442640, 0, 14, 2, 2, 3
6, 2984, 2.453753, 0, 11, 2, 2, 3
7, 2918, 2.495545, 0, 14, 2, 2, 3
8, 3081, 2.341448, 0, 10, 2, 2, 3
9, 3002, 2.433378, 1, 13, 2, 2, 3
10, 3153, 2.295274, 1, 11, 1, 2, 3
11, 2980, 2.428523, 0, 13, 2, 2, 3
12, 2844, 2.593530, 1, 17, 2, 2, 3
13, 2985, 2.435511, 1, 17, 2, 2, 3
14, 3026, 2.406808, 0, 14, 2, 2, 3
15, 2908, 2.517538, 0, 13, 2, 2, 3
16, 2928, 2.507514, 1, 11, 2, 2, 3
17, 2890, 2.490657, 0, 11, 2, 2, 3
18, 2944, 2.452446, 0, 19, 2, 2, 3
19, 2795, 2.623614, 0, 49, 2, 2, 3
20, 2894, 2.539046, 0, 19, 2, 2, 3
21, 2938, 2.470728, 0, 17, 2, 2, 3
22, 2806, 2.591589, 0, 18, 2, 2, 3
23, 2850, 2.546316, 0, 17, 2, 2, 3
24, 2901, 2.489831, 0, 13, 2, 2, 3
25, 3065, 2.373899, 0, 11, 2, 2, 3
26, 3007, 2.421683, 1, 14, 2, 2, 3
27, 2792, 2.627507, 1, 64, 2, 2, 3
28, 3022, 2.390470, 0, 15, 2, 2, 3
29, 2930, 2.493174, 0, 20, 2, 2, 3
30, 2883, 2.543531, 1, 11, 2, 2, 3
31, 2918, 2.510966, 0, 15, 2, 2, 3
32, 3067, 2.395827, 0, 12, 2, 2, 3
33, 2967, 2.443546, 1, 11, 2, 2, 3
34, 2889, 2.441675, 0, 13, 2, 2, 3
35, 3074, 2.447300, 0, 50, 1, 2, 3
36, 2967, 2.415908, 0, 16, 2, 2, 3
37, 2991, 2.420595, 0, 14, 2, 2, 3
38, 2852, 2.573282, 0, 13, 2, 2, 3
39, 2858, 2.527642, 0, 19, 2, 2, 3
40, 2997, 2.449116, 0, 15, 2, 2, 3
41, 2981, 2.417645, 0, 13, 2, 2, 3
42, 2989, 2.443627, 0, 14, 2, 2, 3
43, 3015, 2.370149, 0, 11, 2, 2, 3
44, 2895, 2.515717, 0, 50, 2, 2, 3
45, 2874, 2.511830, 0, 20, 2, 2, 3
46, 3014, 2.424685, 1, 12, 2, 2, 3
47, 3032, 2.406992, 0, 17, 2, 2, 3
48, 3007, 2.431327, 1, 11, 2, 2, 3
49, 2954, 2.477996, 0, 11, 2, 2, 3
50, 2996, 2.441255, 0, 16, 2, 2, 3
51, 3072, 2.350911, 0, 18, 1, 2, 3
52, 3019, 2.413051, 0, 14, 2, 2, 3
53, 2633, 2.622864, 0, 16, 2, 2, 3
54, 2851, 2.760084, 1, 70, 2, 2, 3
55, 2983, 2.478377, 0, 13, 2, 2, 3
56, 2966, 2.491234, 0, 16, 2, 2, 3
57, 2854, 2.542046, 1, 13, 2, 2, 3
58, 2979, 2.453844, 0, 16, 2, 2, 3
59, 2921, 2.491955, 0, 22, 2, 2, 3
60, 3002, 2.446036, 0, 12, 2, 2, 3
61, 2959, 2.453870, 0, 13, 2, 2, 3
62, 2938, 2.447924, 0, 19, 2, 2, 3
63, 3043, 2.373316, 0, 11, 2, 2, 3
64, 2946, 2.454854, 0, 13, 2, 2, 3
65, 2636, 2.302731, 0, 12, 1, 2, 3
66, 2877, 3.004519, 0, 173, 1, 2, 3
67, 3012, 2.415007, 0, 12, 2, 2, 3
68, 3053, 2.396659, 0, 14, 2, 2, 3
69, 2955, 2.457191, 0, 12, 2, 2, 3
70, 2924, 2.463748, 0, 14, 2, 2, 3
71, 3041, 2.385728, 0, 15, 1, 2, 3
72, 2977, 2.460195, 0, 12, 2, 2, 3
73, 2923, 2.470407, 0, 13, 2, 2, 3
74, 2738, 2.662162, 1, 17, 2, 2, 3
75, 2799, 2.619150, 0, 18, 2, 2, 3
76, 2784, 2.635057, 0, 14, 2, 2, 3
77, 2787, 2.672766, 0, 22, 2, 2, 3
78, 2717, 2.755245, 1, 24, 2, 2, 3
79, 2609, 2.837869, 1, 15, 2, 2, 3
80, 2740, 2.701460, 0, 18, 2, 2, 3
81, 2199, 3.270123, 0, 209, 2, 2, 3
82, 2751, 2.699746, 0, 19, 2, 2, 3
83, 2988, 2.440094, 1, 11, 2, 2, 3
84, 2883, 2.518210, 0, 18, 2, 2, 3
85, 2952, 2.468496, 0, 12, 2, 2, 3
86, 3003, 2.419247, 0, 12, 2, 2, 3
87, 3141, 2.307545, 0, 12, 1, 2, 3
88, 2999, 2.413805, 0, 14, 2, 2, 3
89, 2967, 2.466801, 0, 12, 2, 2, 3
90, 3100, 2.329355, 0, 13, 1, 2, 3
91, 3091, 2.313167, 0, 15, 1, 2, 3
92, 3095, 2.305008, 0, 14, 1, 2, 3
93, 2964, 2.482119, 0, 35, 2, 2, 3
94, 3131, 2.308847, 0, 16, 1, 2, 3
95, 3018, 2.390656, 0, 13, 2, 2, 3
96, 2979, 2.441423, 0, 13, 2, 2, 3
97, 3039, 2.359000, 0, 16, 2, 2, 3
98, 2576, 2.920031, 0, 110, 2, 2, 3
99, 2990, 2.403679, 0, 13, 2, 2, 3
100, 2912, 2.512019, 0, 16, 2, 2, 3
101, 2940, 2.483673, 0, 29, 2, 2, 3
102, 2949, 2.482197, 0, 17, 2, 2, 3
103, 3012, 2.416335, 0, 13, 2, 2, 3
104, 2968, 2.438679, 0, 18, 2, 2, 3
105, 3064, 2.375000, 0, 13, 2, 2, 3
106, 3040, 2.380921, 0, 15, 2, 2, 3
107, 2930, 2.488055, 0, 15, 2, 2, 3
108, 2952, 2.467818, 0, 20, 2, 2, 3
109, 2963, 2.447519, 0, 16, 2, 2, 3
110, 2998, 2.442962, 0, 14, 2, 2, 3
111, 3007, 2.410376, 0, 14, 2, 2, 3
112, 3019, 2.413051, 0, 15, 2, 2, 3
113, 2991, 2.459712, 0, 29, 2, 2, 3
114, 3099, 2.370119, 0, 14, 2, 2, 3
115, 3064, 2.357702, 0, 15, 1, 2, 3
116, 3034, 2.374423, 0, 17, 2, 2, 3
117, 3113, 2.295535, 0, 11, 1, 2, 3
118, 2961, 2.465721, 0, 24, 2, 2, 3
119, 3038, 2.384134, 0, 12, 2, 2, 3
120, 2955, 2.331980, 0, 14, 2, 2, 3
121, 2768, 2.795520, 0, 165, 2, 2, 3
122, 3034, 2.370798, 0, 16, 2, 2, 3
123, 2974, 2.453598, 0, 12, 2, 2, 3
124, 2952, 2.471883, 0, 15, 2, 2, 3
125, 2921, 2.477234, 0, 18, 2, 2, 3
126, 2907, 2.519780, 0, 16, 2, 2, 3
127, 2939, 2.465124, 0, 19, 2, 2, 3
128, 3010, 2.399336, 0, 14, 2, 2, 3
