time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 2981, 9.112378, 0, 74, 1, 4, 12
1, 3000, 9.154667, 0, 78, 1, 4, 12
2, 2987, 9.297288, 0, 79, 1, 4, 13
3, 2971, 9.200942, 0, 73, 1, 4, 12
4, 3055, 9.071031, 0, 89, 1, 4, 12
5, 3069, 9.064516, 0, 83, 1, 4, 12
6, 3158, 8.730526, 0, 70, 1, 4, 12
7, 2923, 9.412590, 0, 74, 1, 4, 12
8, 3047, 8.999015, 0, 72, 1, 4, 12
9, 3078, 9.051657, 0, 81, 1, 4, 12
10, 2920, 9.427740, 0, 87, 1, 4, 13
11, 3103, 8.814695, 0, 75, 1, 4, 12
12, 3106, 8.988088, 0, 81, 1, 4, 12
13, 2912, 9.211538, 0, 87, 1, 4, 12
14, 2690, 10.254275, 0, 128, 1, 4, 13
15, 2821, 9.785892, 0, 97, 1, 4, 14
16, 3041, 8.900691, 0, 73, 1, 4, 12
17, 3016, 9.099801, 0, 75, 1, 4, 12
18, 3064, 9.032311, 0, 81, 1, 4, 12
19, 3049, 8.846835, 0, 93, 1, 4, 12
20, 3052, 8.878113, 0, 99, 1, 4, 12
21, 2745, 9.904189, 0, 107, 1, 4, 12
22, 3151, 8.774357, 0, 86, 1, 4, 11
23, 3118, 8.907954, 0, 88, 1, 4, 12
24, 3004, 9.135486, 0, 90, 1, 4, 12
25, 3002, 9.133578, 0, 80, 1, 4, 12
26, 2837, 9.808248, 0, 73, 1, 4, 13
27, 2757, 10.148712, 0, 97, 1, 5, 13
28, 2654, 10.567069, 0, 99, 1, 5, 14
29, 2525, 11.130693, 0, 119, 1, 5, 15
30, 2278, 12.423617, 0, 142, 1, 6, 16
31, 2328, 12.027491, 0, 109, 1, 6, 17
32, 2407, 11.988783, 0, 96, 1, 6, 16
33, 2405, 11.726403, 0, 104, 1, 5, 15
34, 2475, 11.427879, 0, 110, 1, 5, 15
35, 2440, 11.838525, 0, 108, 1, 6, 15
36, 2422, 11.287366, 0, 86, 1, 5, 15
37, 2595, 10.706744, 0, 110, 1, 5, 14
38, 2687, 10.543729, 0, 91, 1, 5, 14
39, 2799, 9.797785, 0, 142, 1, 4, 13
40, 2783, 9.986705, 0, 100, 1, 4, 13
41, 2880, 9.604514, 0, 70, 1, 5, 13
42, 3033, 9.343225, 0, 79, 1, 5, 12
43, 2959, 9.323420, 0, 77, 1, 4, 12
44, 3079, 9.084768, 0, 71, 1, 4, 12
45, 2736, 10.014985, 0, 153, 1, 4, 12
46, 2929, 9.591670, 0, 95, 1, 4, 12
47, 3091, 8.763507, 0, 77, 1, 4, 12
48, 3072, 9.100586, 0, 85, 1, 4, 12
49, 2887, 9.453758, 0, 88, 1, 4, 12
50, 2878, 9.425990, 0, 79, 1, 4, 12
51, 2910, 9.576976, 0, 73, 1, 5, 13
52, 2901, 9.635988, 0, 84, 1, 5, 13
53, 2755, 9.894737, 0, 95, 1, 4, 13
54, 2790, 9.928674, 0, 93, 1, 4, 13
55, 2779, 10.018352, 0, 95, 1, 5, 14
56, 2836, 9.880465, 0, 90, 1, 5, 13
57, 2772, 9.923882, 0, 88, 1, 4, 13
58, 2877, 9.851929, 0, 88, 1, 5, 13
59, 2791, 10.101756, 0, 88, 1, 5, 14
60, 16, 17.250000, 1, 57, 5, 10, 25
