time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 786, 35.819338, 1, 845, 16, 21, 29
1, 911, 30.524698, 3, 501, 15, 19, 26
2, 1026, 28.999025, 2, 964, 14, 19, 24
3, 918, 31.790850, 0, 466, 13, 20, 29
4, 1089, 26.971534, 0, 456, 12, 17, 23
5, 1176, 24.370748, 0, 275, 11, 15, 22
6, 1202, 23.788686, 0, 612, 11, 14, 20
7, 1234, 22.499190, 1, 325, 11, 14, 19
8, 1345, 21.372491, 2, 330, 10, 13, 17
9, 1388, 20.548991, 2, 279, 9, 13, 17
10, 1417, 19.650670, 1, 389, 10, 12, 16
11, 1361, 20.604702, 1, 327, 10, 12, 17
12, 1431, 20.041230, 2, 350, 10, 13, 16
13, 1465, 19.576109, 3, 230, 10, 12, 16
14, 1467, 19.413088, 1, 455, 10, 12, 17
15, 1386, 20.300866, 1, 379, 10, 12, 16
16, 1344, 20.595982, 3, 313, 10, 13, 17
17, 1238, 22.232633, 0, 466, 10, 14, 19
18, 1305, 21.917241, 2, 400, 10, 14, 18
19, 1287, 22.072261, 2, 347, 10, 13, 18
20, 1164, 23.772337, 1, 409, 11, 14, 19
21, 1089, 24.708907, 1, 416, 12, 15, 20
22, 1264, 22.492089, 4, 352, 11, 14, 18
23, 1154, 24.277296, 4, 407, 12, 15, 19
24, 1137, 24.208443, 3, 358, 11, 15, 20
25, 1136, 24.864437, 3, 452, 12, 15, 20
26, 1224, 23.055556, 3, 369, 12, 15, 19
27, 1189, 23.444071, 2, 387, 11, 15, 20
28, 1215, 24.011523, 1, 427, 12, 15, 20
29, 1206, 23.992537, 2, 350, 11, 15, 20
30, 1177, 23.632965, 4, 388, 12, 15, 20
31, 1205, 23.843154, 3, 353, 12, 15, 19
32, 1135, 24.185903, 2, 354, 11, 15, 20
33, 1249, 22.638110, 2, 345, 11, 14, 19
34, 1132, 24.107774, 0, 391, 11, 15, 21
35, 1214, 24.049423, 0, 423, 11, 15, 21
36, 1227, 22.782396, 4, 303, 11, 14, 18
37, 1290, 22.862016, 2, 480, 11, 14, 19
38, 1292, 22.192724, 2, 404, 11, 14, 18
39, 1236, 22.390777, 1, 379, 11, 14, 19
40, 1239, 22.378531, 0, 385, 11, 14, 19
41, 1319, 21.260804, 2, 325, 10, 13, 18
42, 1317, 21.972665, 3, 412, 11, 14, 18
43, 1287, 22.013209, 2, 373, 11, 14, 18
44, 1319, 21.221380, 2, 298, 10, 13, 18
45, 1313, 21.939832, 3, 410, 11, 14, 18
46, 1394, 20.677905, 3, 344, 10, 13, 17
47, 1194, 23.557789, 3, 333, 10, 14, 18
48, 1291, 21.773044, 2, 539, 10, 13, 18
49, 1267, 22.475138, 3, 421, 11, 14, 18
50, 1249, 22.760608, 2, 336, 11, 14, 20
51, 1207, 22.920464, 2, 454, 11, 14, 19
52, 1221, 23.808354, 1, 740, 12, 15, 20
53, 1292, 22.068885, 3, 392, 11, 14, 19
54, 1204, 23.355482, 4, 367, 11, 14, 19
55, 1235, 23.115789, 2, 445, 12, 15, 19
56, 1213, 23.653751, 3, 346, 12, 15, 19
57, 1227, 23.343113, 4, 312, 11, 15, 19
58, 1217, 23.162695, 2, 451, 11, 15, 19
59, 1236, 23.397249, 3, 311, 12, 15, 19
60, 10, 21.600000, 10, 32, 19, 20, 29
