time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1510, 19.417881, 2, 335, 9, 12, 16
1, 1468, 19.034741, 1, 248, 9, 12, 16
2, 1465, 18.842321, 2, 309, 9, 12, 15
3, 1511, 19.019193, 2, 311, 9, 12, 16
4, 1454, 18.831499, 0, 283, 9, 11, 15
5, 1514, 18.744386, 2, 393, 9, 11, 16
6, 1515, 18.168317, 2, 464, 9, 11, 15
7, 1491, 19.126090, 1, 282, 9, 12, 16
8, 1521, 18.857988, 1, 400, 9, 12, 16
9, 1483, 19.219825, 0, 347, 9, 12, 16
10, 1437, 19.549756, 2, 273, 9, 12, 16
11, 1534, 19.020209, 3, 307, 9, 11, 16
12, 1500, 18.746667, 1, 359, 9, 12, 15
13, 1496, 19.231952, 3, 298, 10, 12, 16
14, 1350, 20.814074, 2, 297, 10, 13, 18
15, 1216, 23.234375, 2, 323, 11, 15, 19
16, 1164, 24.390034, 3, 401, 12, 16, 20
17, 1091, 25.779102, 3, 291, 14, 17, 23
18, 991, 28.780020, 4, 491, 14, 18, 24
19, 1006, 28.620278, 1, 721, 14, 18, 24
20, 947, 30.071806, 5, 657, 14, 19, 25
21, 924, 30.093074, 4, 781, 14, 18, 24
22, 960, 29.344792, 1, 425, 14, 19, 26
23, 936, 32.048077, 3, 727, 15, 20, 27
24, 997, 28.170512, 1, 358, 13, 18, 24
25, 1049, 26.690181, 3, 558, 13, 16, 22
26, 1007, 26.419067, 4, 546, 12, 16, 21
27, 1079, 25.226135, 2, 501, 11, 15, 20
28, 1226, 23.336052, 4, 438, 11, 14, 20
29, 1405, 20.448399, 1, 294, 10, 13, 17
30, 1395, 19.987097, 2, 321, 10, 13, 17
31, 1438, 19.163421, 0, 380, 9, 12, 16
32, 1292, 22.302632, 0, 289, 10, 13, 19
33, 1395, 20.079570, 0, 291, 9, 12, 17
34, 1430, 20.137762, 2, 299, 10, 13, 17
35, 1422, 19.540788, 2, 408, 9, 12, 16
36, 1426, 19.791725, 1, 248, 10, 12, 17
37, 1368, 20.602339, 1, 268, 10, 13, 17
38, 1382, 20.241679, 2, 348, 10, 13, 17
39, 1395, 20.997849, 0, 272, 11, 14, 18
40, 1392, 20.016523, 3, 340, 10, 12, 16
41, 1271, 22.071597, 3, 305, 10, 14, 19
42, 1324, 20.921450, 1, 303, 10, 13, 17
43, 1295, 21.505019, 1, 356, 10, 13, 18
44, 1230, 23.638211, 2, 306, 11, 14, 19
45, 1326, 21.613876, 1, 370, 11, 14, 18
46, 1156, 24.536332, 1, 460, 12, 16, 20
47, 1246, 23.215891, 3, 279, 11, 15, 19
48, 1300, 21.364615, 3, 315, 11, 13, 18
49, 1268, 22.124606, 2, 365, 11, 14, 18
50, 1231, 22.719740, 2, 621, 11, 14, 19
51, 1253, 22.680766, 2, 344, 11, 14, 18
52, 1285, 22.238911, 3, 377, 11, 14, 18
53, 1293, 22.814385, 0, 275, 11, 15, 20
54, 1269, 22.480693, 3, 620, 11, 14, 19
55, 1258, 22.483307, 1, 402, 11, 14, 18
56, 1188, 22.436869, 1, 367, 10, 14, 19
57, 1405, 21.480427, 0, 324, 10, 13, 18
58, 1395, 20.339068, 3, 319, 9, 12, 17
59, 1390, 20.190647, 3, 309, 10, 13, 17
60, 5, 14.200000, 11, 16, 12, 14, 16
