time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1542, 18.407912, 0, 291, 9, 11, 15
1, 1501, 18.902065, 3, 350, 9, 12, 15
2, 1530, 18.747712, 1, 416, 9, 12, 15
3, 1529, 18.911053, 2, 259, 9, 12, 16
4, 1410, 19.292199, 1, 416, 9, 12, 16
5, 1490, 18.886577, 2, 315, 9, 12, 16
6, 1538, 18.563719, 1, 231, 9, 12, 15
7, 1450, 18.829655, 2, 269, 9, 12, 16
8, 1393, 20.694903, 3, 443, 10, 12, 17
9, 1338, 21.208520, 4, 405, 11, 14, 18
10, 1173, 24.294118, 2, 433, 11, 15, 21
11, 1051, 27.617507, 3, 400, 14, 18, 23
12, 944, 30.885593, 4, 552, 16, 20, 26
13, 927, 30.169364, 6, 333, 15, 19, 25
14, 814, 33.966830, 2, 517, 16, 21, 28
15, 806, 35.158809, 2, 513, 16, 21, 28
16, 807, 34.548947, 4, 441, 16, 21, 27
17, 801, 34.771536, 3, 353, 17, 23, 30
18, 816, 35.318627, 4, 899, 17, 22, 29
19, 805, 34.792547, 5, 612, 17, 22, 29
20, 837, 34.685783, 2, 467, 16, 22, 29
21, 879, 31.877133, 3, 441, 15, 19, 26
22, 949, 30.123288, 5, 490, 14, 19, 25
23, 1070, 26.961682, 4, 348, 14, 17, 23
24, 1077, 26.794800, 4, 653, 12, 16, 22
25, 1136, 24.735035, 3, 383, 12, 15, 19
26, 1142, 24.012259, 3, 375, 11, 14, 19
27, 1352, 21.017751, 2, 324, 10, 13, 17
28, 1340, 20.548507, 3, 356, 10, 13, 17
29, 1389, 20.388049, 2, 382, 10, 12, 16
30, 1403, 20.557377, 3, 382, 10, 13, 17
31, 1324, 20.667674, 1, 361, 10, 13, 17
32, 1443, 19.968122, 2, 313, 10, 12, 17
33, 1311, 21.214340, 2, 296, 10, 13, 18
34, 1359, 20.667403, 2, 299, 10, 13, 17
35, 1266, 22.184044, 0, 339, 10, 13, 19
36, 1337, 21.233358, 1, 458, 10, 13, 17
37, 1295, 22.189961, 1, 539, 11, 14, 18
38, 1320, 21.929545, 3, 388, 11, 14, 18
39, 1280, 22.541406, 3, 306, 11, 14, 18
40, 1139, 24.392450, 3, 281, 12, 15, 20
41, 1172, 23.772184, 2, 618, 11, 15, 19
42, 1182, 24.774958, 3, 408, 12, 15, 20
43, 1075, 25.933023, 3, 390, 13, 16, 21
44, 1211, 23.106524, 3, 440, 12, 15, 19
45, 1162, 25.488812, 3, 483, 12, 15, 20
46, 1082, 25.231054, 3, 394, 12, 16, 21
47, 1173, 24.436488, 4, 322, 12, 15, 20
48, 1081, 26.712303, 4, 351, 13, 16, 22
49, 1202, 23.871048, 4, 381, 12, 15, 20
50, 1104, 25.534420, 1, 364, 13, 16, 21
51, 1122, 24.661319, 3, 315, 12, 15, 21
52, 1225, 23.808980, 4, 455, 11, 15, 19
53, 1238, 22.844911, 2, 397, 12, 15, 19
54, 1287, 22.334110, 3, 452, 11, 14, 19
55, 1329, 21.503386, 4, 272, 11, 14, 18
56, 1274, 22.401099, 2, 349, 11, 14, 18
57, 1421, 20.383533, 0, 252, 10, 13, 17
58, 1253, 21.811652, 1, 587, 10, 13, 18
59, 1266, 21.902844, 3, 331, 10, 13, 18
60, 3, 12.333333, 8, 17, 8, 12, 17
