time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1420, 19.834507, 2, 242, 9, 12, 16
1, 1566, 18.344828, 1, 307, 9, 11, 15
2, 1349, 19.712380, 3, 399, 9, 12, 16
3, 1296, 21.844136, 4, 369, 10, 13, 17
4, 1185, 23.871730, 4, 441, 11, 15, 20
5, 1129, 24.527015, 3, 449, 12, 15, 21
6, 1018, 26.968566, 2, 298, 13, 17, 22
7, 923, 30.965330, 3, 462, 14, 19, 26
8, 1003, 29.503490, 4, 679, 15, 19, 25
9, 943, 29.875928, 4, 411, 14, 19, 24
10, 954, 30.466457, 5, 470, 15, 20, 26
11, 930, 29.687097, 4, 396, 14, 18, 25
12, 904, 31.172566, 3, 587, 15, 19, 26
13, 948, 30.768987, 3, 422, 14, 19, 25
14, 1042, 27.497121, 2, 332, 13, 18, 23
15, 1086, 26.057090, 3, 401, 12, 16, 22
16, 1130, 25.042478, 3, 314, 12, 16, 21
17, 1234, 22.937601, 2, 563, 11, 14, 19
18, 1318, 21.250379, 3, 316, 10, 13, 17
19, 1472, 19.828125, 1, 340, 10, 12, 17
20, 1468, 18.963215, 0, 407, 9, 12, 16
21, 1546, 18.928202, 1, 303, 9, 12, 16
22, 1453, 19.423950, 0, 443, 9, 12, 16
23, 1491, 18.637156, 2, 320, 9, 11, 15
24, 1507, 18.387525, 2, 288, 9, 11, 15
25, 1539, 18.560754, 2, 338, 9, 11, 15
26, 1471, 18.895309, 2, 311, 9, 11, 15
27, 1335, 20.379775, 3, 339, 10, 12, 16
28, 1486, 19.738223, 3, 337, 10, 12, 17
29, 1366, 20.147145, 1, 249, 10, 13, 16
30, 1312, 21.313262, 2, 376, 10, 13, 17
31, 1348, 20.535608, 3, 395, 10, 13, 17
32, 1362, 21.524963, 1, 303, 10, 14, 18
33, 1098, 25.523679, 0, 408, 11, 16, 23
34, 1282, 22.354914, 1, 468, 10, 14, 18
35, 1276, 22.289969, 1, 424, 10, 14, 19
36, 1298, 22.080123, 2, 482, 11, 14, 18
37, 1201, 23.164030, 4, 540, 11, 14, 19
38, 1281, 21.960968, 2, 455, 11, 14, 18
39, 1200, 23.461667, 1, 317, 11, 14, 19
40, 1278, 21.992175, 2, 318, 10, 14, 18
41, 1255, 22.415936, 2, 346, 11, 14, 18
42, 1244, 22.782154, 2, 328, 11, 14, 18
43, 1302, 21.761137, 2, 315, 11, 14, 18
44, 1262, 22.307448, 3, 338, 11, 14, 18
45, 1142, 22.579685, 2, 350, 11, 14, 19
46, 1293, 23.509667, 1, 452, 11, 14, 19
47, 1295, 21.877220, 4, 304, 11, 14, 18
48, 1291, 22.204493, 2, 278, 11, 14, 19
49, 1324, 21.413142, 3, 318, 10, 13, 18
50, 1425, 20.661754, 2, 296, 10, 13, 17
51, 1337, 20.552730, 1, 243, 10, 13, 16
52, 1322, 21.032526, 3, 516, 10, 13, 17
53, 1354, 20.313885, 1, 494, 9, 12, 16
54, 1481, 19.488859, 3, 310, 10, 12, 16
55, 1374, 20.467249, 3, 342, 10, 12, 16
56, 1460, 19.250000, 3, 313, 10, 12, 16
57, 1352, 21.559911, 2, 317, 10, 13, 17
58, 1430, 19.841259, 1, 325, 10, 12, 17
59, 1313, 20.210206, 2, 385, 10, 13, 17
